Date,High_AIR,Low_AIR,Open_AIR,Close_AIR,Volume_AIR
2000-01-03,18.0,17.5625,17.8125,17.5625,109000
2000-01-04,18.0,17.25,17.5625,17.625,51700
2000-01-05,18.0,17.5,17.75,17.8125,70400
2000-01-06,18.0,17.5625,17.625,17.9375,60100
2000-01-07,19.25,17.9375,17.9375,18.5625,148000
2000-01-10,18.5625,17.8125,18.4375,18.125,43200
2000-01-11,20.0,18.0625,19.0,18.0625,160700
2000-01-12,22.75,18.625,18.625,21.5625,523300
2000-01-13,21.625,20.1875,21.25,21.375,239300
2000-01-14,21.625,21.125,21.25,21.3125,139000
2000-01-18,20.875,18.75,20.875,20.0,185000
2000-01-19,20.5,19.5,20.0,19.9375,82900
2000-01-20,20.0,19.125,19.9375,20.0,46000
2000-01-21,20.125,18.5,19.875,19.0625,79100
2000-01-24,19.875,18.4375,19.0625,18.5625,60700
2000-01-25,18.625,18.1875,18.625,18.3125,47300
2000-01-26,18.5625,17.875,18.1875,18.5625,129800
2000-01-27,18.875,18.1875,18.3125,18.8125,36000
2000-01-28,19.0,18.125,18.8125,18.625,160400
2000-01-31,18.625,17.6875,18.625,17.6875,145600
2000-02-01,18.0,17.4375,17.625,17.625,152400
2000-02-02,18.625,17.8125,17.8125,18.4375,177200
2000-02-03,19.0,18.5,18.5625,18.625,91100
2000-02-04,19.0625,18.5,18.5625,18.75,38800
2000-02-07,18.9375,18.75,18.75,18.75,86000
2000-02-08,19.5,18.8125,18.8125,19.0625,75500
2000-02-09,19.125,18.9375,19.0625,18.9375,90200
2000-02-10,19.0,17.9375,18.9375,18.625,93800
2000-02-11,19.0,18.1875,18.5,18.625,88500
2000-02-14,22.1875,18.8125,19.0625,21.75,321800
2000-02-15,22.375,20.5625,21.5625,22.3125,237500
2000-02-16,23.5,22.1875,22.1875,23.125,141100
2000-02-17,28.5,22.875,22.875,26.875,574500
2000-02-18,26.9375,24.4375,26.9375,24.5,329300
2000-02-22,24.25,22.75,24.125,23.5,152900
2000-02-23,24.0625,23.25,23.375,23.3125,53900
2000-02-24,23.125,22.125,23.0625,23.0625,95900
2000-02-25,24.125,23.0,23.125,23.0,90500
2000-02-28,22.75,22.0,22.75,22.5625,66500
2000-02-29,23.8125,22.375,22.5625,23.75,182300
2000-03-01,24.1875,23.5625,23.875,23.625,104100
2000-03-02,23.375,21.75,23.375,23.0,94500
2000-03-03,23.0,21.5,23.0,21.75,134400
2000-03-06,22.9375,21.6875,21.75,22.3125,95800
2000-03-07,22.0625,21.375,22.0625,21.5,33400
2000-03-08,21.75,20.375,21.75,20.5625,66300
2000-03-09,21.125,20.1875,20.625,21.125,90000
2000-03-10,21.9375,20.5,20.5,21.0625,135000
2000-03-13,20.9375,20.6875,20.8125,20.6875,46400
2000-03-14,22.0,21.0625,21.0625,21.4375,97400
2000-03-15,23.625,21.0625,21.125,23.0,158000
2000-03-16,23.6875,22.75,23.0625,23.0625,143900
2000-03-17,23.625,23.0,23.0,23.25,50300
2000-03-20,23.75,23.0,23.0,23.5,55100
2000-03-21,23.5,20.1875,23.5,20.5,348400
2000-03-22,20.5,18.375,20.5,18.5625,330700
2000-03-23,18.6875,18.375,18.5625,18.4375,206700
2000-03-24,18.3125,17.1875,18.25,17.25,357800
2000-03-27,17.8125,17.0,17.625,17.0625,163700
2000-03-28,17.0,16.75,17.0,17.0,96500
2000-03-29,17.875,17.125,17.5,17.75,272100
2000-03-30,17.6875,16.8125,17.5,17.0,82000
2000-03-31,17.125,16.625,17.0,16.6875,179300
