Date,High_AMT,Low_AMT,Open_AMT,Close_AMT,Volume_AMT
2000-01-03,30.625,29.0,30.5,29.3125,433900
2000-01-04,30.125,28.75,29.0,29.0,522300
2000-01-05,29.875,28.5625,29.0,29.875,674000
2000-01-06,29.875,28.75,29.4375,29.5625,911700
2000-01-07,31.25,29.5,29.75,31.1875,606000
2000-01-10,34.125,32.0,32.0,33.9375,1012300
2000-01-11,37.5625,33.8125,33.9375,36.5,2893100
2000-01-12,38.25,36.625,36.8125,38.0,1479400
2000-01-13,38.9375,37.0,38.25,37.0,1507000
2000-01-14,38.5,37.5,37.75,38.125,609200
2000-01-18,40.0,38.125,39.5,38.4375,2728900
2000-01-19,39.375,38.5,39.0,39.0,469400
2000-01-20,41.3125,39.5,39.5,40.5,1205200
2000-01-21,43.25,41.3125,41.4375,43.125,2353300
2000-01-24,44.625,41.8125,43.125,42.0,2161100
2000-01-25,42.75,40.75,42.75,41.3125,788000
2000-01-26,42.25,39.5,41.3125,39.75,578600
2000-01-27,40.4375,38.125,39.75,38.375,975700
2000-01-28,39.375,37.25,38.75,37.8125,601300
2000-01-31,37.8125,35.6875,37.75,35.875,617700
2000-02-01,38.875,34.3125,36.0,38.75,1191800
2000-02-02,39.75,38.4375,39.0,39.25,1714200
2000-02-03,40.375,38.5,39.5,40.0,433200
2000-02-04,42.0,39.8125,40.25,40.4375,754100
2000-02-07,39.3125,38.0,39.25,38.625,2011700
2000-02-08,42.125,38.75,38.75,42.0,2194900
2000-02-09,42.5,41.21875,42.5,41.875,1885100
2000-02-10,44.75,41.75,41.875,43.9375,2589300
2000-02-11,45.0,44.0625,44.5,44.25,1212700
2000-02-14,44.875,43.8125,44.4375,44.875,1778700
2000-02-15,47.25,45.0,45.0,45.625,1119500
2000-02-16,46.75,45.0,45.875,46.0,479400
2000-02-17,46.125,43.75,45.875,45.0,1402200
2000-02-18,44.75,42.375,44.25,42.75,749700
2000-02-22,43.3125,40.125,43.25,41.0,710700
2000-02-23,43.625,41.5625,41.75,43.3125,992100
2000-02-24,45.625,42.625,43.5625,43.0,764300
2000-02-25,43.5,41.875,43.0625,42.5,709800
2000-02-28,45.75,41.0625,42.5,45.1875,855700
2000-02-29,49.75,46.5,46.5,49.25,1093600
2000-03-01,50.5,47.5,49.25,48.875,1480500
2000-03-02,49.0625,47.0,49.0,48.5,1208600
2000-03-03,51.125,48.75,48.75,50.875,1843200
2000-03-06,51.0,49.4375,50.4375,51.0,1335100
2000-03-07,51.75,47.875,51.5,49.625,1100300
2000-03-08,55.5,49.625,50.0,53.9375,2308000
2000-03-09,53.625,50.5,52.0625,53.625,3095000
2000-03-10,55.5,53.0,53.5,54.8125,1502800
2000-03-13,54.375,52.0,53.5,53.75,466900
2000-03-14,54.3125,48.25,54.0625,49.5,1008300
2000-03-15,49.3125,43.75,49.3125,44.625,1186700
2000-03-16,46.125,41.125,46.0,45.0,1505500
2000-03-17,51.875,45.5,45.5,50.75,1159800
2000-03-20,52.875,47.375,52.875,48.0,943700
2000-03-21,48.5,45.75,48.0625,47.875,889100
2000-03-22,53.0,48.125,48.125,53.0,1099900
2000-03-23,53.75,50.5,53.125,52.1875,440900
2000-03-24,54.25,50.75,53.5,52.0,1646100
2000-03-27,52.0,49.5625,52.0,50.3125,550500
2000-03-28,51.5,49.5,50.5,50.9375,643400
2000-03-29,51.9375,49.5,51.3125,49.875,487800
2000-03-30,50.0,48.25,49.75,50.0,673700
2000-03-31,51.4375,48.375,50.0,49.375,529400
2000-04-03,49.0,44.4375,49.0,45.125,1132800
2000-04-04,46.625,40.375,46.0,43.9375,1090900
2000-04-05,47.0,42.5,44.0,46.6875,519600
2000-04-06,50.1875,48.4375,48.75,50.0,1355700
2000-04-07,50.4375,49.1875,50.0,49.8125,339700
2000-04-10,49.0625,46.375,49.0,46.75,428200
2000-04-11,46.25,44.6875,46.125,45.625,448100
2000-04-12,45.5625,42.0,45.5,43.25,578800
2000-04-13,42.75,40.625,42.5,41.75,1471400
2000-04-14,40.9375,39.5,40.5,40.1875,630700
2000-04-17,41.75,38.25,40.4375,41.5,966300
2000-04-18,44.5,41.3125,41.75,43.75,1459800
2000-04-19,45.6875,42.625,43.8125,45.0625,704500
2000-04-20,45.625,44.0,45.1875,45.25,1051000
2000-04-24,44.75,41.25,44.75,42.9375,536300
2000-04-25,43.625,42.875,43.1875,43.0,429800
2000-04-26,45.0,42.4375,42.9375,44.75,1088400
2000-04-27,44.5625,43.0,44.25,44.3125,302500
2000-04-28,47.0,44.5,45.0,46.5625,1161900
2000-05-01,47.125,46.125,46.875,46.375,708200
2000-05-02,46.3125,45.375,46.3125,45.6875,464700
2000-05-03,45.5,42.0,45.5,42.6875,559000
2000-05-04,44.9375,42.6875,44.0,43.3125,1560500
2000-05-05,45.9375,43.375,43.375,45.25,416000
2000-05-08,46.125,44.6875,45.75,45.125,360600
2000-05-09,45.375,41.5,45.0,43.75,430800
2000-05-10,43.5,37.5,43.5,40.9375,1433100
