Date,High_ARE,Low_ARE,Open_ARE,Close_ARE,Volume_ARE
2000-01-03,31.8125,31.25,31.8125,31.25,48500
2000-01-04,31.125,30.5,31.125,30.5625,25200
2000-01-05,30.5625,30.0,30.5,30.0,12900
2000-01-06,29.875,29.375,29.875,29.4375,20300
2000-01-07,30.0,29.375,29.375,30.0,18700
2000-01-10,30.5,30.0,30.125,30.375,19600
2000-01-11,30.4375,30.25,30.4375,30.4375,18500
2000-01-12,30.375,29.8125,30.375,30.0,43900
2000-01-13,30.125,29.5,30.0,30.125,10500
2000-01-14,30.375,30.125,30.25,30.3125,4500
2000-01-18,30.375,30.0,30.3125,30.375,101800
2000-01-19,30.625,30.1875,30.625,30.25,26800
2000-01-20,30.375,30.125,30.125,30.25,14300
2000-01-21,30.1875,30.0625,30.125,30.125,7600
2000-01-24,30.25,30.0,30.1875,30.0,18600
2000-01-25,30.0,29.875,30.0,29.9375,11600
2000-01-26,30.25,29.625,29.875,29.6875,33700
2000-01-27,30.1875,29.5625,29.75,30.0625,22400
2000-01-28,30.1875,29.5,30.125,29.5625,7900
2000-01-31,29.6875,29.5,29.625,29.5,14300
2000-02-01,29.75,29.5625,29.5625,29.75,6600
2000-02-02,29.9375,29.75,29.8125,29.8125,8100
2000-02-03,29.875,29.5,29.875,29.5,33100
2000-02-04,29.6875,29.5,29.6875,29.5625,3600
2000-02-07,29.5625,29.4375,29.5625,29.4375,67000
2000-02-08,29.4375,29.125,29.4375,29.1875,7300
2000-02-09,29.125,29.0,29.0,29.125,26600
2000-02-10,29.375,29.1875,29.1875,29.25,6600
2000-02-11,29.4375,29.0,29.1875,29.125,28300
2000-02-14,29.625,29.1875,29.25,29.625,9300
2000-02-15,29.875,29.625,29.75,29.6875,34300
2000-02-16,29.375,29.0,29.3125,29.1875,165300
2000-02-17,29.5,29.125,29.1875,29.3125,38900
2000-02-18,30.1875,29.6875,29.875,29.8125,59500
2000-02-22,29.8125,29.5,29.8125,29.75,33100
2000-02-23,29.875,29.4375,29.6875,29.875,25400
2000-02-24,29.875,29.4375,29.875,29.5,26800
2000-02-25,29.75,29.3125,29.6875,29.375,13600
2000-02-28,29.875,29.375,29.375,29.75,37100
2000-02-29,30.625,30.1875,30.25,30.5625,113700
2000-03-01,30.6875,30.0,30.4375,30.625,52200
2000-03-02,30.375,29.875,30.375,30.0,58000
2000-03-03,30.3125,29.875,29.875,30.1875,56300
2000-03-06,30.1875,29.875,30.1875,30.0625,13300
2000-03-07,30.0625,29.625,30.0625,29.625,89700
2000-03-08,30.0625,29.625,29.625,30.0625,20800
2000-03-09,30.4375,30.0,30.0,30.375,15400
2000-03-10,30.25,29.875,30.25,30.125,26600
2000-03-13,30.25,30.0625,30.1875,30.1875,86500
2000-03-14,30.8125,30.25,30.25,30.625,37800
2000-03-15,31.0,30.5,30.625,30.75,26200
2000-03-16,30.9375,30.6875,30.9375,30.875,26300
2000-03-17,30.9375,30.6875,30.75,30.75,45300
2000-03-20,30.875,30.625,30.6875,30.8125,7000
2000-03-21,30.875,30.5625,30.8125,30.875,53800
2000-03-22,31.125,30.8125,30.8125,31.125,18400
2000-03-23,31.625,31.0,31.125,31.5625,16300
