Date,High_ATO,Low_ATO,Open_ATO,Close_ATO,Volume_ATO
2000-01-03,20.3125,20.0,20.0,20.0625,36600
2000-01-04,20.0,19.5625,20.0,19.5625,143800
2000-01-05,20.5,19.5625,19.5625,20.1875,251700
2000-01-06,20.0,19.75,20.0,19.875,24300
2000-01-07,20.0625,19.75,19.75,20.0625,228900
2000-01-10,20.0625,19.75,20.0,19.8125,57300
2000-01-11,19.9375,19.75,19.8125,19.8125,155600
2000-01-12,19.8125,19.5,19.8125,19.5,32500
2000-01-13,19.625,18.875,19.625,19.125,55500
2000-01-14,19.375,18.8125,19.25,18.8125,75900
2000-01-18,18.875,18.625,18.875,18.75,70400
2000-01-19,18.875,18.5,18.875,18.625,42500
2000-01-20,18.6875,18.5,18.625,18.5625,40300
2000-01-21,18.625,18.125,18.5,18.25,170900
2000-01-24,18.875,18.0,18.75,18.25,109100
2000-01-25,18.375,17.25,18.25,17.75,63400
2000-01-26,17.9375,16.75,17.9375,16.9375,72700
2000-01-27,17.375,16.875,17.0,17.0,34900
2000-01-28,17.25,16.75,17.125,16.75,50600
2000-01-31,17.75,16.875,16.875,17.5,72400
2000-02-01,18.0,17.5,17.625,17.75,36000
2000-02-02,17.875,17.375,17.625,17.4375,44100
2000-02-03,17.875,17.375,17.4375,17.8125,56200
2000-02-04,17.8125,17.5,17.5625,17.6875,62300
2000-02-07,17.75,17.375,17.6875,17.375,45900
2000-02-08,17.5,17.25,17.4375,17.3125,51000
2000-02-09,17.5625,17.25,17.5625,17.375,197700
2000-02-10,17.5,17.125,17.5,17.1875,40400
2000-02-11,17.1875,15.875,17.0,15.875,94100
2000-02-14,16.875,16.125,16.125,16.8125,59300
2000-02-15,18.25,16.8125,16.8125,17.4375,96500
2000-02-16,18.0625,17.25,17.375,17.75,32600
2000-02-17,18.125,17.625,17.75,17.875,41700
2000-02-18,17.875,17.125,17.6875,17.1875,61500
2000-02-22,17.1875,16.25,17.1875,16.5625,78600
2000-02-23,16.875,16.25,16.3125,16.5625,35400
2000-02-24,16.5,15.8125,16.5,16.0,46500
2000-02-25,16.125,15.6875,16.125,15.8125,4023800
2000-02-28,16.3125,15.875,15.875,16.25,70100
2000-02-29,17.125,16.0,16.0,17.125,86300
2000-03-01,17.25,16.4375,17.25,16.5,44700
2000-03-02,16.75,16.375,16.75,16.375,63300
2000-03-03,16.375,15.625,16.25,15.8125,55800
2000-03-06,16.25,15.5,15.5625,16.0,52700
2000-03-07,15.9375,15.375,15.9375,15.5625,106800
2000-03-08,15.6875,15.25,15.625,15.5625,91400
2000-03-09,16.1875,15.75,15.8125,16.125,81900
2000-03-10,15.9375,15.625,15.75,15.625,100900
2000-03-13,17.125,15.5,15.5625,17.125,124900
2000-03-14,17.5,17.1875,17.375,17.25,229300
2000-03-15,17.75,17.25,17.25,17.6875,52500
2000-03-16,18.625,17.75,17.8125,18.625,78700
2000-03-17,18.875,17.9375,18.625,18.375,87400
2000-03-20,18.5625,18.1875,18.3125,18.375,40200
2000-03-21,18.125,17.25,18.125,17.5625,46700
2000-03-22,17.875,17.0,17.5,17.4375,45700
2000-03-23,18.375,17.25,17.3125,18.125,36300
2000-03-24,18.125,17.125,18.125,17.4375,80200
2000-03-27,17.5,17.125,17.375,17.25,73000
2000-03-28,17.125,16.625,16.625,16.875,118800
2000-03-29,16.875,16.5,16.875,16.625,161200
2000-03-30,16.75,16.1875,16.5,16.25,195200
2000-03-31,16.6875,16.0,16.375,16.375,102200
2000-04-03,16.875,16.125,16.5,16.1875,50300
2000-04-04,16.25,15.75,16.1875,15.8125,100900
2000-04-05,16.125,15.375,15.9375,15.5,173400
2000-04-06,15.5,15.375,15.5,15.5,47700
2000-04-07,15.5,15.3125,15.5,15.5,65500
2000-04-10,15.5,15.3125,15.5,15.375,120400
2000-04-11,15.5,15.375,15.4375,15.375,43500
2000-04-12,15.5,15.375,15.375,15.4375,125100
2000-04-13,15.5,15.375,15.4375,15.4375,69800
2000-04-14,15.5,15.25,15.375,15.375,77900
2000-04-17,15.375,14.9375,15.375,15.0,123600
2000-04-18,15.0,14.75,15.0,14.9375,116800
2000-04-19,15.0,14.8125,15.0,14.875,100800
2000-04-20,14.9375,14.75,14.9375,14.8125,63100
2000-04-24,14.9375,14.75,14.875,14.75,197700
2000-04-25,14.8125,14.5,14.8125,14.75,69500
2000-04-26,14.9375,14.625,14.875,14.75,79900
2000-04-27,15.625,14.25,14.625,15.5,82900
2000-04-28,15.875,15.25,15.375,15.875,38700
2000-05-01,16.75,15.875,15.875,16.0,89500
2000-05-02,16.3125,15.8125,15.9375,15.9375,43400
2000-05-03,16.0,15.75,16.0,15.875,54400
2000-05-04,16.0,15.625,15.625,16.0,36500
2000-05-05,16.25,15.75,16.125,15.9375,69700
2000-05-08,16.1875,15.75,16.0,15.9375,77700
2000-05-09,16.125,15.5625,15.9375,15.5625,86900
2000-05-10,15.625,15.1875,15.5625,15.4375,67100
2000-05-11,15.6875,15.375,15.4375,15.6875,72700
2000-05-12,15.9375,15.4375,15.5625,15.9375,33100
