Date,High_BA,Low_BA,Open_BA,Close_BA,Volume_BA
2000-01-03,41.6875,39.8125,41.4375,40.1875,2638200
2000-01-04,41.125,39.75,40.1875,40.125,3592100
2000-01-05,43.3125,41.375,41.375,42.625,7631700
2000-01-06,43.4375,41.125,42.625,43.0625,4922200
2000-01-07,44.875,43.6875,43.6875,44.3125,6008300
2000-01-10,44.5,43.5,44.3125,43.6875,2403500
2000-01-11,43.9375,42.75,43.6875,42.875,2450000
2000-01-12,44.1875,42.5,42.875,43.0625,2327800
2000-01-13,43.375,42.0,43.0625,42.375,3035100
2000-01-14,44.25,42.9375,42.9375,44.0,3834900
2000-01-18,45.0,43.125,44.0,45.0,5859800
2000-01-19,48.125,45.25,45.25,47.625,11463600
2000-01-20,47.875,45.75,47.625,46.5,8941100
2000-01-21,46.9375,45.0,46.5,45.6875,4392500
2000-01-24,46.1875,43.625,45.6875,44.3125,3306200
2000-01-25,46.0,44.75,44.75,45.6875,5057200
2000-01-26,46.5,45.0,45.6875,46.1875,3090100
2000-01-27,46.875,44.875,46.1875,45.0625,3339100
2000-01-28,45.625,44.5,45.0625,44.625,2288100
2000-01-31,44.5625,43.9375,44.5625,44.5,2411800
2000-02-01,44.1875,43.3125,44.1875,43.75,2675800
2000-02-02,45.1875,43.375,43.75,44.625,3295500
2000-02-03,45.0625,43.125,44.625,43.4375,2889100
2000-02-04,44.1875,42.5625,43.4375,44.0,2927200
2000-02-07,43.875,41.6875,43.875,41.8125,3029400
2000-02-08,42.0625,40.0,41.8125,41.0,5102700
2000-02-09,40.25,38.375,40.25,39.0,5525000
2000-02-10,40.1875,38.75,39.0,39.75,4060600
2000-02-11,40.375,39.125,39.75,39.875,3132800
2000-02-14,39.6875,38.0625,39.6875,38.25,2606300
2000-02-15,38.6875,37.375,38.25,38.5,3961300
2000-02-16,37.9375,36.875,37.9375,37.25,3423000
2000-02-17,37.875,36.5625,37.25,37.5,3400500
2000-02-18,37.5,35.875,37.5,36.0,5559500
2000-02-22,39.9375,35.875,36.0,38.875,4771400
2000-02-23,38.6875,37.0625,38.6875,37.125,3880800
2000-02-24,37.0,35.875,37.0,36.5625,4210800
2000-02-25,38.0,36.8125,36.8125,37.8125,3170600
2000-02-28,37.625,36.5625,37.625,37.0,3573300
2000-02-29,37.625,36.125,37.0,36.9375,3513100
2000-03-01,36.625,35.9375,36.625,36.3125,2838000
2000-03-02,37.1875,35.375,36.3125,35.9375,4058200
