Date,High_BKR,Low_BKR,Open_BKR,Close_BKR,Volume_BKR
2000-01-03,21.9375,19.8125,21.9375,20.25,1468700
2000-01-04,21.375,19.625,20.0625,20.25,2082300
2000-01-05,21.375,20.0,20.375,20.375,1833700
2000-01-06,22.375,20.6875,20.6875,22.3125,2234700
2000-01-07,24.1875,22.3125,22.75,23.8125,2810600
2000-01-10,23.875,22.375,23.875,23.0625,2274100
2000-01-11,24.0,22.8125,23.75,23.5625,2001100
2000-01-12,23.3125,22.375,23.0625,22.5,1358000
2000-01-13,23.3125,22.4375,22.5,22.5,1534800
2000-01-14,22.875,21.9375,22.5625,22.75,1824700
2000-01-18,23.625,22.25,22.5,23.625,4190800
2000-01-19,24.25,22.8125,23.5625,23.4375,2186500
2000-01-20,23.0,22.0625,23.0,22.125,1822500
2000-01-21,23.9375,22.0,23.25,22.75,3546500
2000-01-24,23.25,22.75,23.25,23.0625,2326700
2000-01-25,23.5,22.125,23.0,22.875,1747500
2000-01-26,24.0,22.6875,23.5,22.75,2050900
2000-01-27,23.375,21.0,22.75,21.5625,1144500
2000-01-28,22.375,20.5625,21.875,20.8125,1303300
2000-01-31,25.0625,22.8125,23.5,24.6875,5190700
2000-02-01,24.8125,22.9375,24.6875,24.125,3709300
2000-02-02,24.5,23.1875,24.125,23.5,1526300
2000-02-03,24.125,23.25,23.6875,23.875,2807900
2000-02-04,24.0625,22.0625,23.625,22.5,1786500
2000-02-07,23.875,21.75,21.875,23.3125,1412600
2000-02-08,23.4375,22.0,23.375,22.625,1625500
2000-02-09,23.25,21.625,22.375,21.75,1009200
2000-02-10,23.0625,21.625,21.625,22.5625,2774000
2000-02-11,24.0625,22.75,22.875,22.75,1823500
2000-02-14,24.0,22.1875,23.0,23.875,1687800
2000-02-15,25.625,24.125,24.125,25.5,3528200
2000-02-16,26.125,24.875,25.25,25.3125,2550100
2000-02-17,25.75,23.625,25.0,25.375,2205600
2000-02-18,25.375,24.3125,25.375,24.5625,1343500
2000-02-22,25.125,23.8125,24.75,24.25,1394200
2000-02-23,24.5,23.9375,24.25,24.0,1498400
2000-02-24,25.4375,23.875,24.0,24.8125,1854400
2000-02-25,24.875,23.8125,24.8125,24.0625,1666700
2000-02-28,25.75,23.8125,23.8125,25.125,2230700
2000-02-29,26.375,25.5625,25.75,25.875,2715800
2000-03-01,27.375,24.6875,26.125,27.3125,4533900
2000-03-02,28.5,27.0625,27.1875,28.4375,3431300
2000-03-03,28.0,26.0,28.0,26.75,2166600
2000-03-06,27.75,26.75,27.0,27.375,1744500
2000-03-07,29.5625,27.25,27.25,29.0625,5349000
