Date,High_CMA,Low_CMA,Open_CMA,Close_CMA,Volume_CMA
2000-01-03,46.25,44.5625,46.25,45.0,1102400
2000-01-04,44.625,42.9375,44.625,43.125,665700
2000-01-05,43.5,42.625,42.625,43.0,774000
2000-01-06,44.5,43.0,43.0,44.25,573100
2000-01-07,44.5,43.875,44.375,44.1875,490800
2000-01-10,44.0,42.4375,42.75,42.75,592100
2000-01-11,42.25,41.4375,42.25,41.625,646700
2000-01-12,42.5,41.5625,41.625,42.375,572700
2000-01-13,43.25,42.4375,42.5,42.8125,1152500
2000-01-14,44.375,43.5625,43.75,44.0625,698400
2000-01-18,44.0,42.5,44.0,43.0625,462200
2000-01-19,44.125,43.125,43.25,43.1875,986900
2000-01-20,43.1875,41.3125,43.1875,41.3125,734800
2000-01-21,41.375,40.5625,41.3125,40.8125,646900
2000-01-24,41.3125,40.0625,41.0625,40.4375,491400
2000-01-25,41.0,40.0625,40.1875,40.375,513900
2000-01-26,42.375,39.9375,40.0,42.1875,501700
2000-01-27,43.0,42.125,42.3125,42.875,454100
2000-01-28,43.0625,42.125,42.875,42.5,1044000
2000-01-31,44.4375,42.75,42.875,44.1875,542400
2000-02-01,44.5,43.875,44.25,44.0625,713300
2000-02-02,44.125,43.5625,44.0625,43.8125,673800
2000-02-03,44.0625,43.25,43.75,44.0,838100
2000-02-04,44.25,43.3125,43.75,43.3125,698000
2000-02-07,43.375,42.25,43.3125,42.4375,397800
2000-02-08,43.375,42.625,42.6875,42.75,344100
2000-02-09,42.75,41.875,42.625,41.9375,409300
2000-02-10,41.8125,40.0,41.75,40.3125,531800
2000-02-11,41.4375,39.875,40.25,40.375,660500
2000-02-14,40.75,39.5,40.375,39.8125,390800
2000-02-15,40.9375,39.4375,39.875,40.625,414700
2000-02-16,40.9375,39.6875,40.375,40.5625,520100
2000-02-17,41.25,39.4375,40.875,39.75,490800
2000-02-18,39.5,37.3125,39.5,38.0,946500
2000-02-22,38.5,36.875,38.0,37.75,1064300
2000-02-23,37.25,36.4375,37.125,37.0625,799700
2000-02-24,37.1875,35.75,37.1875,36.75,801000
2000-02-25,37.75,35.0,36.5,35.3125,1301200
2000-02-28,38.0,36.125,36.25,37.625,997700
2000-02-29,37.625,36.1875,37.625,36.8125,461200
2000-03-01,36.6875,35.6875,36.5625,36.25,483600
2000-03-02,36.0,34.9375,35.875,35.8125,457200
2000-03-03,36.875,35.6875,36.8125,36.6875,633700
2000-03-06,36.6875,35.875,36.375,36.1875,351700
2000-03-07,36.125,34.3125,36.125,34.75,412500
2000-03-08,35.0,33.4375,35.0,33.8125,605000
2000-03-09,34.375,33.75,33.75,34.125,429500
2000-03-10,34.5625,34.0,34.3125,34.0625,347300
2000-03-13,34.4375,32.9375,33.375,34.0625,426100
2000-03-14,35.1875,33.3125,33.8125,34.25,773800
2000-03-15,37.0,34.1875,34.1875,37.0,1151200
2000-03-16,43.0,39.375,39.75,41.4375,1825200
2000-03-17,42.625,41.3125,41.5625,41.5,785500
2000-03-20,41.25,39.375,41.25,39.5625,438400
2000-03-21,42.625,39.75,39.75,42.125,760700
2000-03-22,43.125,41.75,42.125,43.0,696300
2000-03-23,44.3125,42.375,43.0,44.1875,703000
2000-03-24,44.5,42.875,44.0,43.4375,989700
2000-03-27,43.375,41.75,43.3125,42.0625,717400
2000-03-28,43.375,41.75,42.125,42.5,692800
2000-03-29,42.875,41.0,42.6875,41.75,1366400
2000-03-30,41.8125,40.5,41.8125,40.875,873600
2000-03-31,42.25,40.0,40.6875,41.875,805200
2000-04-03,44.125,42.125,42.125,43.875,687100
2000-04-04,45.125,42.125,42.75,43.3125,703200
2000-04-05,44.6875,43.0,43.8125,43.1875,638400
2000-04-06,43.375,42.625,43.375,42.8125,482100
2000-04-07,43.3125,41.8125,43.0625,42.5,585200
2000-04-10,43.6875,41.625,42.125,42.9375,588800
2000-04-11,43.8125,43.0,43.1875,43.5625,485000
2000-04-12,46.75,44.0,44.0,44.9375,902600
2000-04-13,45.375,44.125,45.375,44.875,645300
2000-04-14,43.875,40.625,43.875,41.0,797100
2000-04-17,42.5,41.0,41.125,42.0625,996500
2000-04-18,43.375,41.6875,41.9375,42.9375,527600
2000-04-19,42.625,40.75,42.5,41.9375,538400
2000-04-20,42.5625,41.5,42.5,42.375,415000
2000-04-24,44.125,42.125,42.25,43.75,669700
2000-04-25,46.5,43.75,43.75,45.5625,748700
2000-04-26,45.375,44.5,45.375,44.6875,618500
2000-04-27,44.0625,42.375,44.0625,43.0,694400
2000-04-28,42.8125,41.0,42.625,42.375,675900
2000-05-01,43.6875,41.5,41.875,43.125,679800
2000-05-02,42.8125,42.0,42.5,42.625,516900
2000-05-03,43.125,41.1875,42.6875,41.4375,375000
2000-05-04,41.4375,40.4375,41.4375,40.6875,478000
2000-05-05,40.5,39.875,40.0625,40.5,361400
2000-05-08,42.1875,40.25,40.5,42.125,411800
2000-05-09,43.3125,41.4375,42.0,42.1875,263100
2000-05-10,42.8125,41.6875,42.0625,42.0,373500
2000-05-11,44.5,42.625,42.625,43.3125,526600
2000-05-12,45.0625,43.0625,43.3125,44.6875,730500
2000-05-15,45.8125,44.625,44.6875,45.375,685400
2000-05-16,45.8125,44.5625,45.3125,44.875,629700
2000-05-17,44.8125,43.75,44.25,44.5625,360600
2000-05-18,46.125,44.625,44.6875,45.75,424200
2000-05-19,46.75,44.0,46.75,44.125,598000
2000-05-22,46.5,44.3125,44.375,45.75,475500
2000-05-23,47.3125,45.8125,45.8125,46.25,486500
2000-05-24,49.5,46.5625,46.625,48.875,1207700
2000-05-25,50.5625,47.8125,49.75,48.4375,1439200
2000-05-26,50.0,48.3125,48.3125,49.4375,379500
2000-05-30,51.125,49.375,49.375,50.75,766800
2000-05-31,51.5625,49.875,50.6875,50.625,426500
2000-06-01,54.375,50.625,50.625,52.25,1390400
2000-06-02,54.25,53.4375,54.0,54.0,998500
2000-06-05,53.75,51.1875,53.75,51.5625,780100
2000-06-06,51.75,49.5,51.75,50.625,810500
2000-06-07,51.1875,49.8125,50.0,51.0,1013100
2000-06-08,50.9375,48.5625,50.9375,49.9375,635400
2000-06-09,50.375,48.6875,49.9375,49.375,430600
2000-06-12,50.625,49.3125,49.375,50.5625,690100
2000-06-13,49.9375,48.875,49.75,49.6875,479800
2000-06-14,50.5,49.5625,49.8125,50.0625,472400
2000-06-15,51.125,46.5,51.125,47.1875,1383800
2000-06-16,46.375,44.0,46.25,44.8125,1049500
2000-06-19,46.4375,44.9375,44.9375,46.0625,603300
2000-06-20,46.0625,45.25,46.0625,46.0625,447500
2000-06-21,45.9375,44.4375,45.875,45.359375,392100
2000-06-22,45.9375,44.6875,45.4375,45.5625,355500
2000-06-23,46.5,45.625,45.9375,46.0,271300
2000-06-26,46.9375,45.625,45.75,46.5,573000
2000-06-27,47.3125,46.625,46.6875,46.9375,376400
2000-06-28,48.4375,46.9375,46.9375,47.359375,730700
2000-06-29,47.3125,46.3125,47.3125,46.5,533000
2000-06-30,46.3125,44.0,46.25,44.875,678100
2000-07-03,46.6875,45.0,45.0,46.4375,531900
2000-07-05,48.0,46.8125,47.25,46.9375,368200
2000-07-06,48.125,46.125,47.1875,48.0,398800
2000-07-07,49.875,48.5,48.625,49.4375,645600
2000-07-10,50.3125,49.625,49.75,49.8125,523500
2000-07-11,49.75,48.8125,49.625,49.75,385600
2000-07-12,50.4375,48.9375,49.75,49.1875,447300
2000-07-13,49.4375,47.625,49.4375,48.3125,753800
2000-07-14,50.25,48.75,48.75,49.8125,493200
2000-07-17,50.125,48.9375,50.0,49.625,415700
2000-07-18,49.625,48.1875,49.25,49.5625,581400
2000-07-19,51.1875,49.875,50.125,50.6875,806900
2000-07-20,52.3125,50.75,50.75,51.75,455600
2000-07-21,52.5,50.6875,51.375,51.5,626600
2000-07-24,52.6875,51.1875,51.375,51.6875,344100
2000-07-25,52.875,51.6875,51.9375,52.875,469500
2000-07-26,53.0,51.5625,53.0,51.9375,682500
2000-07-27,53.0625,51.25,52.0,51.625,392300
2000-07-28,51.9375,50.625,51.6875,51.0625,242800
2000-07-31,52.1875,50.625,51.0625,51.0,601000
2000-08-01,51.4375,50.5,50.875,51.3125,298500
2000-08-02,52.375,51.375,52.0,51.5,390700
2000-08-03,53.5,51.3125,51.5,53.3125,667000
2000-08-04,55.9375,54.75,55.0,55.625,983800
2000-08-07,55.9375,54.25,55.9375,55.5,479000
2000-08-08,55.6875,54.625,55.625,55.625,277500
2000-08-09,56.375,53.875,55.5,56.0625,763000
2000-08-10,57.125,55.25,56.3125,56.4375,450500
2000-08-11,56.9375,56.0625,56.4375,56.375,377600
2000-08-14,56.5,55.375,56.3125,56.1875,683000
2000-08-15,56.1875,55.1875,56.1875,55.6875,382600
2000-08-16,56.3125,54.875,55.5,55.0,305600
2000-08-17,55.75,55.0625,55.25,55.4375,281400
2000-08-18,55.0,54.375,54.875,54.5,367900
2000-08-21,55.5,54.0625,54.375,54.875,414600
2000-08-22,55.9375,54.75,54.875,55.6875,316100
2000-08-23,56.4375,55.5,55.6875,56.25,649700
2000-08-24,56.75,55.3125,56.375,55.6875,289400
2000-08-25,55.75,55.0625,55.1875,55.25,254900
2000-08-28,55.9375,54.9375,55.25,55.0,447700
2000-08-29,55.0,54.0625,54.9375,54.5625,197500
2000-08-30,56.0625,54.6875,54.9375,55.3125,402400
2000-08-31,57.375,55.5625,55.5625,56.328125,487100
2000-09-01,57.0,55.75,56.6875,55.875,273600
2000-09-05,57.3125,55.6875,55.75,56.1875,522500
2000-09-06,57.8125,56.4375,56.4375,56.875,329100
2000-09-07,57.125,56.5,56.75,56.9375,529500
2000-09-08,58.1875,57.125,57.1875,57.9375,665900
2000-09-11,58.4375,57.8125,57.9375,58.3125,824400
2000-09-12,58.3125,57.0625,58.1875,58.0625,497800
2000-09-13,58.8125,57.1875,57.875,57.5,333300
2000-09-14,58.0,57.0,57.75,57.25,323500
2000-09-15,57.4375,56.0,57.4375,56.25,590100
2000-09-18,56.25,54.125,56.25,54.375,431300
2000-09-19,55.6875,54.25,54.625,55.375,327700
2000-09-20,55.875,54.125,55.875,55.375,399200
2000-09-21,55.4375,53.5625,55.4375,54.3125,325600
2000-09-22,54.375,53.0,53.6875,54.0625,581700
2000-09-25,57.0,54.25,54.3125,56.6875,761000
2000-09-26,57.25,56.0625,57.0,56.5,554900
2000-09-27,56.8125,55.5,56.5625,56.8125,415300
2000-09-28,59.1875,57.0,57.0,58.25,778600
2000-09-29,59.4375,58.0,58.625,58.4375,493800
2000-10-02,59.8125,57.5625,58.4375,59.8125,622400
2000-10-03,60.1875,59.5625,59.875,59.875,506400
2000-10-04,60.75,58.8125,60.5,60.0625,576300
2000-10-05,61.125,58.8125,59.9375,59.0,351200
2000-10-06,58.9375,56.3125,58.9375,57.0,426700
2000-10-09,57.25,55.8125,56.875,56.6875,249400
2000-10-10,56.875,53.0,56.4375,53.6875,849900
2000-10-11,53.4375,51.3125,53.4375,53.0625,662200
2000-10-12,54.0,50.0625,53.125,51.25,808600
2000-10-13,54.0,51.1875,51.25,53.75,611700
2000-10-16,55.0,53.25,53.75,54.6875,449700
2000-10-17,56.25,53.125,56.0,53.5625,684900
2000-10-18,53.8125,50.875,52.5625,53.6875,904300
2000-10-19,55.6875,54.25,54.375,55.375,639400
2000-10-20,55.875,55.0,55.625,55.5625,464100
2000-10-23,55.1875,54.8125,55.0625,54.8125,307100
2000-10-24,55.875,53.125,53.125,55.75,1043700
2000-10-25,57.1875,56.0,56.0,56.8125,510000
2000-10-26,56.9375,55.4375,56.75,56.1875,667900
2000-10-27,58.375,56.3125,56.3125,57.875,773300
2000-10-30,60.375,58.4375,58.4375,60.3125,761600
2000-10-31,60.625,58.875,60.5625,60.3125,626000
2000-11-01,55.875,53.5625,53.75,55.125,3658500
2000-11-02,56.125,54.4375,56.0,54.5625,1703700
2000-11-03,54.75,53.8125,54.75,54.0625,930400
2000-11-06,54.75,53.5625,54.3125,54.375,534400
2000-11-07,54.625,53.6875,54.625,53.9375,450600
2000-11-08,54.0,52.875,54.0,53.125,541900
2000-11-09,54.0625,52.5,52.875,53.3125,812300
2000-11-10,53.9375,52.375,53.75,52.6875,556800
2000-11-13,52.875,50.875,52.5,51.5,576600
2000-11-14,52.8125,50.9375,51.875,51.375,713900
2000-11-15,50.5,49.4375,50.4375,50.4375,767400
2000-11-16,50.875,49.8125,50.4375,50.625,545300
2000-11-17,50.5625,47.9375,50.375,49.0625,1169000
2000-11-20,49.0,47.1875,49.0,48.5,783400
2000-11-21,50.0,47.625,48.75,49.5625,516300
2000-11-22,49.5625,47.375,49.3125,47.9375,554200
2000-11-24,48.5625,47.6875,48.125,47.8125,141200
2000-11-27,48.5,47.6875,47.6875,48.3125,502500
2000-11-28,49.875,48.3125,48.5625,49.8125,935900
2000-11-29,51.5625,49.3125,49.3125,51.4375,744800
