Date,High_CPT,Low_CPT,Open_CPT,Close_CPT,Volume_CPT
2000-01-03,27.0,26.25,27.0,26.8125,51000
2000-01-04,26.625,25.5,26.625,26.125,60200
2000-01-05,26.25,25.8125,26.1875,26.1875,66400
2000-01-06,26.8125,25.8125,26.0625,26.6875,36600
2000-01-07,27.1875,26.4375,26.5625,27.1875,29300
2000-01-10,27.25,26.8125,27.0,26.875,74300
2000-01-11,26.9375,26.625,26.9375,26.75,180400
2000-01-12,26.875,26.3125,26.75,26.625,191500
2000-01-13,26.875,26.5,26.5,26.875,131800
2000-01-14,27.0,26.625,26.75,26.875,49800
2000-01-18,27.125,26.5,27.125,26.875,56400
2000-01-19,27.25,26.75,26.9375,27.25,80800
2000-01-20,27.375,26.75,27.125,27.25,39300
2000-01-21,27.125,26.8125,27.125,26.875,49500
2000-01-24,27.125,26.625,27.125,26.6875,32500
2000-01-25,26.75,26.5,26.75,26.5625,23700
2000-01-26,26.875,26.375,26.5,26.875,30400
2000-01-27,26.75,26.5,26.75,26.625,43700
2000-01-28,26.625,26.375,26.5,26.375,88800
2000-01-31,26.4375,25.875,26.375,25.875,66200
2000-02-01,26.5,25.75,25.875,26.5,105500
2000-02-02,26.4375,26.0,26.25,26.0625,91100
2000-02-03,26.1875,25.9375,26.0,26.1875,57900
2000-02-04,26.375,26.0625,26.0625,26.3125,85400
2000-02-07,26.375,26.0,26.125,26.0,146400
2000-02-08,26.9375,26.0,26.0,26.5,102600
2000-02-09,26.375,26.125,26.375,26.25,146400
2000-02-10,26.3125,26.25,26.25,26.3125,67400
2000-02-11,26.75,26.1875,26.4375,26.25,127700
2000-02-14,26.5,26.1875,26.1875,26.25,190700
2000-02-15,26.5,26.25,26.25,26.375,164000
2000-02-16,26.625,26.3125,26.375,26.5,423000
2000-02-17,26.625,26.375,26.4375,26.625,115400
2000-02-18,26.625,26.5,26.5625,26.5,46800
2000-02-22,26.625,26.375,26.5,26.5625,198100
2000-02-23,26.625,26.375,26.5,26.5625,56100
2000-02-24,26.5625,26.4375,26.5625,26.4375,34600
2000-02-25,26.5625,26.3125,26.4375,26.375,61000
2000-02-28,26.4375,26.1875,26.3125,26.25,87400
2000-02-29,26.8125,26.1875,26.25,26.8125,246200
2000-03-01,26.8125,26.3125,26.8125,26.375,66600
2000-03-02,26.5,26.3125,26.375,26.4375,26800
2000-03-03,26.5625,26.3125,26.5,26.5625,80900
2000-03-06,26.75,26.3125,26.5,26.75,52600
2000-03-07,26.625,26.1875,26.5,26.25,301000
2000-03-08,26.5625,26.25,26.25,26.5625,193400
2000-03-09,26.875,26.5,26.5,26.625,262600
2000-03-10,26.9375,26.5,26.5,26.5625,62700
2000-03-13,26.6875,26.5,26.5,26.5,38000
2000-03-14,26.6875,26.5,26.5,26.5,74200
2000-03-15,26.75,26.375,26.5,26.625,105200
2000-03-16,27.1875,26.625,26.625,27.1875,58000
2000-03-17,27.1875,26.75,26.9375,27.1875,47000
2000-03-20,27.625,26.875,27.1875,27.375,42500
2000-03-21,27.375,26.875,27.25,27.125,35900
2000-03-22,27.375,27.0625,27.0625,27.375,37500
2000-03-23,27.75,27.25,27.25,27.375,41800
2000-03-24,27.4375,27.125,27.375,27.25,42300
2000-03-27,27.375,27.125,27.1875,27.125,86800
2000-03-28,27.25,26.875,27.125,26.875,51700
2000-03-29,27.0625,26.375,26.4375,26.6875,176800
2000-03-30,26.9375,26.625,26.625,26.6875,43100
2000-03-31,27.1875,26.75,26.75,27.0625,165900
2000-04-03,27.25,27.0,27.0,27.0625,62700
2000-04-04,27.375,27.0,27.0625,27.1875,57300
2000-04-05,27.75,27.125,27.1875,27.5625,71400
2000-04-06,27.875,27.5,27.6875,27.6875,66900
2000-04-07,28.0625,27.5,27.625,27.9375,69500
2000-04-10,28.125,27.875,27.875,27.9375,44000
2000-04-11,28.375,27.9375,27.9375,28.0625,51700
2000-04-12,28.5,28.0,28.25,28.4375,130600
2000-04-13,29.0,28.4375,28.625,28.8125,57400
2000-04-14,29.0,28.5625,28.6875,28.75,135200
2000-04-17,28.8125,28.125,28.75,28.75,90500
2000-04-18,29.0,28.5625,29.0,28.8125,44900
2000-04-19,28.875,28.75,28.8125,28.75,39000
2000-04-20,28.75,28.5625,28.75,28.75,37500
2000-04-24,28.875,28.5625,28.75,28.5625,122600
2000-04-25,28.875,28.625,28.6875,28.875,78700
2000-04-26,28.875,28.625,28.875,28.875,98700
2000-04-27,29.0,28.625,28.75,28.9375,79300
2000-04-28,29.0,28.375,28.8125,28.375,643800
2000-05-01,28.6875,28.375,28.375,28.5,161000
2000-05-02,29.0,28.375,28.625,28.625,201100
2000-05-03,29.0,28.6875,28.6875,28.9375,121700
2000-05-04,28.9375,28.625,28.875,28.8125,47400
2000-05-05,29.0,28.75,28.9375,28.9375,83100
2000-05-08,28.9375,28.75,28.9375,28.875,51300
2000-05-09,28.9375,28.6875,28.8125,28.6875,44700
2000-05-10,28.75,28.625,28.625,28.625,32900
2000-05-11,28.875,28.5625,28.625,28.875,124100
2000-05-12,29.0,28.625,28.6875,28.9375,167600
2000-05-15,29.0,28.75,28.8125,29.0,42900
2000-05-16,29.0,28.6875,29.0,28.8125,72400
2000-05-17,28.8125,28.25,28.8125,28.375,55200
2000-05-18,28.6875,28.25,28.5,28.3125,208700
2000-05-19,28.5,28.125,28.125,28.3125,58500
2000-05-22,28.5,28.0,28.1875,28.4375,122300
2000-05-23,28.8125,28.25,28.3125,28.5,40100
2000-05-24,28.8125,28.375,28.5,28.8125,104000
2000-05-25,28.9375,28.1875,28.875,28.375,202000
2000-05-26,28.75,28.3125,28.375,28.5625,24000
2000-05-30,28.5625,28.375,28.4375,28.5625,28000
2000-05-31,28.5625,28.0,28.5625,28.0625,200600
2000-06-01,28.25,27.8125,28.1875,28.0,62100
2000-06-02,28.25,28.0,28.0,28.25,69000
2000-06-05,28.1875,28.0,28.125,28.125,108000
2000-06-06,28.6875,28.0,28.1875,28.625,46200
2000-06-07,28.8125,28.5625,28.5625,28.75,66000
2000-06-08,29.0625,28.6875,28.6875,28.9375,17400
2000-06-09,29.0625,28.875,28.9375,29.0,94500
2000-06-12,29.125,28.9375,29.0,28.9375,32600
2000-06-13,29.75,29.0,29.125,29.625,85200
2000-06-14,30.5,29.25,29.875,30.0625,118300
2000-06-15,30.5,30.0,30.0,30.375,173000
2000-06-16,30.375,29.3125,30.25,29.6875,113600
2000-06-19,30.75,29.8125,29.8125,30.75,110800
2000-06-20,30.6875,30.125,30.625,30.5,99400
2000-06-21,30.625,30.25,30.375,30.625,28100
2000-06-22,30.5,30.0,30.375,30.1875,94300
2000-06-23,30.25,29.875,30.1875,30.25,121100
2000-06-26,30.4375,29.5625,30.4375,30.25,148200
2000-06-27,30.5,29.875,30.3125,30.25,93100
2000-06-28,30.25,29.625,29.9375,30.0625,71900
2000-06-29,30.25,29.9375,30.0625,29.9375,194600
2000-06-30,30.0,29.375,29.9375,29.390625,448600
2000-07-03,29.5625,29.3125,29.5,29.5625,235500
2000-07-05,30.0625,29.5,29.625,30.0625,226000
2000-07-06,30.375,29.8125,29.875,30.375,119100
2000-07-07,30.4375,30.125,30.375,30.125,90700
2000-07-10,30.375,30.0625,30.3125,30.3125,66300
2000-07-11,30.1875,30.0,30.1875,30.125,36400
2000-07-12,30.125,29.875,30.125,29.9375,89000
2000-07-13,30.0625,29.8125,29.9375,29.9375,108100
2000-07-14,30.0,29.75,29.9375,29.875,52400
2000-07-17,30.125,29.75,30.0625,29.8125,72300
2000-07-18,29.9375,29.75,29.9375,29.75,100300
2000-07-19,29.8125,29.6875,29.8125,29.75,67400
2000-07-20,29.9375,29.75,29.8125,29.875,195400
2000-07-21,30.125,29.8125,29.875,29.8125,103100
2000-07-24,30.0625,29.8125,29.8125,30.0625,261400
2000-07-25,30.3125,30.0,30.25,30.1875,60500
2000-07-26,30.25,30.0625,30.0625,30.1875,71700
2000-07-27,31.0,30.0625,30.25,30.8125,238000
2000-07-28,31.25,30.5,30.625,30.9375,199300
2000-07-31,31.25,30.25,31.0,31.25,131600
2000-08-01,32.0,31.0,31.25,32.0,130200
2000-08-02,32.0,31.4375,32.0,31.4375,310400
2000-08-03,31.6875,31.3125,31.625,31.375,190900
2000-08-04,31.5,31.125,31.25,31.125,65500
2000-08-07,31.625,31.0625,31.1875,31.125,48900
2000-08-08,31.3125,30.875,31.25,31.1875,39800
2000-08-09,31.5,31.0,31.1875,31.3125,45500
2000-08-10,31.375,31.0,31.25,31.0625,54400
2000-08-11,31.1875,30.75,31.1875,30.875,73400
2000-08-14,31.125,30.8125,30.8125,31.125,97000
2000-08-15,31.25,30.75,31.0,30.9375,60500
2000-08-16,31.5,30.9375,31.0625,31.1875,58600
2000-08-17,31.25,31.0,31.25,31.1875,35300
2000-08-18,31.25,30.6875,31.25,30.875,128000
2000-08-21,30.9375,30.5,30.9375,30.8125,127000
2000-08-22,30.75,30.5625,30.75,30.6875,75000
2000-08-23,30.625,30.5,30.625,30.5,92600
2000-08-24,30.5,29.9375,30.25,30.0625,37400
2000-08-25,30.0625,29.8125,29.8125,29.875,70700
2000-08-28,29.9375,29.3125,29.875,29.625,58500
2000-08-29,29.75,29.375,29.75,29.4375,70800
2000-08-30,30.0,29.375,29.375,29.9375,57700
2000-08-31,30.0,29.8125,29.8125,29.9375,35000
2000-09-01,29.9375,29.6875,29.8125,29.9375,81800
2000-09-05,30.125,29.8125,29.8125,29.9375,42400
2000-09-06,30.0,29.8125,30.0,29.875,89500
2000-09-07,30.1875,29.8125,30.0,30.1875,99200
2000-09-08,30.5,30.0625,30.0625,30.5,39600
2000-09-11,31.125,30.5,31.125,30.625,77400
2000-09-12,30.75,30.5,30.5,30.6875,50200
2000-09-13,31.0,30.625,30.6875,30.6875,81900
2000-09-14,30.9375,30.5625,30.5625,30.8125,139600
2000-09-15,30.75,30.5,30.5,30.5,71300
2000-09-18,30.375,29.8125,30.3125,29.8125,145300
2000-09-19,30.0,29.8125,29.8125,29.9375,143300
2000-09-20,30.4375,29.9375,30.0,30.3125,61000
2000-09-21,30.3125,29.875,30.0625,29.875,42200
2000-09-22,30.4375,29.96875,30.125,30.375,71900
2000-09-25,30.375,30.25,30.25,30.25,41900
2000-09-26,30.5,30.25,30.25,30.3125,35400
2000-09-27,30.3125,29.625,29.625,30.25,55700
2000-09-28,30.625,30.0,30.0,30.625,167500
2000-09-29,31.0,30.25,30.75,31.0,121600
2000-10-02,31.0,30.25,31.0,30.25,125100
2000-10-03,30.125,29.5,30.0,29.5,110400
2000-10-04,29.75,28.9375,29.75,29.5,112900
2000-10-05,29.875,29.375,29.5625,29.8125,41400
2000-10-06,30.25,29.625,29.875,30.0,93500
2000-10-09,30.125,29.875,29.875,29.875,97200
2000-10-10,30.1875,29.75,30.0,30.0,41900
2000-10-11,30.1875,29.375,29.9375,29.4375,74500
2000-10-12,29.5,28.9375,29.5,28.9375,42700
2000-10-13,29.375,28.5,28.8125,29.375,50400
2000-10-16,29.75,29.375,29.625,29.5625,129000
