Date,High_DGX,Low_DGX,Open_DGX,Close_DGX,Volume_DGX
2000-01-03,7.734375,7.4375,7.703125,7.5,394800
2000-01-04,7.515625,7.40625,7.453125,7.484375,924400
2000-01-05,7.5,7.375,7.5,7.421875,624000
2000-01-06,7.453125,7.28125,7.390625,7.453125,450400
2000-01-07,7.765625,7.421875,7.453125,7.75,1608400
2000-01-10,8.109375,7.765625,7.765625,7.890625,620800
2000-01-11,7.96875,7.796875,7.84375,7.875,575600
2000-01-12,7.859375,7.75,7.859375,7.84375,676800
2000-01-13,8.203125,7.890625,7.890625,8.140625,700000
2000-01-14,8.15625,7.78125,8.15625,7.78125,244800
2000-01-18,7.9375,7.734375,7.75,7.921875,485200
2000-01-19,8.0,7.875,7.890625,7.875,741600
2000-01-20,7.9375,7.859375,7.921875,7.921875,332000
2000-01-21,7.953125,7.84375,7.84375,7.921875,960000
2000-01-24,7.96875,7.90625,7.90625,7.9375,371200
2000-01-25,8.078125,7.90625,7.9375,8.015625,1643200
2000-01-26,9.21875,8.015625,8.015625,9.0,1582000
2000-01-27,9.09375,8.25,9.015625,8.25,1392000
2000-01-28,8.609375,8.3125,8.3125,8.40625,1078000
2000-01-31,8.53125,8.453125,8.453125,8.5,600000
2000-02-01,8.5,8.296875,8.5,8.375,214000
2000-02-02,8.53125,8.34375,8.40625,8.390625,456000
2000-02-03,8.71875,8.484375,8.5,8.609375,496800
2000-02-04,8.90625,8.625,8.625,8.796875,462000
2000-02-07,8.890625,8.765625,8.765625,8.859375,767600
2000-02-08,8.9375,8.859375,8.859375,8.9375,434400
2000-02-09,9.140625,8.875,9.0,9.03125,886400
2000-02-10,9.15625,9.046875,9.125,9.09375,394400
2000-02-11,9.109375,8.828125,9.109375,8.828125,336800
2000-02-14,8.78125,8.609375,8.78125,8.65625,214400
2000-02-15,8.75,8.671875,8.6875,8.71875,570000
2000-02-16,8.8125,8.726563453674316,8.734375,8.796875,1315200
2000-02-17,9.0625,8.828125,8.859375,8.828125,857600
2000-02-18,8.859375,8.625,8.859375,8.640625,187200
2000-02-22,8.8125,8.59375,8.640625,8.8125,204400
2000-02-23,8.890625,8.796875,8.796875,8.875,886400
2000-02-24,8.96875,8.765625,8.84375,8.765625,372400
2000-02-25,8.828125,8.6875,8.734375,8.75,910400
2000-02-28,8.765625,8.515625,8.765625,8.53125,228000
2000-02-29,8.578125,8.4375,8.546875,8.578125,379200
2000-03-01,9.078125,8.59375,8.625,8.96875,441200
2000-03-02,9.046875,8.90625,9.03125,9.0,241600
2000-03-03,9.21875,9.03125,9.03125,9.21875,952000
2000-03-06,10.09375,9.625,9.625,9.640625,976400
2000-03-07,9.78125,9.015625,9.78125,9.21875,824400
2000-03-08,9.4375,9.21875,9.21875,9.296875,710000
2000-03-09,9.40625,9.265625,9.265625,9.390625,510000
2000-03-10,9.375,9.1875,9.375,9.203125,299200
2000-03-13,9.21875,9.125,9.1875,9.171875,196400
2000-03-14,9.34375,8.9375,9.15625,8.9375,780000
2000-03-15,9.125,8.625,8.9375,9.046875,286800
2000-03-16,9.8125,9.109375,9.109375,9.8125,277600
2000-03-17,9.96875,9.8125,9.8125,9.921875,438800
2000-03-20,10.0,9.34375,9.890625,9.5,569200
2000-03-21,9.3125,8.75,9.3125,8.9375,433200
2000-03-22,9.359375,8.921875,8.921875,9.265625,634000
2000-03-23,9.46875,9.1875,9.265625,9.1875,814800
2000-03-24,9.203125,8.9375,9.15625,8.953125,252800
2000-03-27,9.0,8.859375,9.0,8.859375,233200
2000-03-28,9.65625,8.90625,8.96875,9.421875,1261200
2000-03-29,9.453125,9.125,9.421875,9.25,414400
2000-03-30,9.25,9.109375,9.125,9.234375,588000
2000-03-31,9.9375,9.21875,9.25,9.9375,600000
2000-04-03,10.3125,9.875,10.0,9.953125,454400
2000-04-04,9.9375,9.25,9.9375,9.59375,806800
2000-04-05,10.0625,9.40625,9.59375,10.03125,2128000
2000-04-06,10.625,9.96875,10.03125,10.359375,1136400
2000-04-07,10.625,10.359375,10.359375,10.5,1037600
2000-04-10,10.71875,10.3125,10.5,10.375,339200
2000-04-11,10.5,10.3125,10.375,10.484375,389600
2000-04-12,10.6875,10.421875,10.4375,10.53125,1093200
2000-04-13,10.75,10.53125,10.53125,10.671875,688400
2000-04-14,11.3125,10.875,10.875,11.125,1940400
2000-04-17,13.3125,11.140625,11.140625,12.5625,2498400
2000-04-18,14.171875,12.8125,12.8125,14.0,3228800
2000-04-19,14.234375,13.25,13.9375,13.765625,2447200
2000-04-20,13.84375,12.875,13.78125,13.40625,1328400
2000-04-24,13.859375,13.28125,13.375,13.4375,1667600
2000-04-25,14.375,13.6875,13.6875,14.3125,2314400
2000-04-26,15.171875,14.09375,14.25,14.75,1814800
2000-04-27,14.90625,14.4375,14.75,14.75,1296000
2000-04-28,14.6875,13.9375,14.625,14.546875,1210800
2000-05-01,14.9375,14.484375,14.484375,14.765625,1070000
2000-05-02,15.1875,14.46875,14.75,14.5625,1793200
2000-05-03,14.5,14.03125,14.5,14.078125,934000
2000-05-04,14.484375,14.0625,14.1875,14.1875,1103200
2000-05-05,14.96875,14.375,14.375,14.90625,985600
2000-05-08,15.15625,14.78125,14.96875,14.84375,1136800
2000-05-09,15.25,14.8125,14.8125,15.0625,1092800
2000-05-10,15.25,14.375,15.078125,14.71875,1056400
2000-05-11,15.78125,14.84375,14.84375,15.515625,1078400
2000-05-12,16.8125,15.71875,15.71875,16.75,1780000
2000-05-15,17.5,16.40625,16.875,16.625,2397600
2000-05-16,17.84375,16.75,17.1875,17.4375,2192000
2000-05-17,17.4375,16.9375,17.1875,16.96875,925600
2000-05-18,17.0625,15.828125,16.875,16.234375,905600
2000-05-19,16.34375,14.5625,16.296875,15.40625,1313600
2000-05-22,15.90625,15.09375,15.625,15.265625,919600
2000-05-23,15.3125,15.0625,15.265625,15.171875,657600
2000-05-24,17.03125,15.21875,15.21875,16.96875,1874400
2000-05-25,17.875,16.8125,17.5,17.3125,1927600
2000-05-26,18.1875,17.546875,17.59375,17.71875,1596000
2000-05-30,17.71875,16.9375,17.71875,17.125,1669200
2000-05-31,17.09375,16.125,17.0,16.78125,1814000
2000-06-01,17.4375,16.84375,16.84375,17.1875,1468800
2000-06-02,17.5,14.875,17.28125,16.6875,3347200
2000-06-05,16.65625,15.625,16.65625,15.84375,1875200
2000-06-06,16.125,15.25,16.0625,15.453125,594400
2000-06-07,15.75,14.6875,15.515625,15.25,1014800
2000-06-08,15.5625,15.0,15.25,15.109375,401200
2000-06-09,15.453125,14.765625,15.21875,15.390625,677200
2000-06-12,15.25,13.5,15.125,14.9375,3091600
2000-06-13,15.625,15.0,15.0,15.25,1171600
2000-06-14,16.6875,14.296875,15.25,15.90625,2082400
2000-06-15,16.34375,15.625,15.90625,16.15625,1213200
2000-06-16,16.4375,15.59375,16.21875,16.15625,1484000
2000-06-19,17.546875,16.09375,16.09375,17.46875,1579600
2000-06-20,18.625,17.28125,17.4375,18.6171875,10860800
2000-06-21,18.625,18.28125,18.5,18.40625,3402400
2000-06-22,18.25,17.71875,18.25,17.78125,1338400
2000-06-23,17.875,17.09375,17.78125,17.5,1338000
2000-06-26,17.8125,17.34375,17.6875,17.71875,1208800
2000-06-27,18.5,17.625,18.1875,17.6875,1528800
2000-06-28,18.28125,17.703125,17.75,18.109375,1668000
2000-06-29,18.625,17.96875,18.140625,18.125,2052800
2000-06-30,18.6875,16.953125,18.125,18.6875,4648400
2000-07-03,18.625,18.3125,18.375,18.53125,1366400
2000-07-05,19.25,18.375,18.59375,18.953125,2959200
2000-07-06,19.5,18.875,19.03125,19.421875,2774800
2000-07-07,19.9375,19.25,19.5,19.671875,1722000
2000-07-10,20.875,19.5625,19.625,20.25,1620400
2000-07-11,24.25,22.28125,22.5625,23.25,5164400
2000-07-12,24.875,22.9375,23.875,24.40625,3138400
2000-07-13,24.984375,24.03125,24.375,24.71875,1671600
2000-07-14,26.0,24.640625,24.78125,25.984375,2091200
2000-07-17,26.9375,25.6875,26.0,26.75,2732400
2000-07-18,26.875,25.515625,26.765625,25.734375,2845200
2000-07-19,25.71875,25.0625,25.40625,25.203125,1438800
2000-07-20,26.25,25.21875,25.625,25.5,2189200
2000-07-21,25.4375,24.6875,25.4375,25.046875,1280400
2000-07-24,25.9375,25.109375,25.109375,25.40625,1023600
2000-07-25,25.40625,23.71875,25.40625,24.671875,2389600
2000-07-26,26.21875,23.75,24.625,25.5,2162800
2000-07-27,25.75,25.265625,25.53125,25.609375,1180000
2000-07-28,25.65625,24.6875,25.609375,25.28125,1142400
2000-07-31,25.375,24.75,25.296875,25.234375,1186000
2000-08-01,26.5,25.25,25.5,26.4375,2114000
2000-08-02,27.625,24.75,26.4375,25.0,2070400
2000-08-03,25.875,23.9375,24.53125,25.75,2341600
2000-08-04,27.09375,25.375,25.375,26.78125,2343200
2000-08-07,29.5,27.015625,27.8125,28.96875,2612800
2000-08-08,30.0625,28.09375,29.125,28.390625,2688000
2000-08-09,28.75,27.53125,28.5625,27.8125,1415600
2000-08-10,28.125,27.125,27.8125,27.25,1328000
2000-08-11,27.375,25.9375,26.9375,26.5,2288400
2000-08-14,26.875,26.40625,26.59375,26.75,1565200
2000-08-15,27.5,26.625,27.0,26.765625,1434400
2000-08-16,27.0,26.5,26.5,26.6875,808400
2000-08-17,27.1875,26.3125,26.6875,26.9375,1017200
2000-08-18,27.84375,27.015625,27.1875,27.48046875,1095200
2000-08-21,28.46875,27.3125,27.4375,27.9375,1373200
2000-08-22,28.75,27.921875,27.96875,28.421875,1766000
2000-08-23,29.71875,28.0,28.4375,29.46875,870400
2000-08-24,29.46875,28.4375,29.46875,28.4375,1083200
2000-08-25,29.96875,28.75,28.75,29.6875,1345600
2000-08-28,31.875,30.0,30.0625,31.375,1372000
2000-08-29,31.25,29.8125,31.25,30.0,2268800
2000-08-30,30.75,29.625,29.875,30.46875,1236000
2000-08-31,32.625,30.75,30.8125,30.9375,2326800
2000-09-01,32.75,31.765625,32.0,32.21875,1777200
2000-09-05,35.25,32.25,32.75,32.4375,3888400
2000-09-06,33.875,31.8125,32.375,32.578125,2757200
2000-09-07,32.625,31.3125,32.578125,31.828125,2062000
2000-09-08,32.25,31.5,31.875,31.953125,1320400
2000-09-11,31.984375,31.3125,31.953125,31.4375,1785200
2000-09-12,31.71875,30.734375,31.4375,30.9375,1691200
2000-09-13,30.484375,29.40625,30.25,29.75,2150400
2000-09-14,30.5,29.25,29.75,29.984375,2085200
2000-09-15,29.984375,28.0625,29.984375,28.953125,1961600
2000-09-18,28.6875,23.5,28.5,24.71484375,7186400
2000-09-19,26.46875,24.890625,25.125,26.22265625,4908400
2000-09-20,27.25,26.1875,26.21875,26.25,2495600
2000-09-21,26.390625,25.0,26.25,25.0,2943600
2000-09-22,28.25,25.1875,25.1875,26.90625,3237600
2000-09-25,28.125,26.34375,26.75,26.984375,1728000
2000-09-26,28.0625,27.0,27.0,27.78125,1940000
2000-09-27,30.125,27.6875,28.125,29.71875,3417200
2000-09-28,30.625,29.0625,29.9375,29.78125,2285200
2000-09-29,30.75,28.6875,29.53125,28.69140625,3240400
2000-10-02,30.03125,28.84375,29.0,29.65625,2510800
2000-10-03,29.984375,29.15625,29.65625,29.171875,1958000
2000-10-04,29.9375,29.375,29.6875,29.71875,1660800
2000-10-05,31.5625,29.875,29.875,30.53125,2122400
2000-10-06,32.375,30.53125,30.75,31.125,2146000
2000-10-09,30.96875,29.78125,30.9375,30.46875,745200
2000-10-10,31.984375,30.1875,30.1875,30.9375,1548800
2000-10-11,32.875,30.4375,30.8125,32.375,1978400
2000-10-12,32.625,31.125,32.5,31.390625,2344400
2000-10-13,31.25,30.015625,31.0,30.4375,2006000
2000-10-16,34.25,29.9375,30.0,33.46875,4117600
2000-10-17,35.0,32.75,33.46875,32.765625,2312000
2000-10-18,34.65625,31.625,32.3125,33.84375,2733200
2000-10-19,34.84375,33.5,33.90625,34.1875,1871200
2000-10-20,33.25,26.75,33.25,28.234375,9498000
2000-10-23,28.375,24.125,28.375,24.890625,7916400
2000-10-24,27.234375,25.75,25.84375,26.328125,4793200
2000-10-25,27.0625,26.25,26.28125,26.484375,1636400
2000-10-26,26.9375,25.25,26.0625,25.71875,1198800
2000-10-27,25.8125,22.25,25.71875,22.625,3778800
2000-10-30,23.3125,20.6875,22.8125,22.4375,4653600
2000-10-31,24.75,22.875,22.875,24.0625,3937600
2000-11-01,24.5,22.0,23.84375,22.734375,2972400
2000-11-02,24.4375,22.5,22.796875,24.046875,1754000
2000-11-03,24.8125,24.03125,24.03125,24.1875,1551200
2000-11-06,25.34375,23.6875,23.6875,24.546875,2030000
2000-11-07,26.3125,23.671875,24.546875,25.875,1913600
2000-11-08,28.671875,25.6875,25.875,28.5,3077600
2000-11-09,29.875,27.875,28.375,28.640625,3266000
2000-11-10,28.75,27.734375,28.4375,28.21875,2092800
2000-11-13,28.0,25.453125,28.0,25.546875,1894800
2000-11-14,26.75,24.4375,26.03125,26.28125,2342400
2000-11-15,28.3125,26.09375,26.5625,28.015625,1831200
2000-11-16,28.6875,26.5625,28.0,27.21875,1325600
2000-11-17,27.59375,26.375,27.21875,26.5625,1063600
2000-11-20,26.921875,24.0625,26.125,24.21875,2232000
2000-11-21,25.234375,23.75,24.5,24.921875,1130000
2000-11-22,25.40625,23.5625,24.5,25.40625,1696000
2000-11-24,26.46875,25.4375,25.78125,26.09375,585200
2000-11-27,27.84375,26.25,27.09375,27.5625,1516400
2000-11-28,27.40625,26.203125,27.21875,26.375,1803600
2000-11-29,26.59375,25.125,26.53125,25.6875,1116400
2000-11-30,28.5,25.25,25.6875,28.09375,1245200
2000-12-01,28.75,27.4375,28.09375,28.703125,3324000
2000-12-04,30.5,28.4375,28.5,30.0,1501600
2000-12-05,30.25,29.5625,30.0,29.640625,1309200
2000-12-06,31.46875,29.203125,29.375,30.1875,1407200
2000-12-07,30.6875,29.90625,30.1875,30.0625,876800
2000-12-08,31.484375,30.0,30.0,30.875,1526800
2000-12-11,32.40625,29.625,30.125,31.234375,1736000
2000-12-12,32.15625,30.75,30.96875,30.875,1503600
2000-12-13,31.8125,30.5625,30.5625,31.53125,1159600
2000-12-14,32.28125,31.25,31.9375,31.5,1173200
2000-12-15,31.984375,30.078125,31.75,31.875,1984400
2000-12-18,32.0,30.375,31.875,31.8125,2159600
2000-12-19,31.78125,30.25,31.78125,30.5625,1214400
2000-12-20,30.5,28.90625,30.5,29.546875,1128800
2000-12-21,31.0,29.21875,29.578125,30.796875,1036000
2000-12-22,34.5,30.75,30.75,34.5,1652800
2000-12-26,34.375,32.375,34.03125,32.71875,1444000
2000-12-27,35.9375,32.0,32.0,34.28125,1775600
2000-12-28,36.5625,34.25,34.375,35.765625,1673200
2000-12-29,36.25,33.1875,35.78125,35.5,2508000
2001-01-02,34.75,32.75,34.75,33.734375,2411200
2001-01-03,35.234375,32.140625,33.109375,34.90625,2812800
2001-01-04,34.296875,27.84375,34.28125,28.5,4475600
2001-01-05,29.21875,26.15625,28.125,27.859375,3949200
2001-01-08,29.453125,27.6875,27.6875,28.9375,2261600
2001-01-09,30.1875,27.03125,28.953125,27.75,2907200
2001-01-10,29.484375,27.375,27.375,28.78125,1792400
2001-01-11,29.375,27.25,28.90625,27.5,2279600
2001-01-12,27.9375,25.71875,27.5,25.828125,2270800
2001-01-16,26.25,25.1875,25.28125,25.875,3854000
2001-01-17,27.53125,23.921875,26.25,24.21875,4994800
2001-01-18,24.34375,21.515625,22.25,24.1875,6434400
2001-01-19,24.9375,23.6875,24.203125,24.546875,2310400
2001-01-22,26.46875,24.359375,24.359375,25.53125,2308400
2001-01-23,26.8125,25.5,26.09375,26.53125,1264400
2001-01-24,28.0625,26.265625,26.59375,27.546875,2059200
2001-01-25,27.875,26.734375,27.5,27.453125,1160800
2001-01-26,27.734375,26.40625,27.625,27.59375,1906800
2001-01-29,27.375,26.625,27.262500762939453,27.0,972800
2001-01-30,28.40999984741211,26.6875,27.0,27.457500457763672,1738000
2001-01-31,27.457500457763672,25.6875,27.457500457763672,25.875,2624400
2001-02-01,26.912500381469727,24.6875,25.877500534057617,24.717500686645508,2276800
2001-02-02,25.4375,24.25,24.700000762939453,24.8700008392334,1963200
2001-02-05,25.924999237060547,24.392499923706055,24.399999618530273,25.477500915527344,1464400
2001-02-06,28.0625,25.3125,25.3125,27.875,1950400
2001-02-07,28.625,27.1875,27.4375,28.239999771118164,1131200
