Date,High_EIX,Low_EIX,Open_EIX,Close_EIX,Volume_EIX
2000-01-03,25.5625,24.8125,25.5,25.0625,755000
2000-01-04,25.625,24.875,24.875,25.3125,715400
2000-01-05,27.5,25.8125,25.9375,26.9375,1330000
2000-01-06,26.875,26.125,26.6875,26.875,1210100
2000-01-07,28.0,27.0,27.0,28.0,2816800
2000-01-10,28.0625,27.625,27.9375,28.0,912200
2000-01-11,28.0625,27.75,28.0,27.875,960100
2000-01-12,28.1875,27.8125,27.8125,27.9375,618300
2000-01-13,28.0,27.6875,27.8125,27.75,848500
2000-01-14,27.625,27.25,27.5,27.5,712800
2000-01-18,27.5,26.75,27.25,27.0,1032700
2000-01-19,27.375,26.5625,26.5625,27.25,1014000
2000-01-20,26.9375,26.6875,26.875,26.8125,787500
2000-01-21,27.5,26.875,27.0,27.4375,1016200
2000-01-24,29.3125,27.5625,27.625,28.5,1592700
2000-01-25,29.0625,28.5,28.5,28.875,2807400
2000-01-26,29.0625,28.8125,28.9375,29.0,896900
2000-01-27,29.5625,28.6875,28.8125,29.0,1649600
2000-01-28,29.0,28.25,29.0,28.25,869500
2000-01-31,29.125,28.0,28.3125,29.125,965200
2000-02-01,29.375,28.125,29.375,28.625,1351400
2000-02-02,28.6875,28.375,28.5625,28.5625,943300
2000-02-03,30.0,28.5,28.5,29.5,1030100
2000-02-04,29.5,28.125,29.4375,28.375,838100
2000-02-07,28.375,27.875,28.125,28.375,855100
2000-02-08,28.1875,27.625,28.1875,27.875,1400500
2000-02-09,28.125,27.5,27.8125,28.0,1100700
2000-02-10,28.375,27.5,27.6875,27.5,756100
2000-02-11,28.25,27.5625,27.5625,27.75,487000
2000-02-14,28.25,27.6875,27.75,27.9375,624800
2000-02-15,28.125,27.875,28.0,28.0,524600
2000-02-16,28.5,28.0,28.0625,28.375,600200
2000-02-17,28.4375,27.9375,28.3125,28.0625,381000
2000-02-18,28.125,27.125,28.0625,27.25,929100
2000-02-22,27.4375,26.875,27.25,27.3125,570400
2000-02-23,27.4375,26.625,27.4375,26.6875,629800
2000-02-24,26.125,25.0,26.125,25.3125,1181500
2000-02-25,25.8125,25.3125,25.5625,25.75,838700
2000-02-28,26.8125,25.625,25.75,26.5,1114200
2000-02-29,26.375,25.625,26.375,26.25,715300
2000-03-01,26.1875,25.25,26.0,25.75,683600
2000-03-02,25.75,25.375,25.375,25.625,747300
2000-03-03,26.0,25.5,25.75,25.625,591100
2000-03-06,19.625,17.5,18.375,17.9375,7939800
2000-03-07,18.4375,15.75,18.4375,16.0,7697000
2000-03-08,16.3125,15.875,16.3125,16.25,4156800
2000-03-09,16.4375,15.4375,16.375,15.6875,4243400
2000-03-10,15.75,15.25,15.6875,15.3125,3127100
2000-03-13,16.4375,15.4375,15.5,16.3125,2262100
2000-03-14,16.375,15.375,16.3125,15.5625,1930600
2000-03-15,15.625,15.375,15.625,15.4375,4160000
2000-03-16,16.625,15.375,15.5,16.625,3011500
2000-03-17,16.875,16.375,16.875,16.5,1714200
2000-03-20,16.75,16.0625,16.5,16.375,2209900
2000-03-21,16.375,15.5,16.375,15.75,4099000
2000-03-22,15.875,15.5625,15.8125,15.6875,1459000
2000-03-23,16.1875,15.75,15.875,16.125,2910700
2000-03-24,16.0625,15.75,16.0,16.0,5091500
2000-03-27,16.5625,15.9375,16.0625,16.25,1886300
2000-03-28,16.4375,15.9375,16.3125,15.9375,975100
2000-03-29,16.5625,16.0625,16.0625,16.5,2507700
2000-03-30,16.6875,16.375,16.5625,16.625,1006900
2000-03-31,16.6875,16.5,16.5625,16.5625,1433900
2000-04-03,16.9375,16.3125,16.375,16.875,2032100
2000-04-04,17.5,16.625,16.9375,16.75,1911900
2000-04-05,17.25,16.6875,16.75,16.8125,1954400
2000-04-06,17.125,16.8125,17.0625,17.0625,857000
2000-04-07,16.9375,16.75,16.8125,16.8125,441100
2000-04-10,17.1875,16.625,16.625,16.9375,1015400
2000-04-11,17.125,16.875,16.9375,16.9375,1243100
2000-04-12,17.3125,17.0625,17.1875,17.125,1546900
2000-04-13,17.5625,17.0,17.0625,17.4375,1505800
2000-04-14,17.625,16.9375,17.5,17.0625,2005400
2000-04-17,18.125,17.125,17.1875,18.0,2643200
2000-04-18,18.125,17.5625,18.0,18.125,1891100
2000-04-19,18.125,17.75,17.875,17.8125,2039400
2000-04-20,18.0,17.8125,17.875,17.9375,912100
2000-04-24,18.875,17.9375,18.0,18.875,987900
2000-04-25,19.125,18.25,18.625,19.0,1603300
2000-04-26,19.4375,18.9375,19.0,19.375,1141600
2000-04-27,19.3125,18.875,19.3125,19.25,889700
2000-04-28,19.125,18.75,19.0625,19.0625,1322200
2000-05-01,19.625,18.8125,18.8125,19.3125,1840100
2000-05-02,19.4375,18.8125,19.1875,18.9375,1642600
2000-05-03,19.25,18.625,18.75,19.0625,1507900
2000-05-04,19.5625,18.875,19.0625,19.3125,947900
2000-05-05,20.0,19.0625,19.25,19.375,903100
2000-05-08,20.0625,19.1875,19.1875,19.5,857100
2000-05-09,19.625,19.1875,19.5625,19.4375,1659100
2000-05-10,19.5625,19.1875,19.1875,19.375,1094900
2000-05-11,19.875,19.3125,19.3125,19.75,1003000
2000-05-12,19.875,19.5625,19.6875,19.75,1392600
2000-05-15,20.1875,19.6875,19.75,20.0,448700
2000-05-16,20.0,19.4375,19.75,19.8125,846500
2000-05-17,19.8125,19.5,19.5625,19.625,1201600
2000-05-18,20.4375,19.6875,19.75,20.375,851400
2000-05-19,20.5,20.0,20.0,20.25,926400
2000-05-22,20.6875,20.1875,20.1875,20.5,1258800
2000-05-23,20.8125,20.3125,20.8125,20.625,1070700
2000-05-24,21.0,20.4375,20.625,20.6875,1351000
2000-05-25,20.6875,20.34375,20.625,20.625,940500
2000-05-26,21.125,20.75,20.75,20.8125,2283900
2000-05-30,21.0625,20.4375,20.875,21.0625,1023800
2000-05-31,21.8125,21.125,21.125,21.375,1730500
2000-06-01,21.625,21.375,21.4375,21.5625,666700
2000-06-02,21.5625,20.9375,21.5625,20.9375,1056200
2000-06-05,21.0625,20.3125,21.0,20.5625,684300
2000-06-06,21.1875,20.4375,20.5,21.0625,895300
2000-06-07,21.375,21.0625,21.0625,21.3125,694600
2000-06-08,21.25,21.0,21.125,21.1875,639800
2000-06-09,21.4375,21.0625,21.0625,21.25,449000
2000-06-12,21.6875,21.375,21.375,21.6875,603900
2000-06-13,21.75,21.375,21.5,21.75,515700
2000-06-14,21.8125,21.6875,21.6875,21.75,952100
2000-06-15,21.9375,21.625,21.625,21.75,777100
2000-06-16,21.875,21.25,21.75,21.5625,1393600
2000-06-19,21.75,21.3125,21.5,21.4375,794800
2000-06-20,21.5625,21.375,21.5,21.375,946800
2000-06-21,21.6875,21.3125,21.375,21.3125,800300
2000-06-22,21.375,21.0,21.375,21.25,992800
2000-06-23,21.75,21.1875,21.25,21.75,1801900
2000-06-26,21.8125,21.4375,21.75,21.5625,1157200
2000-06-27,21.625,20.9375,21.625,21.0,1025800
2000-06-28,21.5625,20.8125,21.0625,21.515625,883400
2000-06-29,21.5,20.9375,21.5,21.0625,778400
2000-06-30,21.5,19.875,20.75,20.5,3261700
2000-07-03,20.875,20.375,20.5,20.5,378600
2000-07-05,21.0,19.8125,20.875,20.125,676000
2000-07-06,20.5,20.0625,20.375,20.375,532900
2000-07-07,20.4375,20.1875,20.3125,20.3125,949800
2000-07-10,20.4375,20.125,20.125,20.3125,1429200
2000-07-11,20.375,20.0625,20.375,20.25,1429000
2000-07-12,20.125,19.8125,20.0,19.9375,752200
2000-07-13,20.25,19.625,19.75,20.25,801300
2000-07-14,20.375,19.75,20.125,20.0,984900
2000-07-17,19.875,19.59375,19.875,19.59375,1510400
2000-07-18,19.75,19.25,19.75,19.375,1582500
2000-07-19,19.625,19.375,19.4375,19.4375,888000
2000-07-20,19.5625,19.0625,19.5,19.25,1146000
2000-07-21,19.6875,19.375,19.5,19.5,936900
2000-07-24,19.5,19.0,19.3125,19.4375,1039200
2000-07-25,19.8125,19.5,19.5,19.5,817600
2000-07-26,19.75,19.1875,19.6875,19.203125,572500
2000-07-27,19.5,19.125,19.3125,19.1875,313500
2000-07-28,19.625,19.1875,19.1875,19.625,586800
2000-07-31,20.0,19.3125,19.5,19.6875,1612200
2000-08-01,20.3125,19.5,20.25,19.625,1075900
2000-08-02,19.9375,19.5625,19.625,19.75,851700
2000-08-03,21.125,20.1875,20.3125,20.703125,1242900
2000-08-04,20.9375,20.0,20.4375,20.625,839400
2000-08-07,21.203125,20.375,20.4375,21.203125,972000
2000-08-08,21.5,20.875,20.875,21.5,1510600
2000-08-09,21.4375,21.0,21.25,21.296875,1129400
2000-08-10,21.25,20.25,21.1875,20.765625,1257400
2000-08-11,21.125,20.5625,20.5625,21.0625,906700
2000-08-14,21.25,20.625,20.8125,21.0,651800
2000-08-15,21.625,20.5625,20.5625,21.125,1216100
2000-08-16,21.4375,21.0,21.125,21.203125,780600
2000-08-17,21.4375,21.0625,21.375,21.375,591200
2000-08-18,21.5625,21.25,21.3125,21.5,726200
