Date,High_EL,Low_EL,Open_EL,Close_EL,Volume_EL
2000-01-03,25.625,24.28125,25.21875,24.78125,1619000
2000-01-04,24.625,24.25,24.625,24.34375,966000
2000-01-05,24.3125,23.25,24.0625,23.5234375,952200
2000-01-06,24.28125,23.46875,23.5,24.21875,925400
2000-01-07,25.09375,24.25,24.34375,25.0625,763800
2000-01-10,25.9375,25.3125,25.625,25.875,757200
2000-01-11,25.59375,24.5625,25.5,25.21875,1092200
2000-01-12,25.5625,24.6875,25.21875,25.09375,1190400
2000-01-13,25.46875,24.875,25.09375,25.1875,866800
2000-01-14,26.34375,25.1875,25.1875,26.34375,1422600
2000-01-18,27.0,25.8125,26.0,26.59375,1564400
2000-01-19,27.0,26.0625,26.59375,26.84375,893000
2000-01-20,27.0625,26.53125,26.875,26.84375,1044200
2000-01-21,27.75,26.4375,26.71875,26.75,1159600
2000-01-24,27.9375,26.78125,27.0625,27.0,1682600
2000-01-25,27.6875,26.59375,27.125,27.0625,796400
2000-01-26,27.8125,26.75,27.0,27.625,953600
2000-01-27,27.59375,25.8125,27.5,26.59375,1138200
2000-01-28,26.5625,25.71875,26.53125,25.96875,1344200
2000-01-31,25.96875,24.75,25.5,25.5625,2393400
2000-02-01,25.96875,25.375,25.875,25.875,1458800
2000-02-02,26.96875,25.34375,25.875,25.71875,1098200
2000-02-03,26.5625,25.71875,25.75,25.90625,669600
2000-02-04,26.09375,25.375,25.9375,25.40625,261200
2000-02-07,25.4375,24.59375,25.4375,25.1875,815400
2000-02-08,25.03125,24.5,25.0,25.0,1382000
2000-02-09,25.5,24.125,25.5,25.21875,913400
2000-02-10,25.15625,24.5,25.0,24.9375,1710600
2000-02-11,25.0625,24.53125,25.0,24.875,1317600
2000-02-14,24.9375,24.34375,24.9375,24.6875,468200
2000-02-15,25.15625,24.375,24.5625,24.96875,614800
2000-02-16,25.6875,24.71875,25.25,24.96875,401800
2000-02-17,25.71875,24.9375,25.0625,25.5,704800
2000-02-18,25.6875,25.4375,25.53125,25.5625,718200
2000-02-22,25.8125,24.9375,25.4375,25.8125,541000
2000-02-23,25.8125,25.3125,25.8125,25.5,506600
2000-02-24,25.6875,23.40625,25.6875,24.1875,930800
2000-02-25,23.9375,23.03125,23.9375,23.21875,588800
2000-02-28,23.5,20.75,23.09375,22.96875,2444200
2000-02-29,23.28125,21.28125,23.125,21.6875,1811000
2000-03-01,22.75,22.125,22.5,22.5,2103400
2000-03-02,23.0,22.15625,22.375,22.28125,1237800
2000-03-03,23.03125,22.46875,22.5625,22.875,783000
2000-03-06,23.1875,22.375,23.0,22.53125,991000
2000-03-07,21.3125,19.0625,21.3125,20.625,3292000
2000-03-08,21.125,20.0,20.875,21.0625,2600600
2000-03-09,21.5625,20.625,21.15625,21.5,704600
2000-03-10,22.125,19.875,22.125,20.0,2179600
2000-03-13,20.5,19.5625,19.75,20.125,1294800
2000-03-14,20.8125,20.03125,20.34375,20.28125,1317600
2000-03-15,22.53125,20.03125,20.3125,22.5,1352000
2000-03-16,23.96875,21.4375,22.5,23.59375,1331000
2000-03-17,23.59375,22.0,23.59375,22.46875,878600
2000-03-20,22.8125,21.53125,22.125,22.3125,1322400
2000-03-21,23.3125,22.8125,23.1875,23.25,1133400
2000-03-22,24.4375,23.28125,23.4375,24.25,2251200
2000-03-23,25.3125,23.9375,24.25,25.1875,1509000
2000-03-24,25.375,23.4375,25.21875,24.25,961800
2000-03-27,24.25,22.28125,24.25,22.875,1468800
2000-03-28,24.34375,21.78125,22.875,24.25,2732000
2000-03-29,24.5625,23.96875,24.25,24.5,2154400
2000-03-30,25.53125,24.5,24.5,25.25,1788400
2000-03-31,26.625,25.0,26.1875,25.03125,2445600
2000-04-03,26.1875,25.03125,25.03125,25.34375,991800
2000-04-04,26.15625,24.59375,25.25,25.34375,1592600
2000-04-05,26.90625,25.40625,25.40625,26.375,2084000
2000-04-06,26.40625,25.5,26.28125,26.3125,1964600
2000-04-07,26.75,26.15625,26.5,26.65625,963400
2000-04-10,27.15625,26.5,26.75,26.84375,905600
2000-04-11,26.84375,25.5,26.84375,25.6875,2417000
2000-04-12,26.1875,24.40625,25.8125,25.65625,2470600
2000-04-13,26.53125,25.125,25.28125,25.96875,1335800
2000-04-14,25.0,23.5,25.0,23.5,1813800
2000-04-17,24.1875,22.96875,23.3125,24.1875,3380600
2000-04-18,24.1875,23.125,24.15625,23.5,1437200
2000-04-19,23.375,23.0,23.25,23.1875,1300800
2000-04-20,23.53125,23.1875,23.25,23.3125,388800
2000-04-24,23.125,22.53125,23.0,22.8125,932600
2000-04-25,22.78125,21.625,22.78125,21.84375,2304000
2000-04-26,21.9375,21.09375,21.9375,21.09375,2658000
2000-04-27,21.625,20.65625,21.09375,21.21875,2169000
2000-04-28,22.125,20.90625,21.28125,22.09375,1394600
2000-05-01,22.375,21.59375,22.0,21.75,829800
2000-05-02,22.6875,21.6875,21.78125,22.1875,1383600
2000-05-03,22.71875,21.65625,22.375,21.6875,1357800
2000-05-04,21.78125,21.28125,21.75,21.53125,1121800
2000-05-05,21.6875,20.5625,21.4375,21.53125,1449200
2000-05-08,21.5625,21.25,21.25,21.40625,555200
2000-05-09,21.78125,21.09375,21.375,21.53125,1677200
2000-05-10,22.84375,21.59375,21.625,22.25,1331800
2000-05-11,23.3125,22.25,22.25,23.0,1178400
2000-05-12,23.0625,22.46875,22.9375,22.96875,838200
2000-05-15,23.09375,22.5625,22.9375,23.0,960200
2000-05-16,23.875,22.78125,23.09375,23.78125,784800
2000-05-17,24.21875,23.46875,23.875,24.125,1065200
2000-05-18,24.9375,24.3125,24.3125,24.78125,1198800
2000-05-19,24.0,22.53125,24.0,22.84375,1912600
2000-05-22,23.09375,22.25,22.90625,22.5625,1204800
2000-05-23,22.4375,21.28125,22.4375,21.3125,1679800
2000-05-24,21.59375,21.21875,21.3125,21.28125,1484800
2000-05-25,22.71875,21.34375,22.1875,21.875,2699800
2000-05-26,22.28125,21.5,21.5,22.125,9714400
2000-05-30,22.59375,21.53125,22.0,22.53125,2273000
2000-05-31,22.65625,22.1875,22.65625,22.40625,2689200
2000-06-01,23.0,22.34375,22.34375,22.84375,1344200
2000-06-02,23.875,23.03125,23.5625,23.65625,2436600
2000-06-05,23.65625,23.25,23.625,23.40625,2335600
2000-06-06,23.40625,22.9375,23.40625,23.125,2191400
2000-06-07,23.15625,22.625,23.125,22.71875,1266200
2000-06-08,22.875,22.28125,22.71875,22.875,1021800
2000-06-09,23.375,22.78125,22.78125,23.28125,973800
2000-06-12,23.90625,23.5,23.53125,23.65625,2099400
2000-06-13,23.6875,23.34375,23.65625,23.4375,777000
2000-06-14,23.65625,23.375,23.46875,23.5,1056200
2000-06-15,23.875,23.15625,23.875,23.46875,1269000
2000-06-16,23.53125,23.3125,23.40625,23.4375,598200
2000-06-19,23.40625,22.625,23.40625,22.875,740600
2000-06-20,22.65625,22.0,22.625,22.46875,652200
2000-06-21,22.875,22.40625,22.40625,22.59375,793000
