Date,High_EQR,Low_EQR,Open_EQR,Close_EQR,Volume_EQR
2000-01-03,21.25,20.9375,21.21875,21.09375,305200
2000-01-04,20.96875,20.75,20.9375,20.9375,492600
2000-01-05,21.375,20.75,20.75,21.375,580400
2000-01-06,21.71875,21.25,21.25,21.59375,687600
2000-01-07,22.15625,21.71875,21.75,22.0,724400
2000-01-10,22.25,21.9375,22.0,22.15625,626600
2000-01-11,22.25,21.90625,22.1875,22.03125,530800
2000-01-12,22.0625,21.875,22.03125,21.9375,430400
2000-01-13,21.96875,21.6875,21.9375,21.6875,453200
2000-01-14,21.8125,21.3125,21.5625,21.3125,437000
2000-01-18,21.28125,20.90625,21.25,21.125,669600
2000-01-19,21.25,21.0,21.0,21.21875,673600
2000-01-20,21.4375,21.09375,21.125,21.09375,439600
2000-01-21,21.3125,21.0625,21.09375,21.3125,338200
2000-01-24,21.28125,21.03125,21.25,21.0625,465600
2000-01-25,21.1875,21.0,21.03125,21.03125,708600
2000-01-26,21.1875,20.625,21.0,21.0625,875400
2000-01-27,21.125,20.84375,21.0,21.125,362000
2000-01-28,21.15625,20.8125,21.15625,20.9375,330800
2000-01-31,21.03125,20.75,21.0,20.75,419400
2000-02-01,21.0,20.71875,20.75,21.0,365800
2000-02-02,21.09375,20.875,20.875,20.96875,374400
2000-02-03,21.03125,20.75,20.875,20.84375,992000
2000-02-04,20.96875,20.78125,20.78125,20.875,290800
2000-02-07,20.9375,20.6875,20.6875,20.8125,254800
2000-02-08,21.0,20.78125,20.84375,20.9375,533600
2000-02-09,21.0,20.8125,20.96875,20.84375,282800
2000-02-10,20.84375,20.4375,20.75,20.46875,554400
2000-02-11,20.6875,20.21875,20.5,20.25,921000
2000-02-14,20.25,19.5,19.5,20.0625,693800
2000-02-15,20.125,19.9375,20.0,20.09375,665400
2000-02-16,20.0625,19.84375,19.96875,19.9375,741600
2000-02-17,19.96875,19.8125,19.96875,19.8125,1126000
2000-02-18,19.90625,19.78125,19.8125,19.84375,524000
2000-02-22,19.90625,19.78125,19.78125,19.8125,489000
2000-02-23,20.0,19.8125,19.9375,19.875,408200
2000-02-24,19.96875,19.75,19.875,19.75,468200
2000-02-25,19.875,19.6875,19.78125,19.75,718600
2000-02-28,19.75,19.625,19.75,19.65625,407000
2000-02-29,20.0,19.5,19.625,19.96875,1129000
2000-03-01,20.0625,19.78125,20.0,20.0,338600
2000-03-02,20.125,19.71875,19.75,20.03125,580800
2000-03-03,20.125,19.96875,20.0,20.03125,715200
2000-03-06,20.0625,19.875,19.875,20.03125,324800
2000-03-07,20.0625,19.875,20.0,20.0625,1015200
2000-03-08,20.0,19.625,19.90625,19.65625,686800
