Date,High_ESS,Low_ESS,Open_ESS,Close_ESS,Volume_ESS
2000-01-03,33.875,33.1875,33.875,33.3125,12200
2000-01-04,33.375,32.625,33.1875,32.9375,62700
2000-01-05,33.0,32.625,32.625,32.8125,96900
2000-01-06,33.25,32.5625,32.8125,33.125,72500
2000-01-07,34.5,33.125,33.125,34.25,39400
2000-01-10,34.375,33.75,34.375,34.0625,23300
2000-01-11,34.1875,33.6875,33.8125,33.6875,46400
2000-01-12,33.9375,33.625,33.9375,33.625,43500
2000-01-13,34.0,33.5625,33.625,34.0,14300
2000-01-14,34.0625,33.6875,34.0625,33.875,10100
2000-01-18,33.8125,33.375,33.8125,33.75,27600
2000-01-19,34.25,34.0,34.0,34.125,57900
2000-01-20,34.3125,34.125,34.1875,34.3125,18400
2000-01-21,34.1875,34.0,34.125,34.0625,12700
2000-01-24,34.125,33.75,33.9375,34.0,36900
2000-01-25,34.25,34.0,34.0,34.1875,26000
2000-01-26,34.25,34.0625,34.0625,34.125,11200
2000-01-27,34.5,33.875,34.125,34.375,19800
2000-01-28,34.5,33.9375,34.25,33.9375,19300
2000-01-31,34.0,33.875,34.0,34.0,66300
2000-02-01,34.625,34.0,34.0,34.625,30500
2000-02-02,34.75,34.5,34.625,34.5625,30100
2000-02-03,35.0,34.5625,34.5625,34.875,21000
2000-02-04,35.125,34.6875,34.8125,35.0625,16000
2000-02-07,35.125,34.75,35.125,34.8125,19800
2000-02-08,34.8125,34.375,34.8125,34.375,49800
2000-02-09,34.5,33.8125,34.25,34.3125,20300
2000-02-10,34.375,34.125,34.375,34.375,14300
2000-02-11,34.375,34.25,34.25,34.3125,18200
2000-02-14,34.5625,34.25,34.3125,34.5625,44000
2000-02-15,34.625,34.0625,34.625,34.4375,32900
2000-02-16,34.375,33.875,34.375,34.25,18700
2000-02-17,34.375,34.125,34.375,34.375,25200
2000-02-18,34.75,34.25,34.3125,34.4375,32600
2000-02-22,34.9375,34.375,34.4375,34.9375,18300
2000-02-23,34.9375,34.625,34.9375,34.875,13700
2000-02-24,34.8125,34.5625,34.75,34.6875,34200
2000-02-25,34.5625,34.3125,34.5,34.375,23500
2000-02-28,34.5625,34.125,34.125,34.5625,45200
2000-02-29,35.25,34.4375,34.4375,35.25,89100
2000-03-01,35.625,35.0,35.125,35.625,148600
2000-03-02,35.75,35.5625,35.625,35.625,173100
2000-03-03,35.9375,35.5625,35.5625,35.9375,82700
2000-03-06,36.0625,35.5,35.875,36.0625,72700
2000-03-07,36.3125,35.9375,36.0,36.0,93600
2000-03-08,36.0,35.8125,35.9375,36.0,24700
2000-03-09,36.125,35.875,36.0,36.0625,18000
2000-03-10,36.1875,35.9375,36.0,35.9375,59600
2000-03-13,36.0,35.75,36.0,35.9375,30000
2000-03-14,36.0,35.875,35.9375,35.9375,23700
2000-03-15,35.9375,35.6875,35.9375,35.6875,108700
2000-03-16,36.0,35.625,35.75,35.9375,63800
2000-03-17,36.25,35.8125,35.8125,36.0,50600
2000-03-20,36.0,35.75,35.75,35.875,26800
2000-03-21,35.9375,35.625,35.75,35.9375,15900
2000-03-22,36.0625,35.8125,35.8125,36.0,41400
2000-03-23,36.0,35.6875,36.0,35.875,20500
2000-03-24,35.875,35.1875,35.875,35.5625,31800
2000-03-27,36.0625,35.5625,35.5625,35.8125,12200
2000-03-28,35.9375,35.1875,35.6875,35.75,54300
2000-03-29,35.9375,34.9375,34.9375,35.9375,48300
2000-03-30,36.125,35.8125,35.9375,35.9375,139800
2000-03-31,36.3125,35.9375,36.0625,36.0,43900
2000-04-03,36.625,36.0625,36.125,36.375,34400
2000-04-04,36.9375,36.0,36.4375,36.5625,479500
2000-04-05,36.75,36.5,36.5625,36.6875,42500
2000-04-06,37.3125,36.6875,36.8125,37.3125,170400
2000-04-07,37.5,37.0625,37.0625,37.3125,69100
2000-04-10,37.625,37.1875,37.3125,37.1875,52800
