Date,High_EVRG,Low_EVRG,Open_EVRG,Close_EVRG,Volume_EVRG
2000-01-03,16.8125,16.125,16.625,16.5,419600
2000-01-04,17.125,16.25,16.5625,17.0625,623100
2000-01-05,17.9375,17.0,17.0,17.9375,310400
2000-01-06,17.9375,17.625,17.9375,17.8125,283700
2000-01-07,17.9375,17.3125,17.875,17.625,225100
2000-01-10,17.875,17.0,17.625,17.3125,373200
2000-01-11,17.5625,17.0625,17.5625,17.4375,202200
2000-01-12,17.3125,17.0625,17.25,17.3125,222800
2000-01-13,17.4375,16.875,17.25,17.125,258700
2000-01-14,16.9375,16.25,16.9375,16.5625,253700
2000-01-18,16.5625,16.0,16.5625,16.0625,278000
2000-01-19,16.9375,16.0,16.0625,16.75,221800
2000-01-20,16.6875,16.3125,16.625,16.375,160700
2000-01-21,16.6875,16.25,16.4375,16.625,214100
2000-01-24,17.3125,16.5,16.5,16.5625,197900
2000-01-25,16.6875,16.0,16.5625,16.125,267200
2000-01-26,16.1875,15.3125,16.0,15.3125,657500
2000-01-27,16.0,15.375,15.375,15.875,262900
2000-01-28,16.125,15.5,16.0,15.875,195200
2000-01-31,16.0625,15.875,16.0,16.0,140400
2000-02-01,16.0,15.5,15.9375,15.5625,138500
2000-02-02,15.8125,15.5,15.5,15.75,109700
2000-02-03,17.1875,16.0625,16.0625,16.625,463200
2000-02-04,16.875,16.0,16.75,16.5,190000
2000-02-07,16.875,16.5,16.5,16.625,239000
2000-02-08,16.8125,16.5625,16.5625,16.6875,234000
2000-02-09,16.625,16.1875,16.5625,16.625,205800
2000-02-10,16.4375,16.0,16.4375,16.0,259300
2000-02-11,16.25,15.9375,16.0625,16.0,171000
2000-02-14,16.1875,15.75,16.1875,15.8125,247800
2000-02-15,15.9375,15.625,15.625,15.75,208600
2000-02-16,15.875,15.6875,15.8125,15.75,161700
2000-02-17,15.9375,15.625,15.6875,15.8125,180900
2000-02-18,15.8125,15.625,15.75,15.8125,130900
2000-02-22,16.125,15.8125,15.9375,16.0,215900
2000-02-23,16.0,15.75,15.9375,15.8125,120500
2000-02-24,15.9375,15.5,15.875,15.5625,165800
2000-02-25,15.6875,15.375,15.625,15.5,175500
2000-02-28,15.8125,15.5,15.625,15.8125,112300
2000-02-29,16.0,15.375,15.8125,15.4375,195900
2000-03-01,15.6875,15.375,15.5625,15.5,301100
2000-03-02,16.375,15.5625,15.5625,16.375,396700
2000-03-03,16.625,16.375,16.625,16.5,158000
2000-03-06,16.75,15.3125,16.75,16.125,1251100
2000-03-07,16.75,15.75,16.125,16.75,798800
2000-03-08,17.25,16.5,16.75,16.875,7778100
2000-03-09,17.125,16.8125,17.125,17.0,1269300
2000-03-10,17.5625,16.9375,17.0,17.25,294100
2000-03-13,17.1875,16.9375,17.0,17.125,205900
2000-03-14,17.25,16.8125,16.9375,16.875,130900
2000-03-15,17.1875,16.8125,16.8125,17.1875,217000
2000-03-16,17.5,17.0,17.125,17.375,603800
2000-03-17,17.3125,16.75,17.25,17.1875,276500
2000-03-20,17.3125,16.9375,17.125,17.0625,99900
2000-03-21,17.0,16.75,16.8125,16.875,89500
2000-03-22,16.8125,16.3125,16.6875,16.375,245300
2000-03-23,16.8125,16.3125,16.375,16.8125,170500
2000-03-24,16.875,16.375,16.75,16.75,120800
2000-03-27,17.0,16.375,17.0,16.8125,154200
2000-03-28,16.625,16.25,16.625,16.625,131100
2000-03-29,18.3125,16.625,17.5,16.75,591100
2000-03-30,16.9375,15.4375,16.875,15.75,652300
2000-03-31,15.9375,15.5625,15.75,15.8125,720500
2000-04-03,15.5625,14.8125,15.5,15.0,622300
2000-04-04,15.75,14.6875,15.75,15.375,580100
2000-04-05,15.5625,14.8125,14.875,15.375,272000
2000-04-06,15.3125,14.9375,15.3125,15.0625,152800
2000-04-07,15.25,14.8125,15.125,14.9375,234300
2000-04-10,15.25,14.875,14.9375,15.0625,173900
2000-04-11,15.4375,15.125,15.125,15.375,202900
2000-04-12,16.3125,15.4375,15.4375,15.625,294900
2000-04-13,15.9375,15.6875,15.6875,15.6875,218800
2000-04-14,15.6875,15.0,15.6875,15.125,282700
2000-04-17,15.9375,14.75,14.8125,15.75,285200
2000-04-18,15.9375,15.375,15.75,15.9375,338000
2000-04-19,16.125,15.6875,15.75,15.9375,603200
2000-04-20,15.9375,15.75,15.8125,15.875,271700
2000-04-24,15.8125,15.375,15.75,15.5625,299300
2000-04-25,15.6875,15.4375,15.625,15.625,294800
2000-04-26,16.0625,15.5625,15.5625,16.0,318300
2000-04-27,15.875,15.625,15.8125,15.6875,147300
2000-04-28,15.75,15.4375,15.75,15.75,302200
2000-05-01,15.9375,15.625,15.6875,15.875,462700
2000-05-02,15.9375,15.3125,15.9375,15.625,296600
2000-05-03,15.625,15.4375,15.625,15.5,283100
2000-05-04,15.5625,15.5,15.5,15.5,164500
2000-05-05,15.625,15.0,15.5,15.0,258100
2000-05-08,15.5625,14.875,15.0,15.5,766900
2000-05-09,15.75,15.5,15.5,15.5625,602300
2000-05-10,16.125,15.5625,15.625,16.0,647700
2000-05-11,16.3125,15.9375,16.0,16.1875,444400
2000-05-12,16.0625,15.75,16.0,15.9375,262500
2000-05-15,16.1875,15.625,15.8125,15.9375,293300
2000-05-16,16.0625,15.875,16.0,15.875,287000
2000-05-17,16.0,15.625,15.8125,15.625,409200
2000-05-18,16.875,15.8125,16.375,16.0625,1059000
2000-05-19,16.0,15.3125,16.0,15.875,752500
2000-05-22,15.875,15.4375,15.875,15.6875,433200
2000-05-23,15.8125,15.5,15.8125,15.6875,329000
2000-05-24,16.0,15.1875,15.1875,15.375,271100
2000-05-25,15.625,15.375,15.5,15.5,279900
2000-05-26,15.5625,15.375,15.5,15.375,152000
2000-05-30,15.625,15.375,15.5,15.5625,272100
2000-05-31,15.6875,15.5,15.5,15.625,191900
2000-06-01,15.8125,15.5,15.5,15.75,729800
2000-06-02,16.25,15.9375,15.9375,15.9375,614300
2000-06-05,16.0,15.5625,16.0,15.625,713900
2000-06-06,16.0625,15.5625,15.75,16.0,1415300
2000-06-07,16.0,15.5,15.75,15.6875,879000
2000-06-08,15.625,15.4375,15.5625,15.5,297200
2000-06-09,15.9375,15.4375,15.5,15.8125,4662700
2000-06-12,15.8125,15.4375,15.75,15.5625,447200
2000-06-13,15.9375,15.5625,15.5625,15.8125,250600
2000-06-14,16.3125,15.875,16.25,15.875,437600
2000-06-15,16.0625,15.875,15.875,16.0,311800
2000-06-16,16.5625,15.9375,15.9375,16.5,520800
2000-06-19,16.75,16.25,16.6875,16.3125,366500
2000-06-20,16.5,16.1875,16.3125,16.4375,367100
2000-06-21,16.75,16.5,16.5625,16.6875,301900
2000-06-22,16.75,16.375,16.5625,16.375,554100
2000-06-23,16.625,16.3125,16.375,16.4375,460000
2000-06-26,16.8125,16.5,16.5,16.75,333200
2000-06-27,16.875,16.375,16.875,16.4375,426100
2000-06-28,17.3125,16.5625,16.5625,17.3125,650400
2000-06-29,17.625,17.3125,17.3125,17.5625,713600
2000-06-30,17.8125,15.484375,17.625,15.5,1576600
2000-07-03,16.5625,16.125,16.125,16.25,669400
2000-07-05,16.5625,16.1875,16.25,16.4375,544900
2000-07-06,16.6875,16.3125,16.3125,16.6875,320700
2000-07-07,17.0,16.625,16.625,16.75,211200
2000-07-10,17.125,16.625,16.75,17.0,236800
2000-07-11,17.0,16.625,17.0,16.875,274600
2000-07-12,17.25,16.9375,17.0625,17.0,193100
2000-07-13,17.3125,16.875,16.9375,17.0625,389400
2000-07-14,17.0625,16.875,17.0,16.9375,157900
2000-07-17,17.0,16.75,16.875,16.875,758600
2000-07-18,16.875,16.3125,16.875,16.5625,938600
2000-07-19,16.8125,16.5,16.5625,16.8125,137800
2000-07-20,16.9375,16.6875,16.8125,16.875,186600
2000-07-21,16.875,16.5,16.8125,16.6875,123100
2000-07-24,16.875,16.625,16.625,16.8125,201500
2000-07-25,16.9375,16.625,16.6875,16.9375,190000
2000-07-26,16.875,16.6875,16.75,16.8125,141100
2000-07-27,16.875,16.6875,16.6875,16.75,212500
2000-07-28,16.8125,16.5625,16.75,16.625,83500
2000-07-31,16.375,15.375,16.3125,15.8125,1015400
2000-08-01,16.25,15.8125,15.8125,16.25,292900
2000-08-02,16.25,15.9375,16.25,16.0625,197900
2000-08-03,17.0,15.9375,16.0,16.890625,325700
2000-08-04,16.9375,16.1875,16.9375,16.3125,1012700
2000-08-07,17.0,16.375,16.4375,16.765625,435100
2000-08-08,17.0625,16.5,16.5,17.0,236400
2000-08-09,17.6875,17.125,17.1875,17.625,464100
2000-08-10,18.875,17.6875,17.6875,18.765625,824900
2000-08-11,18.9375,18.5,18.5625,18.8125,252500
2000-08-14,19.25,18.75,19.0,18.75,273000
2000-08-15,18.8125,18.4375,18.8125,18.5,485700
2000-08-16,18.5625,18.375,18.5625,18.4375,171300
2000-08-17,18.4375,18.125,18.375,18.3125,147900
2000-08-18,18.5,18.125,18.125,18.4375,131800
2000-08-21,18.6875,18.4375,18.5,18.625,183200
2000-08-22,18.8125,18.625,18.6875,18.6875,90600
2000-08-23,18.6875,18.4375,18.6875,18.5625,105400
2000-08-24,19.875,19.4375,19.5625,19.5625,1941900
2000-08-25,19.625,19.3125,19.5625,19.3125,376200
2000-08-28,19.5625,19.25,19.375,19.5,404100
2000-08-29,19.5,19.1875,19.5,19.484375,4481600
2000-08-30,19.75,19.375,19.375,19.625,647900
2000-08-31,20.125,19.375,19.5,20.0,752900
2000-09-01,20.0625,19.8125,20.0,19.875,282600
2000-09-05,20.125,19.625,19.875,20.0625,1755500
2000-09-06,20.125,19.71875,19.875,20.125,534400
2000-09-07,20.0625,19.875,20.0,20.0625,455200
2000-09-08,20.46875,19.9375,19.9375,20.46875,2184700
2000-09-11,21.1875,20.0625,20.3125,21.078125,223800
2000-09-12,21.3125,20.9375,20.9375,21.25,250600
2000-09-13,21.8125,21.125,21.125,21.75,457400
2000-09-14,21.6875,21.375,21.625,21.5,452700
2000-09-15,21.953125,21.375,21.4375,21.953125,499200
2000-09-18,21.8125,21.25,21.8125,21.5,282300
2000-09-19,21.5,20.75,21.375,20.875,214800
2000-09-20,21.0,20.375,20.875,21.0,309400
2000-09-21,21.0625,20.6875,21.0625,20.9375,289900
2000-09-22,21.25,20.5625,20.6875,21.25,302100
2000-09-25,21.125,20.8125,21.125,20.9375,216300
2000-09-26,21.25,20.75,20.8125,20.9375,224100
2000-09-27,21.1875,20.75,21.0,20.9375,339400
2000-09-28,21.125,20.75,20.9375,21.125,501700
2000-09-29,21.8125,21.0625,21.125,21.640625,237700
2000-10-02,21.5,20.875,21.4375,21.3125,322300
2000-10-03,21.375,20.875,21.375,21.0,356100
2000-10-04,20.9375,20.5,20.8125,20.5625,458100
2000-10-05,21.1875,20.4375,20.4375,20.625,356000
2000-10-06,21.3125,20.5,20.625,21.0,529200
2000-10-09,21.0625,20.6875,20.875,20.75,323900
2000-10-10,21.125,20.6875,20.875,20.8125,528900
2000-10-11,21.25,20.6875,20.75,21.0,367600
2000-10-12,21.375,20.8125,20.875,21.375,572400
2000-10-13,22.0,21.3125,21.375,21.75,535800
2000-10-16,22.0625,21.5625,21.6875,21.875,530100
2000-10-17,22.1875,21.8125,21.9375,22.1875,472300
2000-10-18,22.125,21.75,21.9375,21.875,322800
2000-10-19,21.9375,21.25,21.875,21.9375,500500
2000-10-20,22.0,21.75,21.8125,22.0,212600
2000-10-23,22.125,21.875,21.9375,22.125,340100
2000-10-24,22.1875,21.6875,21.9375,22.0625,151100
2000-10-25,22.0,21.3125,21.9375,21.5,159700
2000-10-26,21.5,20.9375,21.5,21.25,104000
2000-10-27,21.5625,21.0625,21.125,21.5,175900
2000-10-30,21.5,21.25,21.3125,21.4375,517100
2000-10-31,21.5,21.0,21.4375,21.375,341300
2000-11-01,21.625,21.375,21.375,21.625,632300
2000-11-02,21.625,21.0,21.625,21.3125,161000
2000-11-03,21.3125,20.875,21.3125,20.875,115400
2000-11-06,21.5,20.75,20.75,21.0625,234400
2000-11-07,21.4375,21.0625,21.0625,21.25,193100
2000-11-08,21.5625,21.0625,21.125,21.375,163800
2000-11-09,23.5,22.625,22.875,23.3125,4105900
2000-11-10,22.9375,22.1875,22.875,22.5,1640500
2000-11-13,22.5,21.5,22.3125,22.0625,680300
2000-11-14,21.75,21.125,21.3125,21.25,750100
2000-11-15,21.3125,20.625,20.875,21.125,781800
2000-11-16,21.1875,20.75,20.75,21.1875,660500
2000-11-17,21.25,21.0,21.0625,21.0625,356600
2000-11-20,21.1875,20.8125,20.8125,21.1875,317100
2000-11-21,21.1875,21.0,21.0,21.1875,332000
2000-11-22,21.375,21.0625,21.0625,21.25,575400
2000-11-24,21.4375,20.875,21.0625,21.4375,166800
2000-11-27,22.3125,21.3125,21.3125,22.25,675100
2000-11-28,23.0,22.1875,22.1875,23.0,538900
2000-11-29,23.0,22.75,22.8125,23.0,351500
2000-11-30,23.0,22.75,22.8125,22.875,308600
