Date,High_FCX,Low_FCX,Open_FCX,Close_FCX,Volume_FCX
2000-01-03,10.71875,10.375,10.53125,10.59375,1455000
2000-01-04,10.5,9.96875,10.46875,10.0,1618200
2000-01-05,10.40625,10.03125,10.03125,10.375,1535600
2000-01-06,10.46875,9.90625,10.375,10.0625,2296600
2000-01-07,10.25,9.65625,9.9375,9.8125,2253000
2000-01-10,10.125,9.84375,10.125,9.875,1169200
2000-01-11,10.0,9.78125,9.84375,9.9375,845400
2000-01-12,9.90625,9.5625,9.875,9.78125,1784000
2000-01-13,9.9375,9.6875,9.75,9.71875,1897600
2000-01-14,9.71875,9.375,9.65625,9.5,1986800
2000-01-18,9.75,9.34375,9.5625,9.75,1356000
2000-01-19,10.0,9.6875,9.75,10.0,1086000
2000-01-20,10.0,9.53125,10.0,9.53125,1130400
2000-01-21,9.625,9.1875,9.625,9.1875,1141000
2000-01-24,9.25,8.75,9.25,8.9375,711400
2000-01-25,8.90625,8.5,8.875,8.8125,592200
2000-01-26,8.75,8.15625,8.75,8.34375,877400
2000-01-27,8.90625,8.375,8.40625,8.90625,1056800
2000-01-28,9.125,8.5625,8.75,8.71875,1770800
2000-01-31,8.84375,8.65625,8.65625,8.71875,859400
2000-02-01,8.90625,8.59375,8.59375,8.71875,735600
2000-02-02,8.875,8.6875,8.71875,8.71875,1475200
2000-02-03,8.8125,8.65625,8.6875,8.75,1541000
2000-02-04,9.375,9.0,9.0,9.28125,1479400
2000-02-07,9.46875,9.1875,9.4375,9.1875,1530800
2000-02-08,9.21875,8.96875,9.1875,9.0,1079800
2000-02-09,9.15625,8.90625,9.0,8.96875,1466600
2000-02-10,9.03125,8.875,9.0,8.90625,1569000
2000-02-11,9.09375,8.8125,8.84375,9.09375,1071400
2000-02-14,9.25,9.03125,9.03125,9.1875,757800
2000-02-15,9.34375,9.125,9.21875,9.15625,1684400
2000-02-16,9.1875,8.96875,9.125,9.0,616600
2000-02-17,9.28125,8.9375,9.0,9.0625,775800
2000-02-18,9.1875,8.96875,9.03125,9.0,1126400
2000-02-22,9.125,8.6875,8.9375,8.875,915400
2000-02-23,8.9375,8.3125,8.9375,8.34375,771400
2000-02-24,8.34375,7.46875,8.34375,7.46875,1482600
2000-02-25,7.4375,7.0,7.4375,7.0,1446400
2000-02-28,7.40625,6.8125,7.1875,6.875,1726600
2000-02-29,7.125,6.8125,6.90625,6.875,886400
2000-03-01,7.125,6.625,6.90625,7.03125,1116600
2000-03-02,7.03125,6.5,7.03125,6.65625,1086800
2000-03-03,6.96875,6.5,6.65625,6.84375,1030400
2000-03-06,6.9375,6.625,6.8125,6.65625,899400
2000-03-07,6.96875,6.71875,6.71875,6.96875,925800
2000-03-08,6.90625,6.65625,6.8125,6.78125,1219200
2000-03-09,6.84375,6.53125,6.71875,6.625,636600
2000-03-10,6.84375,6.53125,6.84375,6.53125,463200
