Date,High_GIS,Low_GIS,Open_GIS,Close_GIS,Volume_GIS
2000-01-03,17.75,17.03125,17.6875,17.21875,2078200
2000-01-04,17.21875,16.78125,17.03125,16.90625,1546800
2000-01-05,17.09375,16.59375,16.59375,16.8125,2018800
2000-01-06,17.0,16.46875,16.78125,16.78125,3292600
2000-01-07,17.28125,16.75,17.21875,16.8125,4529000
2000-01-10,16.90625,16.4375,16.8125,16.46875,1466200
2000-01-11,16.78125,16.46875,16.5,16.6875,1852400
2000-01-12,16.96875,16.59375,16.625,16.65625,2186800
2000-01-13,16.9375,16.4375,16.5,16.71875,1377600
2000-01-14,16.6875,16.21875,16.46875,16.34375,1515000
2000-01-18,16.625,15.90625,16.0,16.5,1883200
2000-01-19,16.65625,16.15625,16.4375,16.34375,2575400
2000-01-20,16.34375,15.90625,16.1875,16.0625,1936600
2000-01-21,16.125,15.65625,16.0625,15.75,2287200
2000-01-24,16.0,15.5,15.75,15.59375,1962800
2000-01-25,15.65625,15.09375,15.375,15.09375,1157200
2000-01-26,15.78125,15.28125,15.71875,15.5,1387600
2000-01-27,15.78125,15.15625,15.625,15.1875,1320800
2000-01-28,15.46875,15.0,15.4375,15.125,1486000
2000-01-31,15.65625,15.03125,15.0625,15.59375,1343000
2000-02-01,15.8125,15.0,15.78125,15.125,3256000
2000-02-02,15.40625,14.75,15.125,15.0625,2574800
2000-02-03,15.34375,14.6875,15.0625,15.3125,1993800
2000-02-04,15.28125,15.0,15.25,15.1875,1435000
2000-02-07,15.5625,14.75,15.4375,15.28125,2410400
2000-02-08,15.5,15.28125,15.46875,15.40625,2358400
2000-02-09,15.46875,15.21875,15.40625,15.25,3026800
2000-02-10,15.25,14.875,15.1875,15.03125,3784000
2000-02-11,15.34375,15.0625,15.21875,15.21875,1827400
2000-02-14,15.5,15.25,15.25,15.5,2413200
2000-02-15,16.21875,15.625,15.625,16.21875,2802800
2000-02-16,16.125,15.78125,16.03125,16.03125,1733600
2000-02-17,16.28125,15.875,16.0625,16.1875,1963200
2000-02-18,16.1875,15.84375,16.0625,16.03125,1428200
2000-02-22,16.78125,16.03125,16.03125,16.71875,2340200
2000-02-23,16.90625,16.4375,16.59375,16.71875,3129800
2000-02-24,16.6875,16.3125,16.6875,16.5625,3046800
2000-02-25,16.5625,16.34375,16.46875,16.5,3363400
2000-02-28,16.5625,16.40625,16.46875,16.46875,2061600
2000-02-29,16.625,16.375,16.46875,16.46875,2434200
2000-03-01,16.90625,16.46875,16.53125,16.59375,2863000
2000-03-02,16.4375,15.75,16.40625,16.09375,3190000
2000-03-03,16.375,15.9375,16.09375,16.1875,1816000
2000-03-06,16.375,15.78125,16.375,15.875,2628200
2000-03-07,16.0,15.25,16.0,15.5,4915000
2000-03-08,15.84375,15.15625,15.375,15.6875,3692400
2000-03-09,15.9375,15.53125,15.625,15.78125,2849600
2000-03-10,15.8125,15.4375,15.65625,15.6875,2442000
2000-03-13,15.71875,15.21875,15.3125,15.5,2415200
2000-03-14,15.625,15.28125,15.34375,15.3125,1482600
2000-03-15,16.46875,15.1875,15.3125,16.375,2458600
2000-03-16,17.84375,16.4375,16.5,17.59375,3379000
2000-03-17,17.75,17.25,17.5625,17.25,2796800
2000-03-20,17.71875,17.25,17.28125,17.40625,2264800
2000-03-21,17.53125,17.0625,17.53125,17.375,2813200
