Date,High_GWW,Low_GWW,Open_GWW,Close_GWW,Volume_GWW
2000-01-03,47.6875,45.1875,47.625,45.9375,334100
2000-01-04,46.0,44.5625,45.75,44.625,216500
2000-01-05,45.25,44.375,44.375,45.25,277100
2000-01-06,45.125,44.75,45.0,45.0625,206300
2000-01-07,45.75,41.25,42.5,44.375,1686300
2000-01-10,46.3125,43.5625,44.625,46.3125,562100
2000-01-11,48.875,45.625,46.0625,48.5,942300
2000-01-12,50.75,48.4375,48.4375,50.125,1412800
2000-01-13,52.0,50.25,50.5,52.0,892200
2000-01-14,56.25,52.75,52.75,55.625,1107900
2000-01-18,55.6875,53.625,55.625,54.625,582300
2000-01-19,54.875,53.6875,53.875,54.875,305500
2000-01-20,55.25,53.875,55.0,54.625,534900
2000-01-21,54.25,53.375,53.375,54.0625,537000
2000-01-24,54.5,54.0,54.0625,54.1875,890100
2000-01-25,54.25,49.5,54.1875,51.4375,796300
2000-01-26,51.375,49.875,50.4375,50.375,617500
2000-01-27,52.0,49.25,50.4375,50.25,426300
2000-01-28,50.0625,48.125,50.0,48.125,374800
2000-01-31,49.4375,47.0625,48.25,47.9375,595600
2000-02-01,48.0,46.625,48.0,46.9375,541300
2000-02-02,47.8125,47.0,47.0,47.4375,479100
2000-02-03,48.875,45.875,47.0,47.5,695900
2000-02-04,48.3125,47.0,47.375,48.0,301400
2000-02-07,48.25,47.625,47.75,48.0,204400
2000-02-08,48.25,47.8125,48.0,48.0,318100
2000-02-09,49.0,47.625,48.375,48.75,664300
2000-02-10,50.125,48.4375,48.625,50.125,683400
2000-02-11,51.6875,48.875,50.0,51.5625,628700
2000-02-14,53.0625,51.375,51.625,52.8125,718000
2000-02-15,52.8125,50.75,52.8125,51.0,433700
2000-02-16,51.0,49.6875,51.0,50.5625,490900
2000-02-17,50.625,49.8125,50.625,49.9375,371500
2000-02-18,49.5,47.0,49.25,47.625,260000
2000-02-22,47.75,45.5,47.75,46.75,345300
2000-02-23,47.5,46.0,47.0,47.125,217500
2000-02-24,46.625,45.0625,46.5,45.75,340800
2000-02-25,45.6875,42.25,45.6875,43.3125,646100
2000-02-28,43.8125,41.75,43.4375,43.5,510800
2000-02-29,44.0625,42.625,43.625,42.8125,453700
2000-03-01,42.375,40.8125,42.375,42.0,422500
2000-03-02,41.75,39.6875,41.75,39.6875,376000
2000-03-03,41.25,39.4375,39.6875,40.5625,429900
2000-03-06,41.0,39.8125,41.0,40.4375,479300
2000-03-07,41.0,38.8125,40.875,38.875,415300
2000-03-08,38.25,37.25,38.25,37.75,707200
2000-03-09,40.4375,37.25,37.625,40.4375,656800
2000-03-10,40.4375,38.5,40.4375,39.625,460900
2000-03-13,39.75,38.0,39.625,38.8125,245100
2000-03-14,45.8125,40.375,40.5,45.5,1053400
2000-03-15,49.125,44.375,45.5,46.9375,1258500
2000-03-16,51.0625,47.9375,48.0,51.0,1091100
2000-03-17,51.875,49.875,51.0625,50.4375,921900
2000-03-20,51.75,49.4375,50.1875,50.25,618600
2000-03-21,51.9375,50.0,50.0,51.875,486100
2000-03-22,52.9375,51.0625,52.0,52.875,437500
2000-03-23,55.0625,52.875,52.875,55.0,725500
2000-03-24,55.75,54.75,55.0,55.375,856600
2000-03-27,55.5,54.1875,55.0,55.0,612800
2000-03-28,56.625,55.0,55.0,56.0,631900
2000-03-29,56.875,55.375,55.9375,56.0,401700
2000-03-30,55.75,54.375,55.75,54.5,737000
2000-03-31,55.375,54.25,54.5,54.25,1087600
2000-04-03,55.625,53.75,54.0625,55.375,685100
2000-04-04,55.6875,52.5,55.125,53.75,698600
2000-04-05,53.6875,49.875,53.25,50.75,958000
2000-04-06,51.9375,50.8125,50.875,51.5625,929900
2000-04-07,51.75,49.1875,51.6875,49.4375,1038600
2000-04-10,50.5,48.3125,50.0,48.6875,920900
2000-04-11,50.5,48.875,48.875,49.9375,747000
2000-04-12,51.75,49.5625,49.5625,50.5625,849800
2000-04-13,50.9375,49.625,50.625,50.125,519100
2000-04-14,49.875,45.0,49.875,45.25,1245900
2000-04-17,46.75,45.5,45.625,46.375,322700
2000-04-18,46.6875,45.625,46.4375,45.625,880800
2000-04-19,45.875,43.0,45.875,44.125,1105500
2000-04-20,44.0,43.4375,43.75,43.75,604600
2000-04-24,43.6875,42.4375,43.6875,42.4375,381100
2000-04-25,43.625,42.8125,43.0,43.5,318700
2000-04-26,44.25,42.75,43.5,43.1875,363100
2000-04-27,43.3125,42.75,43.1875,43.125,403000
2000-04-28,43.5,42.75,43.0625,43.375,359300
2000-05-01,45.8125,43.375,43.375,45.3125,345000
2000-05-02,45.4375,44.375,45.3125,44.5625,386700
2000-05-03,44.8125,44.0,44.4375,44.5625,542100
2000-05-04,45.125,44.1875,44.25,44.375,291100
2000-05-05,45.4375,44.125,44.375,45.4375,263100
2000-05-08,45.5625,43.9375,45.1875,44.0625,188900
2000-05-09,44.4375,43.75,44.3125,44.125,205300
2000-05-10,44.9375,43.375,44.375,43.625,300400
2000-05-11,44.625,43.25,43.875,43.5625,373500
2000-05-12,43.75,41.6875,43.75,42.3125,614900
2000-05-15,44.9375,42.3125,42.5625,44.6875,387200
2000-05-16,45.25,44.375,44.5,44.75,254100
2000-05-17,44.8125,44.0625,44.5,44.8125,308600
2000-05-18,45.1875,44.5,44.8125,44.875,292100
2000-05-19,44.75,44.25,44.25,44.75,585400
2000-05-22,45.0,42.6875,44.6875,43.125,320900
2000-05-23,43.25,42.5,43.25,42.6875,137100
2000-05-24,43.125,41.375,42.9375,41.5,259000
2000-05-25,42.25,41.125,41.25,42.1875,389600
2000-05-26,42.5,40.8125,42.3125,40.875,193200
2000-05-30,41.5625,40.75,40.875,41.375,350900
2000-05-31,41.625,39.75,41.125,39.9375,316200
2000-06-01,40.1875,39.375,40.0,40.125,467500
