Date,High_HIG,Low_HIG,Open_HIG,Close_HIG,Volume_HIG
2000-01-03,47.125,45.0625,47.125,45.25,571400
2000-01-04,44.5,43.3125,44.25,43.75,856900
2000-01-05,44.4375,42.4375,43.75,42.4375,797900
2000-01-06,43.0,42.25,42.5,42.8125,975700
2000-01-07,45.0,43.0,43.0,44.8125,1578200
2000-01-10,45.0625,44.0,45.0625,44.0625,395800
2000-01-11,44.625,43.625,43.875,44.375,703900
2000-01-12,44.625,43.3125,44.375,43.5625,708800
2000-01-13,44.0,42.5625,43.125,43.1875,924700
2000-01-14,44.0625,43.25,43.375,43.6875,746200
2000-01-18,43.3125,41.625,43.3125,41.8125,445700
2000-01-19,41.0625,40.25,40.25,40.5,1199100
2000-01-20,41.0,39.25,41.0,39.4375,955300
2000-01-21,39.6875,37.625,39.6875,37.9375,848000
2000-01-24,39.0,38.0,38.0,38.6875,1336500
2000-01-25,39.1875,37.75,38.6875,38.0625,753100
2000-01-26,39.3125,37.25,38.0,39.0,696100
2000-01-27,39.5625,38.3125,39.0,39.0625,750100
2000-01-28,39.375,36.875,39.375,37.3125,1286100
2000-01-31,38.5,36.8125,37.375,38.125,1228300
2000-02-01,39.0625,37.5,38.125,38.8125,577700
2000-02-02,39.8125,38.4375,38.8125,39.5625,607500
2000-02-03,41.25,39.0,39.0625,40.75,1342000
2000-02-04,41.9375,40.25,40.375,41.875,1006000
2000-02-07,40.5625,39.125,40.375,39.9375,1282700
2000-02-08,40.0,37.4375,39.6875,37.5,641000
2000-02-09,37.75,35.125,37.75,35.375,1569900
2000-02-10,35.3125,34.0625,35.25,34.625,1235200
2000-02-11,34.9375,34.3125,34.875,34.625,1579400
2000-02-14,34.75,33.5,34.625,33.75,972800
2000-02-15,36.0,33.75,34.0,35.3125,1618800
2000-02-16,35.25,33.25,35.25,34.0,1108200
2000-02-17,34.5,32.8125,34.375,34.0,1123400
2000-02-18,34.0,32.5625,34.0,33.0625,830300
2000-02-22,33.625,32.6875,33.0,33.0,1175100
2000-02-23,33.25,32.5,33.25,32.6875,658200
2000-02-24,33.25,32.1875,33.25,32.5,1347800
2000-02-25,32.875,30.9375,32.625,31.0,716600
2000-02-28,31.8125,30.875,31.25,31.0,684000
2000-02-29,31.375,30.9375,31.0,31.25,700400
2000-03-01,31.875,30.875,31.25,31.125,942400
2000-03-02,31.0,29.625,31.0,30.625,827500
2000-03-03,31.0625,30.125,30.75,31.0,898900
2000-03-06,31.0625,30.125,31.0,31.0,1069600
2000-03-07,31.0,29.625,31.0,30.0,1316300
2000-03-08,30.0625,29.375,29.8125,29.375,725500
2000-03-09,30.375,29.5625,29.75,30.125,706000
2000-03-10,32.0,30.25,32.0,30.375,1058800
2000-03-13,30.375,29.375,30.375,29.5,711100
2000-03-14,30.25,29.4375,29.5,30.0,604200
2000-03-15,33.6875,30.875,31.0,33.375,1356300
2000-03-16,40.25,37.375,38.0,40.25,1938800
2000-03-17,39.9375,35.375,39.875,35.8125,1133300
2000-03-20,37.0,36.0,36.0625,36.4375,568100
2000-03-21,40.0,35.8125,36.3125,40.0,1641500
2000-03-22,40.5,39.625,40.25,40.125,1533200
2000-03-23,42.6875,41.0,41.0,41.5,1630000
2000-03-24,43.75,41.0625,41.5625,43.1875,753900
2000-03-27,43.3125,41.6875,42.9375,42.25,959000
2000-03-28,44.0,42.1875,42.25,42.3125,961700
2000-03-29,44.4375,42.875,43.0,43.875,1096200
2000-03-30,49.25,44.0,44.125,46.375,1791100
2000-03-31,54.0,46.75,49.0,52.75,2611100
2000-04-03,52.0,49.5,52.0,51.0,1852100
2000-04-04,52.0625,48.5,50.875,49.875,1324000
2000-04-05,49.375,48.5,49.25,48.9375,1816400
2000-04-06,49.6875,45.5,49.4375,47.625,1628400
2000-04-07,48.25,46.5,47.875,46.5625,591700
2000-04-10,48.625,47.0,47.25,47.6875,747000
2000-04-11,48.5,47.25,47.4375,47.375,696100
2000-04-12,48.875,47.375,47.375,48.375,1297500
2000-04-13,48.625,47.0625,48.5,47.375,585500
2000-04-14,46.5,44.25,46.4375,44.25,1049600
2000-04-17,47.5625,44.0,44.125,46.8125,1107900
2000-04-18,47.5,44.6875,45.0,46.625,876700
2000-04-19,46.5,44.75,46.375,44.9375,790800
2000-04-20,47.6875,44.8125,45.0,47.4375,745000
2000-04-24,51.875,47.25,47.375,51.875,1189400
2000-04-25,53.625,51.0,51.0,53.625,1125400
2000-04-26,53.125,49.875,53.0,51.125,892600
2000-04-27,52.625,49.5,51.125,49.9375,1183500
2000-04-28,53.25,49.5,50.0,52.0625,993700
2000-05-01,55.125,52.4375,52.4375,54.6875,1117200
2000-05-02,55.125,52.75,54.75,54.0,697100
2000-05-03,53.6875,51.8125,52.875,51.9375,493100
2000-05-04,52.75,51.125,52.1875,51.25,737300
2000-05-05,52.0625,50.0625,51.0,51.4375,406800
2000-05-08,53.25,52.0,52.4375,52.875,464000
2000-05-09,53.75,51.1875,53.5,52.5625,574600
2000-05-10,53.1875,51.125,52.8125,52.0625,484900
2000-05-11,54.625,51.5,51.5,54.0,639200
2000-05-12,54.0625,52.0625,54.0625,53.28125,457700
2000-05-15,57.0625,52.4375,52.5,56.9375,936200
2000-05-16,57.0,55.375,56.625,55.9375,628100
2000-05-17,55.625,53.0625,55.625,53.625,431500
2000-05-18,56.5,54.0625,54.0625,56.4375,653000
2000-05-19,56.4375,55.875,56.1875,56.375,596500
2000-05-22,59.25,56.0,56.3125,58.75,996700
2000-05-23,60.125,57.4375,58.75,60.125,1398000
2000-05-24,64.0,58.75,59.875,64.0,1366000
2000-05-25,62.4375,57.5,62.375,59.0625,1382200
2000-05-26,59.4375,58.0625,58.5,59.125,539400
2000-05-30,61.1875,58.5625,59.375,61.0625,1060300
2000-05-31,60.375,58.5,60.375,59.125,609000
2000-06-01,60.5,57.625,58.875,60.5,891600
2000-06-02,61.25,59.5,61.25,60.0,864200
2000-06-05,60.75,56.25,60.75,56.25,626200
2000-06-06,55.5625,53.875,55.5,54.9375,2687900
2000-06-07,56.1875,54.8125,54.8125,55.75,3761500
2000-06-08,55.875,54.75,55.75,55.4375,814900
2000-06-09,55.5,53.625,55.0,53.6875,954800
2000-06-12,54.5,53.0625,53.875,54.5,1041700
2000-06-13,54.9375,54.0625,54.875,54.5,456100
2000-06-14,55.75,53.6875,54.0,55.6875,1202200
2000-06-15,55.9375,54.3125,55.6875,55.4375,1500800
2000-06-16,55.0,53.375,55.0,53.5625,1141600
2000-06-19,55.75,52.0,52.0,55.3125,1399400
2000-06-20,55.25,52.25,55.25,52.78125,688300
2000-06-21,52.5625,50.5,52.375,51.375,976600
2000-06-22,50.875,49.4375,50.625,50.8125,858800
2000-06-23,54.5,51.875,52.5625,53.3125,1522100
2000-06-26,54.625,52.8125,54.625,53.9375,1132500
2000-06-27,56.0,54.8125,55.5,55.9375,1403500
2000-06-28,56.0,55.4375,55.75,55.859375,768200
2000-06-29,56.125,55.75,55.9375,56.0,570600
2000-06-30,56.375,55.8125,56.0,55.9375,1594200
2000-07-03,56.625,55.375,55.9375,56.625,344500
2000-07-05,58.0,56.125,56.75,57.8125,727000
2000-07-06,58.1875,56.6875,57.8125,57.375,561900
2000-07-07,59.375,57.375,57.375,59.25,732900
2000-07-10,59.625,58.75,59.0,59.25,564000
2000-07-11,59.25,58.0,58.375,59.25,453000
2000-07-12,59.875,59.0625,59.25,59.8125,786400
2000-07-13,59.25,58.0,59.0,58.5,789700
2000-07-14,60.0,58.25,58.25,60.0,489800
2000-07-17,59.75,58.5625,59.75,59.0,1238000
2000-07-18,58.9375,57.25,58.9375,57.4375,757900
