Date,High_HUM,Low_HUM,Open_HUM,Close_HUM,Volume_HUM
2000-01-03,8.375,7.375,8.3125,7.5625,1287300
2000-01-04,7.875,7.375,7.375,7.625,1238300
2000-01-05,7.875,7.5,7.5,7.8125,1096300
2000-01-06,8.25,7.5,7.75,8.125,1026700
2000-01-07,9.125,8.0625,8.1875,8.75,2419300
2000-01-10,8.9375,8.375,8.875,8.375,1276200
2000-01-11,8.75,8.25,8.375,8.25,693700
2000-01-12,8.6875,8.25,8.375,8.4375,764000
2000-01-13,9.5,8.5625,8.5625,9.25,1760600
2000-01-14,9.625,8.25,9.375,8.25,1429000
2000-01-18,9.0,8.375,9.0,8.625,776600
2000-01-19,8.6875,8.0,8.6875,8.0,1220100
2000-01-20,8.0625,7.6875,8.0,7.75,1744500
2000-01-21,8.0625,7.6875,7.75,7.8125,1670100
2000-01-24,8.125,7.625,7.9375,7.9375,1001400
2000-01-25,7.8125,7.5,7.5,7.75,994500
2000-01-26,8.0625,7.75,7.75,7.875,821500
2000-01-27,8.0625,7.625,8.0,7.625,421200
2000-01-28,8.0625,7.125,7.375,7.625,1775700
2000-01-31,8.1875,7.625,7.625,8.0,858700
2000-02-01,8.375,8.0,8.0,8.25,783600
2000-02-02,8.625,8.25,8.3125,8.3125,597300
2000-02-03,8.625,8.3125,8.3125,8.4375,773500
2000-02-04,8.75,8.375,8.5625,8.375,481200
2000-02-07,8.625,8.3125,8.5,8.4375,574300
2000-02-08,8.5625,8.0625,8.4375,8.1875,713800
2000-02-09,8.125,7.4375,7.8125,7.5625,1495000
2000-02-10,7.5,7.0,7.4375,7.1875,1307800
2000-02-11,7.125,6.6875,7.125,6.875,983900
2000-02-14,7.5,6.8125,6.9375,7.4375,902200
2000-02-15,7.6875,7.375,7.5625,7.5625,753600
2000-02-16,7.6875,7.1875,7.5625,7.375,535300
2000-02-17,7.4375,7.0625,7.4375,7.125,417200
2000-02-18,7.25,7.0,7.125,7.0625,357400
2000-02-22,7.0625,6.875,7.0,7.0625,517200
2000-02-23,7.25,6.8125,7.0,7.125,628800
2000-02-24,7.25,6.875,7.25,6.875,467600
2000-02-25,7.0625,6.625,6.875,6.625,457300
2000-02-28,6.875,6.5,6.8125,6.625,496300
2000-02-29,6.9375,6.5625,6.625,6.8125,528900
