Date,High_JBHT,Low_JBHT,Open_JBHT,Close_JBHT,Volume_JBHT
2000-01-03,3.609375,3.265625,3.5625,3.359375,246000
2000-01-04,3.3125,3.1875,3.265625,3.1875,279600
2000-01-05,3.308593988418579,3.15625,3.25,3.21875,145600
2000-01-06,3.34375,3.25,3.25,3.3125,223600
2000-01-07,3.484375,3.265625,3.34375,3.3125,165600
2000-01-10,3.40625,3.1875,3.34375,3.21875,272400
2000-01-11,3.3125,3.21875,3.28125,3.265625,134400
2000-01-12,3.265625,3.171875,3.1875,3.234375,229200
2000-01-13,3.28125,3.21875,3.21875,3.25,300800
2000-01-14,3.265625,3.171875,3.21875,3.25,172000
2000-01-18,3.28125,3.171875,3.21875,3.21875,259600
2000-01-19,3.1875,3.109375,3.15625,3.109375,179600
2000-01-20,3.234375,3.109375,3.109375,3.21875,267600
2000-01-21,3.21875,3.078125,3.21875,3.078125,192800
2000-01-24,3.140625,3.0,3.117187976837158,3.03125,211600
2000-01-25,3.15625,3.0,3.09375,3.0,222400
2000-01-26,3.25,3.03125,3.03125,3.21875,244800
2000-01-27,3.296875,3.0625,3.21875,3.101562976837158,382000
2000-01-28,3.171875,3.03125,3.109375,3.171875,214000
2000-01-31,3.1875,2.9375,3.0,3.15625,976800
2000-02-01,3.140625,3.0625,3.132812976837158,3.109375,166800
2000-02-02,3.21875,3.09375,3.109375,3.171875,256000
2000-02-03,3.1875,3.125,3.15625,3.140625,254400
2000-02-04,3.1875,3.109375,3.109375,3.125,103200
2000-02-07,3.140625,3.0625,3.132812976837158,3.078125,298400
2000-02-08,3.15625,3.03125,3.03125,3.078125,278400
2000-02-09,3.125,3.03125,3.03125,3.0625,713600
2000-02-10,3.09375,3.0,3.0625,3.015625,149600
2000-02-11,3.078125,2.96875,3.0,3.046875,118000
2000-02-14,3.09375,2.953125,3.0,3.078125,224000
2000-02-15,3.078125,2.8125,3.0625,2.914062976837158,529600
2000-02-16,2.9375,2.84375,2.921875,2.867187976837158,512800
2000-02-17,2.9375,2.671875,2.9375,2.71875,570400
2000-02-18,2.8125,2.6875,2.78125,2.71875,498400
2000-02-22,2.75,2.6875,2.734375,2.734375,342400
2000-02-23,2.867187976837158,2.75,2.867187976837158,2.796875,530800
2000-02-24,2.8125,2.703125,2.765625,2.765625,970800
2000-02-25,2.828125,2.71875,2.765625,2.820312976837158,756400
2000-02-28,2.765625,2.625,2.75,2.71875,293600
2000-02-29,2.875,2.625,2.734375,2.875,257600
2000-03-01,3.0,2.78125,2.796875,2.9375,256800
2000-03-02,2.9375,2.8125,2.90625,2.828125,382000
2000-03-03,2.9375,2.8125,2.8125,2.875,164800
