Date,High_MKC,Low_MKC,Open_MKC,Close_MKC,Volume_MKC
2000-01-03,7.5,6.84375,7.5,6.984375,832800
2000-01-04,7.09375,6.890625,6.96875,7.078125,259600
2000-01-05,7.171875,6.953125,7.015625,7.140625,459200
2000-01-06,7.109375,6.828125,7.078125,7.046875,301600
2000-01-07,7.078125,6.96875,7.015625,7.015625,161600
2000-01-10,6.953125,6.6875,6.953125,6.703125,456400
2000-01-11,6.84375,6.640625,6.71875,6.65625,648400
2000-01-12,6.6875,6.28125,6.59375,6.65625,826400
2000-01-13,7.09375,6.71875,6.71875,6.8125,1039600
2000-01-14,7.03125,6.84375,6.84375,6.875,995200
2000-01-18,6.90625,6.5,6.875,6.5,1020400
2000-01-19,6.546875,6.1875,6.5,6.359375,960400
2000-01-20,6.359375,6.25,6.34375,6.28125,443600
2000-01-21,6.359375,6.140625,6.34375,6.25,534800
2000-01-24,6.265625,5.953125,6.21875,6.03125,838800
2000-01-25,6.15625,5.9375,6.0625,6.015625,816400
2000-01-26,6.46875,6.0625,6.0625,6.15625,1647200
2000-01-27,6.5625,6.296875,6.34375,6.34375,779200
2000-01-28,6.5,6.1875,6.3125,6.46875,738000
2000-01-31,6.671875,6.4375,6.4375,6.609375,479600
2000-02-01,6.625,6.359375,6.625,6.546875,426400
2000-02-02,6.515625,6.078125,6.5,6.1875,626800
2000-02-03,6.5625,6.28125,6.3125,6.5,1090400
2000-02-04,6.875,6.5,6.59375,6.8125,1041600
2000-02-07,6.765625,6.53125,6.765625,6.609375,617600
2000-02-08,6.84375,6.59375,6.59375,6.75,497200
2000-02-09,6.765625,6.671875,6.703125,6.765625,389600
2000-02-10,6.875,6.75,6.765625,6.78125,561200
2000-02-11,6.90625,6.765625,6.8125,6.78125,823600
2000-02-14,6.796875,6.734375,6.765625,6.765625,424800
2000-02-15,7.015625,6.75,6.75,7.015625,761600
2000-02-16,6.96875,6.84375,6.953125,6.875,725200
2000-02-17,6.90625,6.8125,6.859375,6.828125,424000
2000-02-18,6.90625,6.78125,6.78125,6.875,1544800
2000-02-22,6.90625,6.75,6.75,6.859375,248400
2000-02-23,7.015625,6.84375,6.859375,7.015625,478000
2000-02-24,6.890625,6.578125,6.890625,6.640625,636800
2000-02-25,6.625,6.546875,6.578125,6.578125,176400
