Date,High_MOS,Low_MOS,Open_MOS,Close_MOS,Volume_MOS
2000-01-03,17.0625,16.5,17.0,16.75,816800
2000-01-04,16.625,16.1875,16.375,16.375,484600
2000-01-05,17.1875,16.3125,16.375,17.0,703600
2000-01-06,17.8125,17.0,17.25,17.25,871300
2000-01-07,17.9375,17.375,17.5,17.5,890200
2000-01-10,18.8125,17.75,17.75,18.625,900900
2000-01-11,18.75,18.1875,18.5,18.1875,367900
2000-01-12,18.375,17.9375,18.125,18.0,318600
2000-01-13,19.375,18.5,19.375,18.75,1169700
2000-01-14,18.75,18.0625,18.6875,18.125,692900
2000-01-18,18.6875,18.125,18.125,18.375,578200
2000-01-19,18.625,17.6875,18.4375,17.8125,465300
2000-01-20,17.9375,17.25,17.875,17.25,314900
2000-01-21,18.0,17.125,17.5,17.1875,646700
2000-01-24,17.875,16.9375,17.5,17.3125,500900
2000-01-25,17.375,16.75,17.0625,17.125,407800
2000-01-26,17.25,16.875,17.25,16.9375,374300
2000-01-27,16.9375,16.1875,16.8125,16.3125,542600
2000-01-28,16.9375,16.3125,16.5,16.875,335800
2000-01-31,16.875,15.875,16.875,16.375,821100
2000-02-01,17.4375,17.0,17.25,17.25,622500
2000-02-02,17.4375,17.0625,17.0625,17.1875,720000
2000-02-03,17.3125,16.4375,17.125,16.6875,542600
2000-02-04,16.875,16.25,16.6875,16.375,336700
2000-02-07,16.875,16.4375,16.75,16.5625,377700
2000-02-08,17.0,16.25,16.5,16.9375,903300
2000-02-09,16.9375,15.875,16.875,15.9375,505600
2000-02-10,16.125,15.4375,16.0625,15.625,509500
2000-02-11,15.875,15.0,15.625,15.0,676200
2000-02-14,16.125,15.125,15.25,15.875,290400
2000-02-15,16.4375,15.9375,15.9375,16.0,475500
2000-02-16,16.1875,15.5625,16.0,15.625,516900
2000-02-17,16.1875,15.5,15.875,15.5,487800
2000-02-18,15.5625,14.5,15.375,15.0,701600
2000-02-22,15.375,14.6875,14.9375,15.375,464300
2000-02-23,15.375,14.5625,15.3125,15.0,608300
2000-02-24,15.125,14.6875,15.0,14.75,295000
2000-02-25,15.0625,14.75,14.9375,14.75,282800
2000-02-28,15.0,14.125,14.125,14.5625,451500
2000-02-29,14.9375,13.5,14.625,13.5,2301000
2000-03-01,13.875,13.5,13.625,13.75,343000
2000-03-02,13.9375,13.5,13.6875,13.8125,214100
2000-03-03,14.25,13.75,13.8125,13.875,222600
2000-03-06,13.875,12.9375,13.8125,13.0625,514900
