Date,High_NEM,Low_NEM,Open_NEM,Close_NEM,Volume_NEM
2000-01-03,24.875,23.75,24.0,24.0625,906900
2000-01-04,23.625,22.1875,23.25,22.25,1783800
2000-01-05,23.1875,22.5,22.5,22.5,1180300
2000-01-06,22.375,21.9375,22.0625,22.25,1688400
2000-01-07,22.6875,21.25,22.5,21.4375,1528800
2000-01-10,21.6875,21.3125,21.5,21.375,1222900
2000-01-11,22.625,21.5,21.625,22.625,1595500
2000-01-12,22.3125,21.8125,22.1875,22.125,2195200
2000-01-13,22.125,21.25,22.125,21.375,3962600
2000-01-14,21.4375,20.5,21.375,20.8125,3470900
2000-01-18,22.125,20.9375,21.0625,22.125,3087200
2000-01-19,22.1875,21.5625,22.125,21.875,1759200
2000-01-20,21.25,20.6875,21.1875,21.0625,1913300
2000-01-21,21.375,20.8125,20.9375,21.1875,1359300
2000-01-24,20.6875,20.125,20.25,20.5,1240000
2000-01-25,20.5,19.125,20.5,19.375,1482500
2000-01-26,19.9375,19.4375,19.9375,19.625,1015800
2000-01-27,21.4375,19.75,20.125,21.4375,1753900
2000-01-28,21.6875,19.75,21.4375,20.0625,1453500
2000-01-31,20.5,20.0625,20.25,20.375,914500
2000-02-01,20.125,19.625,20.125,19.875,925900
2000-02-02,21.125,20.3125,20.375,20.875,1665000
2000-02-03,21.375,20.3125,20.8125,21.25,1779500
2000-02-04,24.625,22.25,22.4375,24.0,5190800
2000-02-07,25.4375,22.625,25.4375,22.75,4931900
2000-02-08,22.625,22.0,22.625,22.0,1513600
2000-02-09,24.375,23.1875,23.4375,23.875,2560300
2000-02-10,25.125,23.375,24.1875,24.625,2603400
2000-02-11,24.5,23.625,24.1875,23.9375,1541200
2000-02-14,23.875,23.0,23.875,23.1875,1458800
2000-02-15,24.1875,22.1875,22.8125,24.0,1736300
2000-02-16,24.6875,23.1875,24.4375,24.25,1374600
2000-02-17,24.5,23.0,24.375,23.0625,1133600
2000-02-18,24.6875,23.4375,23.625,24.5,1470000
2000-02-22,25.9375,23.875,24.25,25.0625,2265500
2000-02-23,24.625,23.25,24.5,23.25,1700800
2000-02-24,23.5625,22.875,23.375,23.1875,1593000
2000-02-25,22.5625,22.0625,22.5,22.3125,1001700
2000-02-28,23.0625,22.0625,22.4375,22.125,1258900
2000-02-29,22.6875,21.875,22.375,22.125,980900
2000-03-01,22.625,22.0625,22.0625,22.625,681700
2000-03-02,22.3125,21.1875,22.0,21.625,1231400
2000-03-03,22.1875,21.4375,21.5625,21.5625,765000
2000-03-06,22.25,21.5,21.5625,22.0,464200
2000-03-07,24.875,22.375,22.375,24.4375,2578900
2000-03-08,24.6875,23.1875,23.75,23.3125,1810700
2000-03-09,24.1875,23.4375,23.5,24.0,1111200
2000-03-10,23.8125,23.0625,23.5,23.25,1048900
2000-03-13,24.3125,23.5,23.625,23.6875,899800
2000-03-14,24.3125,23.5,24.0,24.3125,907300
2000-03-15,24.4375,23.625,24.25,23.875,649800
2000-03-16,23.75,22.5,23.75,22.75,1426500
2000-03-17,23.3125,22.3125,22.875,22.8125,1405100
2000-03-20,23.3125,22.75,22.9375,23.0,1118300
2000-03-21,24.3125,22.875,23.0,24.125,1724600
2000-03-22,23.625,23.25,23.375,23.3125,1305400
2000-03-23,23.125,22.625,23.0,23.0,1091500
2000-03-24,23.8125,23.0,23.0,23.375,936600
2000-03-27,23.125,22.5,23.0625,22.6875,1200900
2000-03-28,22.875,22.5625,22.8125,22.625,1082200
2000-03-29,23.4375,22.0625,22.625,22.3125,1840700
2000-03-30,22.8125,22.3125,22.3125,22.375,915300
2000-03-31,23.0625,22.3125,22.3125,22.4375,1074300
2000-04-03,22.75,22.125,22.375,22.4375,1063500
2000-04-04,24.3125,22.0,22.25,23.5,2355700
2000-04-05,23.75,22.875,23.5,23.625,1095200
2000-04-06,23.4375,22.8125,23.375,23.0625,549100
2000-04-07,23.5,22.75,23.0625,23.1875,715200
2000-04-10,23.5625,23.0,23.5,23.0625,976600
2000-04-11,23.6875,23.1875,23.25,23.375,932600
2000-04-12,23.5625,22.375,23.0,22.4375,1779600
2000-04-13,22.625,21.25,22.5,21.3125,2369000
2000-04-14,22.9375,22.125,22.1875,22.3125,2650500
2000-04-17,23.5,22.25,22.6875,23.375,2094700
2000-04-18,23.5625,22.5,23.5625,23.5,1382200
2000-04-19,24.125,23.125,23.1875,24.0625,1135000
2000-04-20,24.6875,23.75,24.0,23.8125,1061100
2000-04-24,24.4375,23.9375,24.0625,24.0625,785200
2000-04-25,24.0,22.75,24.0,23.1875,1199800
2000-04-26,23.875,22.8125,22.875,23.625,822000
2000-04-27,24.5,23.3125,24.5,24.0,1667100
2000-04-28,23.4375,22.9375,23.0,23.4375,1087000
2000-05-01,23.4375,22.875,23.3125,23.4375,1073700
2000-05-02,27.0,23.75,23.75,26.375,3672600
2000-05-03,27.125,25.0,25.25,26.25,3493600
2000-05-04,28.375,26.3125,26.5,27.75,3529600
2000-05-05,27.5,25.4375,27.375,26.4375,2215500
2000-05-08,26.75,25.6875,26.0625,26.6875,1191100
2000-05-09,27.5,26.0625,26.3125,26.875,1749600
2000-05-10,27.75,26.3125,27.0625,26.6875,1516000
2000-05-11,26.1875,25.125,26.1875,26.0,1151400
2000-05-12,26.375,24.6875,26.0,25.125,1693500
2000-05-15,26.125,24.8125,25.125,25.3125,1499800
2000-05-16,25.875,25.0,25.25,25.3125,1072300
2000-05-17,25.125,24.0625,25.0,24.0625,801300
2000-05-18,24.6875,24.0,24.1875,24.0625,988400
2000-05-19,25.4375,24.25,24.3125,24.6875,1315500
2000-05-22,26.375,24.625,24.8125,24.875,2112800
2000-05-23,25.6875,24.5625,24.75,25.4375,1332100
2000-05-24,25.875,24.6875,25.25,24.875,1396000
2000-05-25,25.25,24.375,25.0,24.625,885700
2000-05-26,25.125,24.125,24.375,24.375,902800
2000-05-30,24.75,24.0625,24.4375,24.0625,935000
2000-05-31,24.3125,23.0,24.1875,23.0625,1577800
2000-06-01,23.375,22.9375,23.1875,23.0,909600
2000-06-02,24.4375,23.5,23.625,23.625,2025200
2000-06-05,25.9375,23.5,24.25,25.5,2527100
2000-06-06,26.5,25.1875,26.25,25.5,2213700
2000-06-07,25.0625,24.125,24.8125,24.25,1582900
2000-06-08,24.9375,23.875,23.875,24.4375,796800
2000-06-09,24.8125,23.75,24.6875,23.8125,644100
2000-06-12,24.9375,23.875,23.875,24.75,1114900
2000-06-13,25.8125,24.0625,25.75,24.25,1741700
2000-06-14,25.25,24.1875,24.5,24.5625,1365000
2000-06-15,24.375,23.8125,24.125,24.25,1100500
2000-06-16,24.75,24.0,24.125,24.21875,1093200
2000-06-19,23.875,23.0,23.875,23.0625,1124200
2000-06-20,23.4375,22.6875,23.3125,23.0625,965000
2000-06-21,23.125,22.125,22.875,22.4375,1744100
2000-06-22,22.96875,21.8125,22.625,21.9375,1398900
2000-06-23,22.125,21.0,21.875,21.5625,1112100
2000-06-26,21.6875,21.125,21.625,21.25,900000
2000-06-27,21.8125,20.875,21.25,21.75,1280300
2000-06-28,23.0,21.6875,22.0,22.765625,2254100
2000-06-29,22.625,21.0625,22.5625,21.1875,1480900
2000-06-30,21.875,21.0625,21.25,21.625,976000
2000-07-03,21.6875,21.3125,21.6875,21.5,185200
2000-07-05,21.125,19.875,21.0,19.9375,1218300
2000-07-06,20.625,20.0625,20.375,20.25,1140300
2000-07-07,20.5,19.875,20.375,19.9375,630900
2000-07-10,20.375,19.6875,20.0625,20.0,776800
2000-07-11,20.875,19.8125,20.0,20.875,1052400
2000-07-12,20.5,19.875,20.5,20.0625,1148800
2000-07-13,20.5,19.9375,20.125,20.125,680800
2000-07-14,20.1875,19.1875,20.0625,19.375,1176800
2000-07-17,19.6875,19.3125,19.5,19.4375,1149300
2000-07-18,19.875,19.3125,19.375,19.4375,886500
2000-07-19,19.25,18.8125,19.25,18.9375,919800
2000-07-20,19.0625,18.0,18.9375,18.1875,1902300
2000-07-21,18.375,17.6875,18.1875,17.75,1274100
2000-07-24,18.0625,17.5625,18.0,17.625,1562400
2000-07-25,18.0,17.375,17.9375,17.4375,1010600
2000-07-26,17.75,17.375,17.625,17.625,1750000
2000-07-27,18.0,17.4375,17.8125,17.5625,1260000
2000-07-28,18.125,17.5625,17.5625,18.125,1206400
2000-07-31,18.1875,17.625,18.125,17.6875,799100
2000-08-01,18.0,17.5625,17.875,17.9375,701500
2000-08-02,18.3125,17.625,18.0625,18.1875,960100
2000-08-03,18.1875,17.0,18.1875,17.0625,1399300
2000-08-04,17.5625,16.9375,17.25,17.4375,830100
2000-08-07,17.8125,17.4375,17.5625,17.5625,453500
2000-08-08,17.6875,17.3125,17.5625,17.6875,415000
2000-08-09,17.6875,17.3125,17.4375,17.4375,457000
2000-08-10,17.9375,17.375,17.375,17.8125,661300
2000-08-11,18.8125,17.6875,17.875,18.6875,1372100
2000-08-14,18.6875,18.0625,18.6875,18.625,740800
2000-08-15,18.75,18.1875,18.625,18.625,1142000
2000-08-16,19.1875,18.625,18.875,18.9375,1619000
2000-08-17,19.0,18.4375,19.0,18.5625,726700
2000-08-18,18.4375,18.125,18.1875,18.125,848400
2000-08-21,18.1875,17.8125,18.125,17.875,887400
2000-08-22,18.125,17.5625,17.75,17.6875,885600
2000-08-23,18.125,17.625,17.9375,17.75,746600
