Date,High_NSC,Low_NSC,Open_NSC,Close_NSC,Volume_NSC
2000-01-03,20.375,19.8125,20.25,20.125,694200
2000-01-04,20.375,19.875,20.125,20.25,859600
2000-01-05,20.375,19.75,20.25,20.125,969300
2000-01-06,21.5625,19.6875,20.1875,21.3125,1390700
2000-01-07,21.375,20.5,21.25,20.6875,730800
2000-01-10,21.3125,20.375,20.8125,21.3125,700400
2000-01-11,21.6875,21.0625,21.125,21.375,749700
2000-01-12,21.8125,20.9375,21.625,21.1875,666400
2000-01-13,22.75,21.3125,21.4375,21.75,1058900
2000-01-14,21.875,21.25,21.75,21.4375,871300
2000-01-18,21.0,20.125,21.0,20.375,1251300
2000-01-19,20.4375,20.0,20.25,20.0625,1144700
2000-01-20,20.25,19.1875,20.0625,19.75,2308200
2000-01-21,20.0,19.4375,20.0,19.6875,728400
2000-01-24,19.9375,18.9375,19.9375,18.9375,743800
2000-01-25,19.8125,18.3125,19.0,18.8125,848000
2000-01-26,18.75,17.3125,18.4375,17.75,1686100
2000-01-27,18.4375,17.3125,18.125,17.5,1854000
2000-01-28,17.6875,17.0625,17.25,17.25,1595000
2000-01-31,17.3125,16.5625,17.25,17.0,1309500
2000-02-01,17.25,16.75,16.75,16.75,1023700
2000-02-02,16.75,16.25,16.5625,16.3125,1065900
2000-02-03,16.5,16.0,16.375,16.0625,1025200
2000-02-04,16.1875,15.5,16.0625,15.75,1264800
2000-02-07,16.4375,15.75,16.0,16.25,1249800
2000-02-08,16.25,15.3125,16.0,15.375,1128600
2000-02-09,15.9375,15.3125,15.875,15.3125,1693300
2000-02-10,15.75,15.0,15.5,15.0,1809900
2000-02-11,15.3125,14.5625,15.3125,14.625,986200
2000-02-14,15.625,14.8125,15.0,15.125,2381300
2000-02-15,15.5,15.0,15.125,15.1875,1072600
2000-02-16,15.375,14.6875,15.25,15.25,1664900
2000-02-17,15.1875,14.6875,14.8125,14.8125,1176800
2000-02-18,15.125,14.8125,14.9375,14.8125,1047000
2000-02-22,15.3125,14.6875,14.6875,15.125,1024400
2000-02-23,15.0,14.6875,14.875,14.75,1218800
2000-02-24,14.75,13.6875,14.75,13.75,2180200
2000-02-25,14.0625,13.6875,13.75,13.75,1923700
2000-02-28,14.125,13.5625,14.0625,13.9375,2864500
2000-02-29,14.125,13.4375,13.9375,13.5625,2224400
2000-03-01,14.1875,13.4375,13.625,13.875,1533600
2000-03-02,13.9375,13.125,13.9375,13.4375,1834500
2000-03-03,14.125,13.375,13.4375,13.9375,1200500
2000-03-06,13.75,13.0625,13.75,13.375,1080500
2000-03-07,13.5,12.6875,13.375,12.9375,1652600
2000-03-08,13.3125,12.875,13.0,12.9375,1023800
2000-03-09,13.25,12.75,13.0,13.1875,1030600
2000-03-10,13.1875,12.8125,12.9375,13.1875,1382200
2000-03-13,13.125,12.6875,12.875,12.9375,1201400
2000-03-14,12.875,12.6875,12.875,12.75,1871700
2000-03-15,13.6875,12.75,12.875,13.625,1619900
2000-03-16,15.125,13.8125,13.875,15.125,2207900
2000-03-17,15.9375,15.0,15.125,15.875,2308700
2000-03-20,16.0,14.6875,15.9375,15.0,1052800
2000-03-21,15.0625,14.375,14.6875,15.0,755100
2000-03-22,15.1875,14.5625,15.0,14.9375,875200
2000-03-23,14.9375,14.3125,14.75,14.375,792000
2000-03-24,14.6875,13.9375,14.25,14.25,955000
2000-03-27,15.0,14.25,14.5,15.0,1018400
2000-03-28,14.9375,13.8125,14.6875,13.875,958300
2000-03-29,14.4375,13.875,14.0,14.0,726200
2000-03-30,14.375,13.875,14.0,14.125,914800
2000-03-31,14.625,13.8125,14.0625,14.25,1318100
2000-04-03,14.75,14.1875,14.375,14.375,1347800
2000-04-04,15.125,14.5,14.5,14.8125,1387000
2000-04-05,16.125,15.0,15.0,15.9375,1770300
2000-04-06,16.625,15.875,16.0,15.875,1329300
2000-04-07,16.5,15.5625,15.9375,16.375,1865200
2000-04-10,16.4375,16.1875,16.3125,16.3125,908100
2000-04-11,18.0,16.3125,16.3125,17.625,1667100
2000-04-12,19.1875,17.625,18.0,17.6875,1431300
2000-04-13,17.75,16.75,17.75,17.4375,719600
2000-04-14,17.25,16.3125,16.9375,17.0625,983700
2000-04-17,17.25,16.625,17.0,16.875,912400
2000-04-18,17.5,16.3125,16.8125,17.25,884500
2000-04-19,17.875,16.9375,17.25,17.5,772300
2000-04-20,17.5625,16.625,17.5625,17.125,739700
2000-04-24,17.625,17.0,17.125,17.4375,711000
2000-04-25,18.625,17.71875,17.8125,18.4375,725500
2000-04-26,18.875,17.875,18.625,18.125,592900
2000-04-27,18.125,17.4375,17.875,17.6875,857100
2000-04-28,17.75,16.625,17.5,17.625,840500
2000-05-01,18.0,17.3125,17.875,17.625,841700
2000-05-02,17.5,17.0,17.5,17.375,781100
2000-05-03,17.5,16.875,17.0625,16.875,786100
2000-05-04,16.8125,16.25,16.75,16.3125,634900
2000-05-05,17.5625,16.3125,16.3125,17.25,1003500
2000-05-08,18.0625,17.25,17.25,17.9375,587500
2000-05-09,19.0,18.1875,18.1875,18.8125,1114100
2000-05-10,18.875,18.375,18.8125,18.625,1242600
2000-05-11,19.25,18.625,18.625,19.0,1309400
2000-05-12,19.5625,19.0,19.0625,19.3125,939200
2000-05-15,19.4375,18.9375,19.3125,19.0,612100
2000-05-16,19.6875,19.0,19.0625,19.6875,576500
2000-05-17,19.6875,19.0625,19.5,19.25,346400
2000-05-18,19.5625,19.0625,19.125,19.3125,721300
2000-05-19,19.1875,18.6875,19.0,18.75,722300
2000-05-22,18.9375,18.1875,18.875,18.5625,687800
2000-05-23,18.625,18.125,18.375,18.375,513300
2000-05-24,18.625,18.0,18.625,18.4375,739000
2000-05-25,18.6875,17.5,18.375,17.5,502200
2000-05-26,17.9375,16.875,17.5,17.25,887400
2000-05-30,17.8125,17.3125,17.3125,17.625,1239100
2000-05-31,18.0625,17.625,17.625,17.8125,996100
2000-06-01,19.0,17.9375,18.0,18.6875,907800
2000-06-02,19.6875,18.8125,19.0,19.5625,892300
2000-06-05,19.5625,18.625,19.3125,18.75,499700
2000-06-06,18.6875,17.5625,18.0625,17.875,579800
2000-06-07,18.375,17.75,17.875,17.8125,381700
2000-06-08,18.0,17.1875,18.0,17.4375,434500
2000-06-09,18.0,17.4375,17.875,17.9375,430400
2000-06-12,18.5,17.8125,18.1875,18.0625,458700
2000-06-13,18.4375,17.75,18.4375,17.875,522000
2000-06-14,17.875,17.0625,17.625,17.1875,483600
2000-06-15,17.3125,16.5,17.125,16.6875,808300
2000-06-16,16.875,16.375,16.625,16.40625,932900
2000-06-19,16.6875,15.9375,16.375,16.125,896500
2000-06-20,16.0625,15.375,16.0,15.5,1106000
2000-06-21,16.0,15.5625,16.0,15.6875,729400
2000-06-22,15.6875,14.9375,15.3125,15.0625,1284700
2000-06-23,15.6875,15.0625,15.125,15.1875,950000
2000-06-26,15.75,15.3125,15.3125,15.625,812600
2000-06-27,15.875,15.375,15.75,15.5625,510600
2000-06-28,16.25,15.75,15.875,15.953125,1119800
2000-06-29,16.0,15.5625,15.9375,15.75,706500
2000-06-30,15.8125,14.75,15.6875,14.875,1557600
2000-07-03,15.75,15.125,15.1875,15.625,506500
2000-07-05,16.1875,15.5,15.5,15.6875,719800
2000-07-06,16.4375,15.8125,16.25,16.25,1037900
2000-07-07,16.6875,16.375,16.5,16.4375,907800
2000-07-10,16.75,16.375,16.5,16.375,487300
2000-07-11,16.5625,16.125,16.375,16.5,725000
2000-07-12,16.6875,16.3125,16.5,16.4375,495500
2000-07-13,16.5625,16.0,16.375,16.3125,583000
2000-07-14,16.875,16.25,16.4375,16.5,947100
2000-07-17,17.1875,16.75,16.9375,16.875,673600
2000-07-18,16.8125,16.25,16.8125,16.3125,411700
2000-07-19,16.8125,15.625,16.25,15.875,803400
2000-07-20,16.4375,15.875,15.875,16.0,688500
2000-07-21,16.3125,15.625,16.25,15.625,433100
2000-07-24,15.8125,15.4375,15.8125,15.5,620400
2000-07-25,15.8125,15.5,15.625,15.625,842000
2000-07-26,18.0625,16.5,16.75,17.5625,3410600
2000-07-27,18.9375,17.8125,17.9375,18.6875,1711400
2000-07-28,18.9375,18.6875,18.75,18.75,1353500
2000-07-31,19.25,18.625,18.9375,18.671875,1572400
2000-08-01,19.0,18.6875,18.8125,18.8125,1116800
2000-08-02,19.125,18.625,18.625,19.0625,1435100
2000-08-03,19.6875,19.0,19.0625,19.1875,1242400
2000-08-04,19.4375,18.875,19.3125,19.3125,1161900
2000-08-07,19.4375,19.1875,19.25,19.375,1254000
2000-08-08,19.75,19.125,19.375,19.75,1184200
2000-08-09,19.125,18.4375,18.9375,18.625,952100
2000-08-10,18.8125,18.5,18.5,18.5625,852300
2000-08-11,19.0625,18.1875,18.25,19.0,1431900
2000-08-14,18.75,18.3125,18.6875,18.625,605200
2000-08-15,18.8125,18.1875,18.8125,18.25,765600
2000-08-16,18.3125,17.8125,18.0625,17.9375,665700
2000-08-17,18.0,17.6875,18.0,17.6875,529900
2000-08-18,18.0,17.0625,17.0625,17.9375,859500
2000-08-21,17.875,17.25,17.5625,17.625,584600
2000-08-22,17.875,17.125,17.5,17.75,509300
2000-08-23,17.5625,16.75,17.5,17.0625,742800
2000-08-24,17.3125,16.8125,17.0625,16.875,724700
2000-08-25,17.0,16.8125,16.875,16.875,333200
2000-08-28,16.9375,16.4375,16.9375,16.625,677500
2000-08-29,16.8125,16.25,16.6875,16.25,535000
2000-08-30,16.4375,16.1875,16.4375,16.1875,570800
2000-08-31,16.3125,16.0625,16.3125,16.078125,839600
2000-09-01,16.1875,15.9375,16.0625,16.0,1222300
2000-09-05,16.1875,16.0,16.0,16.0625,763200
2000-09-06,16.625,16.0,16.25,16.0625,671700
2000-09-07,16.1875,15.75,16.0625,15.875,1073700
2000-09-08,16.0,15.625,15.8125,15.75,760900
2000-09-11,15.9375,15.6875,15.8125,15.8125,780000
2000-09-12,15.875,15.5625,15.8125,15.875,566700
2000-09-13,16.1875,15.8125,15.875,15.9375,1082300
2000-09-14,16.125,15.625,15.9375,15.75,429500
2000-09-15,15.875,15.6875,15.75,15.75,776900
2000-09-18,15.8125,15.625,15.75,15.6875,603900
2000-09-19,15.75,15.3125,15.75,15.375,677000
2000-09-20,15.5,15.25,15.375,15.3125,775900
2000-09-21,15.625,15.3125,15.375,15.3125,459800
2000-09-22,15.5,15.0,15.375,15.3125,565000
2000-09-25,15.3125,15.0,15.25,15.125,621600
2000-09-26,15.1875,14.5625,15.125,14.625,1261000
2000-09-27,14.6875,14.125,14.5,14.5625,1341800
2000-09-28,14.8125,14.375,14.625,14.4375,947500
2000-09-29,14.8125,14.375,14.5,14.5,681300
2000-10-02,14.0,13.4375,14.0,13.5,1387900
2000-10-03,14.125,13.5625,13.5625,13.875,963800
2000-10-04,14.625,13.9375,14.0625,14.1875,1797000
2000-10-05,14.25,13.625,14.125,13.6875,1008200
2000-10-06,14.3125,13.75,13.9375,13.8125,565900
2000-10-09,13.9375,13.3125,13.9375,13.375,1021700
2000-10-10,13.4375,12.875,13.3125,13.0625,1648400
2000-10-11,13.0,12.625,12.9375,12.625,1619300
2000-10-12,12.875,12.25,12.75,12.6875,1045700
2000-10-13,12.75,12.5,12.6875,12.625,753900
2000-10-16,13.0625,12.5,12.625,12.5625,959200
2000-10-17,12.5625,12.1875,12.5625,12.3125,896900
2000-10-18,12.375,12.0,12.3125,12.1875,1574300
2000-10-19,12.375,12.1875,12.1875,12.25,881500
2000-10-20,12.4375,12.25,12.25,12.3125,1256200
2000-10-23,12.375,11.9375,12.3125,12.0,1243000
2000-10-24,12.875,12.125,12.1875,12.6875,1886600
2000-10-25,12.875,12.5,12.625,12.625,1175900
2000-10-26,13.0625,12.5625,12.625,13.0625,1618100
2000-10-27,13.0625,12.8125,12.875,13.0,1156500
2000-10-30,13.8125,13.0,13.0,13.625,1897600
2000-10-31,14.4375,13.625,13.625,14.125,1477000
2000-11-01,14.375,13.875,14.125,14.1875,1401000
2000-11-02,14.625,14.0625,14.0625,14.625,1007400
2000-11-03,15.3125,14.5625,14.5625,15.0625,1968200
2000-11-06,15.25,14.9375,15.0625,15.1875,884700
2000-11-07,15.25,14.8125,15.0625,14.9375,1131400
2000-11-08,14.9375,14.5,14.9375,14.75,944400
2000-11-09,14.75,14.625,14.6875,14.75,564400
2000-11-10,14.75,14.5,14.625,14.5625,1149000
2000-11-13,15.125,14.5,14.5625,14.9375,1150700
2000-11-14,15.3125,15.0,15.0,15.1875,1057200
2000-11-15,15.4375,15.125,15.1875,15.4375,666600
2000-11-16,15.625,15.3125,15.4375,15.4375,725900
2000-11-17,15.375,14.5625,15.1875,14.9375,1084200
2000-11-20,15.0,14.25,15.0,14.75,1691600
2000-11-21,14.75,14.25,14.625,14.5625,493800
