Date,High_NTRS,Low_NTRS,Open_NTRS,Close_NTRS,Volume_NTRS
2000-01-03,52.75,49.5,52.5625,50.46875,710100
2000-01-04,49.625,46.75,49.625,47.1875,1276900
2000-01-05,49.1875,46.8125,47.5,48.25,929200
2000-01-06,49.625,47.8125,48.1875,49.25,515900
2000-01-07,49.875,48.5,49.140625,49.875,612500
2000-01-10,50.0,48.1875,49.9375,48.625,528000
2000-01-11,48.4375,46.875,48.375,47.75,873100
2000-01-12,50.1875,47.625,47.75,49.9375,787200
2000-01-13,55.125,51.125,52.0,54.8125,2193600
2000-01-14,55.5,53.875,55.5,54.875,995100
2000-01-18,55.625,52.75,54.4375,55.5625,1015400
2000-01-19,59.9375,55.625,55.6875,57.1875,2081500
2000-01-20,57.25,53.75,57.1875,53.9375,467800
2000-01-21,56.625,53.5625,55.0,55.0625,903600
2000-01-24,55.375,53.125,55.0,53.4375,481800
2000-01-25,55.3125,53.125,53.9375,54.75,537700
2000-01-26,57.25,54.75,54.875,57.0,979800
2000-01-27,57.8125,54.875,57.0625,55.625,1014600
2000-01-28,55.375,53.1875,55.375,54.0,788500
2000-01-31,60.5625,53.375,53.875,60.375,2127600
2000-02-01,62.0,58.125,59.75,60.625,2151200
2000-02-02,62.375,58.125,61.25,58.90625,1931300
2000-02-03,60.0,57.0625,59.8125,57.0625,1848800
2000-02-04,59.125,57.25,57.59375,58.1875,953700
2000-02-07,59.3125,57.1875,58.0,59.25,447200
2000-02-08,60.625,58.875,59.4375,59.40625,770300
2000-02-09,59.75,57.125,59.375,57.25,590100
2000-02-10,58.125,57.0625,57.25,57.3125,1246300
2000-02-11,58.875,55.6875,57.125,55.84375,1047200
2000-02-14,56.75,54.0625,56.25,55.125,660800
2000-02-15,59.5,54.875,55.0625,58.625,956400
2000-02-16,58.875,56.375,58.375,57.5,902100
2000-02-17,59.125,56.375,58.0,58.875,1179900
2000-02-18,59.25,57.75,58.75,58.5625,2051200
2000-02-22,58.5,55.4375,58.375,56.875,956700
2000-02-23,57.875,55.5625,56.625,57.5625,1294600
2000-02-24,57.375,55.375,57.375,56.4375,924600
2000-02-25,56.5625,55.5,56.5,55.6875,1051800
2000-02-28,57.75,55.625,55.75,57.75,449200
2000-02-29,57.75,54.625,57.6875,56.5,1126100
2000-03-01,56.75,55.625,56.75,56.375,884300
2000-03-02,57.1875,55.8125,56.375,56.4375,584000
2000-03-03,58.0,56.25,57.0,57.0,639600
2000-03-06,58.5,56.4375,57.0,56.5,896300
2000-03-07,57.125,56.125,56.75,56.1875,840700
2000-03-08,56.125,53.0625,56.125,53.875,2636800
2000-03-09,54.0,52.4375,53.75,52.9375,1656700
2000-03-10,53.1875,52.1875,53.1875,52.3125,962700
2000-03-13,55.8125,51.0,51.75,54.5625,712700
2000-03-14,57.5,53.875,54.875,54.1875,862000
2000-03-15,57.3125,53.875,55.0,56.6875,1640500
2000-03-16,67.75,57.3125,57.8125,66.625,5989700
2000-03-17,65.0,61.625,64.0,63.3125,3449900
2000-03-20,63.125,59.4375,63.125,60.0625,1656000
2000-03-21,67.8125,59.5,60.1875,67.34375,1861100
2000-03-22,77.25,64.5,67.625,73.3125,1821900
2000-03-23,73.25,70.5625,73.1875,72.0625,2352900
2000-03-24,72.375,64.0,72.1875,67.125,2839700
2000-03-27,67.0625,61.6875,67.0625,62.6875,1912800
2000-03-28,67.8125,62.8125,62.859375,65.875,2056000
2000-03-29,66.5,63.625,65.875,65.3125,821600
2000-03-30,67.4375,63.4375,64.875,64.5,1057600
2000-03-31,68.625,64.5,65.875,67.5625,1264100
2000-04-03,72.5,67.5625,67.625,70.375,2609900
2000-04-04,72.125,63.875,70.5,68.09375,1343300
2000-04-05,69.875,65.25,67.75,66.4375,741200
2000-04-06,69.875,65.5,66.875,68.875,849700
2000-04-07,69.6875,66.375,69.5,66.9375,566400
2000-04-10,68.3125,64.5,66.9375,67.0625,784000
2000-04-11,70.1875,67.25,67.3125,68.59375,609900
2000-04-12,70.8125,66.4375,68.625,66.8125,1260900
2000-04-13,66.9375,63.0,66.90625,63.3125,967100
2000-04-14,63.234375,57.375,63.0625,57.8125,1656000
2000-04-17,62.125,57.75,57.875,58.8125,1702700
2000-04-18,70.125,59.5,59.625,70.0,1609200
2000-04-19,68.875,63.1875,68.3125,65.0625,833300
2000-04-20,65.5,64.5,64.8125,65.5,960700
2000-04-24,65.75,63.5,64.8125,64.6875,831100
2000-04-25,66.25,65.125,66.1875,65.6875,1407400
2000-04-26,66.875,65.5,66.125,66.25,1182200
2000-04-27,65.9375,63.375,65.65625,64.625,721200
2000-04-28,65.875,63.375,65.25,64.125,705500
2000-05-01,66.875,63.125,64.15625,65.4375,766300
2000-05-02,65.5625,63.3125,65.5,64.75,755000
2000-05-03,66.0,63.875,64.6875,64.5625,571600
2000-05-04,66.5,63.5,64.6875,63.625,899700
2000-05-05,63.75,62.3125,63.6875,63.1875,517800
2000-05-08,68.375,63.0,63.125,66.125,709500
2000-05-09,68.3125,65.25,66.0625,66.5625,558800
2000-05-10,66.3125,64.8125,66.25,65.6875,971000
2000-05-11,68.0,66.25,66.25,67.125,743800
2000-05-12,70.0625,66.375,67.25,69.3125,933700
2000-05-15,72.1875,68.375,68.4375,71.875,1230000
2000-05-16,73.3125,69.375,72.625,69.875,1167000
2000-05-17,69.8125,68.5625,69.5625,69.5625,264100
2000-05-18,71.25,69.1875,69.40625,69.1875,463500
2000-05-19,68.5,65.125,68.125,66.0625,768800
2000-05-22,67.625,65.375,66.4375,67.625,602800
2000-05-23,69.375,67.0,67.0,69.0,493700
2000-05-24,70.125,67.5,68.0,69.8125,1123300
2000-05-25,69.5,62.75,69.375,64.125,1181300
2000-05-26,67.125,64.375,64.625,65.9375,878400
2000-05-30,66.75,63.75,66.25,64.5625,795500
2000-05-31,66.5625,63.75,64.1875,65.8125,591100
2000-06-01,68.75,65.9375,66.3125,67.8125,998800
2000-06-02,71.4375,68.625,68.625,70.0625,1052600
2000-06-05,70.375,68.3125,69.65625,69.9375,1321600
2000-06-06,69.3125,68.125,69.125,69.125,709000
2000-06-07,71.25,68.625,68.9375,70.875,761900
2000-06-08,70.5625,67.375,70.125,68.6875,535400
2000-06-09,69.6875,65.375,69.375,65.625,472400
2000-06-12,69.0,66.0,66.5,68.5625,513900
2000-06-13,69.25,66.1875,68.375,67.0,738200
2000-06-14,69.875,66.5,66.96875,67.9375,1090000
2000-06-15,68.625,64.0625,68.5,65.4375,1134500
2000-06-16,66.25,61.875,66.0,62.1875,2068900
2000-06-19,69.234375,61.875,62.3125,67.1875,1366000
2000-06-20,68.0,66.0,66.25,66.6875,768300
2000-06-21,66.75,64.625,66.5625,66.125,504400
2000-06-22,69.375,65.6875,65.75,69.375,859300
2000-06-23,68.625,66.0,68.4375,66.0625,408800
2000-06-26,68.5,66.5625,67.0,67.75,321500
2000-06-27,69.125,67.375,67.375,68.125,408600
2000-06-28,68.125,66.3125,67.625,66.6875,519400
2000-06-29,67.0,64.5625,66.9375,64.875,710700
2000-06-30,65.875,64.5,64.6875,65.0625,926000
2000-07-03,68.375,64.875,65.0625,68.375,289700
2000-07-05,69.375,68.125,68.375,68.625,454300
2000-07-06,68.6875,65.625,68.3125,67.8125,650400
2000-07-07,69.3125,67.75,68.09375,69.0,772500
2000-07-10,70.25,68.9375,69.0,70.0,912400
2000-07-11,70.625,69.5,69.8125,70.625,607700
2000-07-12,72.625,70.75,70.875,71.5625,931000
2000-07-13,71.5625,70.5625,71.4375,71.125,1015000
2000-07-14,73.625,70.9375,71.0625,73.375,805600
2000-07-17,77.0,73.875,74.0,75.5,1453700
2000-07-18,76.375,73.6875,75.4375,74.625,829500
2000-07-19,76.625,73.875,73.90625,75.5625,457200
2000-07-20,76.375,74.6875,75.3125,75.734375,757500
2000-07-21,75.9375,72.75,74.84375,73.6875,741500
2000-07-24,75.5,72.875,73.375,74.9375,669300
2000-07-25,75.3125,74.375,75.0,74.984375,437100
2000-07-26,75.75,72.625,74.625,72.6875,895300
2000-07-27,76.25,72.6875,72.6875,75.3125,850200
2000-07-28,75.125,72.125,75.0625,74.75,1347800
2000-07-31,75.5,73.75,75.25,74.875,1169400
2000-08-01,75.0,73.6875,74.9375,74.75,411000
2000-08-02,76.0,74.1875,74.3125,75.6875,847500
2000-08-03,78.0,75.25,75.375,77.375,827400
2000-08-04,79.75,77.25,77.4375,79.4375,904900
2000-08-07,79.5625,76.6875,79.5625,78.4375,1451300
2000-08-08,78.5,77.25,77.921875,78.125,502300
2000-08-09,78.375,76.25,76.875,78.25,1129100
2000-08-10,81.625,78.25,78.25,80.0625,827900
2000-08-11,80.8125,78.75,79.78125,80.3125,469200
2000-08-14,81.4375,80.5,80.625,81.0625,1005600
2000-08-15,81.1875,79.640625,80.90625,80.0,911800
2000-08-16,80.9375,78.25,80.3125,78.375,404500
2000-08-17,79.5,77.875,78.9375,78.5625,534400
2000-08-18,79.0625,77.1875,78.6875,77.625,514000
2000-08-21,78.8125,77.0625,77.875,78.5625,211700
2000-08-22,79.75,77.875,78.5,79.5,703000
2000-08-23,80.640625,79.25,79.8125,79.265625,505400
2000-08-24,80.1875,79.0,79.34375,79.25,267300
2000-08-25,79.875,78.25,78.9375,79.125,327600
2000-08-28,81.625,78.9375,79.21875,81.1875,471000
2000-08-29,81.3125,79.0,81.1875,79.875,540200
2000-08-30,82.375,79.8125,79.8125,82.25,646200
2000-08-31,85.5,82.25,82.4375,84.3125,1106400
2000-09-01,84.875,82.5,84.6875,83.0,528900
2000-09-05,83.25,82.125,83.0,83.25,560800
2000-09-06,85.0625,82.75,82.8125,84.578125,506700
2000-09-07,85.75,84.25,84.5625,85.6875,472100
2000-09-08,87.9375,84.8125,84.84375,87.625,808600
2000-09-11,89.1875,86.8125,87.125,88.875,768000
2000-09-12,90.375,88.5,89.5625,89.9375,1003700
2000-09-13,90.1875,88.1875,90.125,88.375,1217200
2000-09-14,89.25,87.4375,89.0,87.9375,754300
2000-09-15,87.75,84.375,87.3125,85.25,1403400
2000-09-18,86.375,81.625,85.84375,82.375,668900
2000-09-19,84.625,82.3125,82.96875,84.0,662700
2000-09-20,83.8125,81.75,83.8125,83.0,525400
2000-09-21,82.75,80.125,82.625,81.1875,732800
2000-09-22,83.0625,79.75,81.1875,82.96875,1032800
2000-09-25,86.375,82.5,83.0,84.9375,852600
2000-09-26,86.3125,83.6875,85.0,85.9375,584800
2000-09-27,86.5625,84.5,85.9375,86.375,508200
2000-09-28,90.875,85.6875,85.6875,89.1875,1308200
2000-09-29,90.125,88.375,88.625,88.875,721300
2000-10-02,89.1875,86.875,89.0625,87.25,650300
2000-10-03,88.25,86.5,87.25,86.625,981300
2000-10-04,87.0,82.25,86.875,83.125,1297000
2000-10-05,86.0,82.9375,83.1875,84.8125,813900
2000-10-06,85.5625,82.5,85.0,82.75,730500
2000-10-09,83.5,81.125,83.1875,83.0,352800
2000-10-10,82.9375,79.5,82.875,80.3125,1021500
2000-10-11,80.0625,76.0,80.0625,76.8125,1619300
2000-10-12,77.5,71.9375,77.375,73.0,1312000
2000-10-13,77.6875,72.5,72.6875,75.6875,1477100
2000-10-16,76.125,70.75,74.609375,75.6875,2113100
2000-10-17,77.5,75.125,76.5,76.0,612500
2000-10-18,75.0,72.5,74.25,74.0,998600
2000-10-19,78.0,75.0,75.625,76.5,1060100
2000-10-20,77.375,75.375,76.375,75.4375,676100
2000-10-23,76.0,73.375,75.75,74.4375,605400
2000-10-24,79.875,74.625,74.625,79.4375,767000
2000-10-25,81.4375,78.75,78.875,80.25,711100
2000-10-26,80.25,76.6875,80.21875,80.0,1058600
2000-10-27,81.5625,79.0625,79.78125,80.625,748000
2000-10-30,87.0,80.6875,80.71875,86.0,1339900
2000-10-31,86.25,83.125,85.875,85.375,727700
2000-11-01,87.375,85.25,85.3125,87.1875,922500
2000-11-02,89.125,86.5,86.75,88.375,773600
2000-11-03,88.5,86.375,88.375,86.8125,518300
2000-11-06,88.9375,86.25,87.1875,88.25,718900
2000-11-07,88.6875,86.5625,88.125,87.3125,547200
2000-11-08,89.375,86.5,87.625,88.9375,629300
2000-11-09,89.75,87.375,88.90625,89.296875,826600
2000-11-10,89.3125,87.125,88.625,87.875,692700
2000-11-13,87.5625,83.9375,87.375,86.25,763300
2000-11-14,88.25,86.125,86.375,86.5625,540600
2000-11-15,86.546875,84.1875,85.9375,85.6875,449500
2000-11-16,85.75,83.5,85.5625,84.3125,609700
2000-11-17,84.5625,80.1875,84.4375,81.5,1479800
2000-11-20,83.1875,78.0,81.875,82.125,1356900
2000-11-21,83.125,80.5625,82.125,81.515625,945300
2000-11-22,81.609375,79.0,81.3125,80.265625,762000
2000-11-24,82.125,80.25,80.3125,81.75,149500
2000-11-27,83.625,81.625,81.75,81.6875,463000
2000-11-28,84.75,81.6875,81.90625,84.625,716400
2000-11-29,88.4375,84.375,84.5625,87.75,753800
2000-11-30,87.8125,83.5,87.8125,86.125,1254500
2000-12-01,86.6875,83.875,86.4375,84.5,677400
2000-12-04,84.5,82.40625,84.375,83.515625,794000
2000-12-05,88.4375,83.6875,83.96875,88.375,1077700
2000-12-06,92.125,87.125,87.1875,89.625,2049800
2000-12-07,91.5,88.625,89.3125,90.1875,1006500
2000-12-08,91.5,86.0,89.875,86.1875,1562100
2000-12-11,86.5,83.6875,86.3125,85.25,1131200
2000-12-12,86.0,84.0625,85.125,85.8125,623600
2000-12-13,88.0,83.25,86.5,84.0625,731200
2000-12-14,85.375,80.1875,84.0,84.3125,859900
2000-12-15,85.0,83.125,83.1875,83.375,1470500
2000-12-18,86.1875,83.5,83.59375,85.375,949800
2000-12-19,87.6875,82.875,85.875,83.625,953400
2000-12-20,83.5625,81.125,83.5,82.0,1588300
