Date,High_PEP,Low_PEP,Open_PEP,Close_PEP,Volume_PEP
2000-01-03,37.375,35.0,35.375,36.875,5298400
2000-01-04,37.5625,35.75,36.5625,35.9375,4555700
2000-01-05,36.3125,34.875,35.8125,35.0625,5701900
2000-01-06,36.875,34.5,34.75,36.625,6863100
2000-01-07,38.625,36.6875,36.875,37.625,10527800
2000-01-10,38.1875,36.625,38.125,36.875,6402500
2000-01-11,37.625,36.625,37.25,36.75,5607800
2000-01-12,37.25,36.3125,36.75,36.3125,4267300
2000-01-13,36.625,35.9375,36.3125,35.9375,3144200
2000-01-14,36.8125,35.9375,36.0625,36.1875,5413700
2000-01-18,37.0,35.5625,35.9375,36.25,4821600
2000-01-19,36.875,35.9375,36.875,36.4375,3999700
2000-01-20,36.4375,36.0,36.4375,36.125,3106100
2000-01-21,36.4375,35.75,36.1875,36.125,4454400
2000-01-24,36.375,34.8125,36.1875,35.3125,3785000
2000-01-25,35.375,33.875,35.3125,34.3125,4356500
2000-01-26,34.9375,33.75,34.3125,33.9375,3174100
2000-01-27,34.3125,33.25,34.0,33.8125,2610100
2000-01-28,34.0,33.1875,33.5625,33.25,4090800
2000-01-31,34.375,33.25,33.5,34.125,2989600
2000-02-01,34.3125,33.6875,34.0,34.0,3602600
2000-02-02,33.9375,32.9375,33.75,33.0,3289100
2000-02-03,33.375,32.625,33.0,33.0625,3662900
2000-02-04,34.125,32.625,33.625,32.75,3885600
2000-02-07,33.1875,32.25,32.875,32.375,3999700
2000-02-08,33.75,33.0,33.3125,33.3125,5010500
2000-02-09,35.125,33.75,35.0,34.0,8432500
2000-02-10,34.875,34.0625,34.875,34.625,5909500
2000-02-11,35.125,34.0,35.0,34.375,5530400
2000-02-14,34.5,33.9375,34.1875,34.0625,3493300
2000-02-15,34.875,34.0,34.0,34.1875,3909600
2000-02-16,34.8125,33.9375,34.125,34.0,4606800
2000-02-17,34.8125,34.25,34.5625,34.3125,2847700
2000-02-18,34.75,33.9375,34.375,34.25,3664500
2000-02-22,34.875,34.125,34.3125,34.6875,2929400
2000-02-23,34.75,34.0,34.3125,34.1875,3249300
2000-02-24,34.375,33.1875,34.0625,34.0,3612800
2000-02-25,34.375,32.6875,34.0,32.75,4205500
2000-02-28,33.875,32.75,33.1875,33.25,3654700
2000-02-29,33.0625,32.125,32.875,32.125,4635500
2000-03-01,32.9375,31.875,32.0,32.5625,5496400
2000-03-02,32.875,31.5625,32.6875,31.5625,5170400
2000-03-03,32.5,31.3125,32.5,31.625,4626600
2000-03-06,31.4375,30.6875,31.0625,31.0,4457900
2000-03-07,31.5,29.6875,31.0,30.625,7053200
2000-03-08,31.5,30.0625,31.0,30.5,5159800
2000-03-09,31.75,30.625,30.75,31.375,3913200
2000-03-10,31.375,30.5,31.0625,30.75,3649100
2000-03-13,31.1875,30.125,30.125,31.125,4308000
2000-03-14,30.75,30.125,30.625,30.6875,4602900
2000-03-15,33.1875,30.3125,30.4375,33.1875,5463800
2000-03-16,34.1875,32.25,33.0,34.0625,5410300
2000-03-17,33.9375,32.8125,33.0,33.0,4464500
2000-03-20,33.625,32.25,32.5,33.25,2643800
2000-03-21,34.3125,32.625,33.375,34.3125,5479700
2000-03-22,34.375,32.75,34.3125,33.5,3431700
2000-03-23,34.0,32.75,32.875,33.5,3792400
2000-03-24,33.5,32.5625,33.0,32.9375,3345700
2000-03-27,32.9375,31.5625,32.75,32.359375,3397100
2000-03-28,33.125,31.5625,31.6875,32.5,4814300
2000-03-29,33.6875,32.375,32.375,33.25,4254400
2000-03-30,35.9375,33.8125,33.9375,35.9375,6850900
2000-03-31,36.0625,34.5625,36.0,34.875,4957600
2000-04-03,36.375,34.625,34.625,36.125,4337100
2000-04-04,37.25,35.4375,36.125,36.4375,5803400
2000-04-05,37.375,36.5,37.0,36.75,4780500
2000-04-06,37.3125,36.125,36.6875,36.8125,4050000
2000-04-07,36.5625,35.3125,36.4375,36.0,3829600
2000-04-10,36.9375,35.875,36.0,36.25,2549500
2000-04-11,37.1875,36.0625,36.0625,37.0625,2408600
2000-04-12,37.875,36.25,36.25,37.25,4071700
