Date,High_PLD,Low_PLD,Open_PLD,Close_PLD,Volume_PLD
2000-01-03,19.9375,19.75,19.9375,19.8125,36200
2000-01-04,19.9375,19.0,19.9375,19.5,148500
2000-01-05,19.25,18.8125,19.0,19.25,178700
2000-01-06,19.8125,19.375,19.375,19.625,452800
2000-01-07,20.0,19.75,19.75,20.0,290700
2000-01-10,20.1875,19.9375,20.0,20.125,158200
2000-01-11,20.3125,20.0,20.125,20.1875,146000
2000-01-12,20.25,20.0,20.25,20.0,120000
2000-01-13,20.1875,19.9375,20.0,19.9375,85400
2000-01-14,20.0,19.75,20.0,19.75,80500
2000-01-18,20.6875,19.75,19.875,20.0625,548000
2000-01-19,20.3125,20.0625,20.125,20.1875,77100
2000-01-20,20.3125,20.125,20.25,20.3125,271000
2000-01-21,20.5,20.3125,20.375,20.4375,95000
2000-01-24,20.5,20.375,20.5,20.375,34600
2000-01-25,20.5625,20.375,20.375,20.4375,100400
2000-01-26,20.5625,20.4375,20.5,20.5,151100
2000-01-27,20.625,20.5,20.5,20.5625,59100
2000-01-28,20.625,20.4375,20.625,20.5,118700
2000-01-31,20.5,20.4375,20.5,20.4375,94800
2000-02-01,20.625,20.4375,20.5,20.5625,366600
2000-02-02,20.625,20.5,20.625,20.5,238200
2000-02-03,20.625,20.5,20.5625,20.5625,380400
2000-02-04,20.5625,20.4375,20.5625,20.5,101300
2000-02-07,20.625,20.375,20.375,20.5625,230300
2000-02-08,20.5625,20.375,20.5,20.4375,88000
2000-02-09,20.6875,20.25,20.375,20.4375,143500
2000-02-10,20.5625,20.375,20.4375,20.4375,93300
2000-02-11,20.6875,20.0625,20.5,20.0625,43200
2000-02-14,20.375,20.0,20.0625,20.3125,153200
2000-02-15,20.625,20.375,20.5625,20.625,144800
2000-02-16,20.6875,20.5,20.625,20.625,117900
2000-02-17,20.5625,20.4375,20.5,20.5625,102100
2000-02-18,20.5625,20.3125,20.5625,20.5,79300
2000-02-22,20.5625,20.25,20.25,20.5625,195500
2000-02-23,20.625,20.4375,20.625,20.5,103200
2000-02-24,20.5,20.1875,20.5,20.4375,235900
2000-02-25,20.25,20.125,20.25,20.25,43400
2000-02-28,20.25,20.0,20.125,20.125,135400
2000-02-29,20.25,20.0,20.1875,20.1875,172000
2000-03-01,20.25,20.0625,20.25,20.1875,169500
2000-03-02,20.25,20.0625,20.25,20.125,73300
2000-03-03,20.1875,20.0625,20.1875,20.0625,103400
2000-03-06,20.1875,19.9375,20.0,20.1875,106600
2000-03-07,20.1875,20.0625,20.0625,20.1875,170700
2000-03-08,20.3125,20.125,20.125,20.25,263200
2000-03-09,20.375,20.0625,20.375,20.1875,184000
2000-03-10,20.25,20.0,20.25,20.1875,201000
2000-03-13,20.25,20.0625,20.125,20.1875,681900
2000-03-14,20.375,20.1875,20.25,20.375,156800
2000-03-15,20.75,20.375,20.4375,20.75,372100
2000-03-16,20.9375,20.75,20.75,20.9375,337100
2000-03-17,21.0625,20.875,20.9375,20.9375,333000
2000-03-20,21.125,20.9375,21.0,21.0,73400
2000-03-21,21.0625,20.875,20.875,21.0,119400
2000-03-22,21.375,21.0,21.0625,21.375,215100
2000-03-23,21.5,21.3125,21.3125,21.5,512700
2000-03-24,21.5,21.3125,21.5,21.375,58700
2000-03-27,21.4375,21.1875,21.375,21.3125,66100
2000-03-28,21.4375,21.0,21.3125,21.125,30100
2000-03-29,21.25,21.0,21.125,21.1875,42800
2000-03-30,21.25,21.125,21.25,21.1875,50400
2000-03-31,21.5,21.0,21.0625,21.5,232900
2000-04-03,21.25,21.0,21.125,21.25,135700
2000-04-04,21.4375,21.25,21.4375,21.4375,188500
2000-04-05,21.5,21.375,21.375,21.375,145000
2000-04-06,21.4375,21.1875,21.375,21.3125,148500
2000-04-07,21.375,21.25,21.3125,21.3125,214300
2000-04-10,21.375,21.25,21.3125,21.375,270000
2000-04-11,21.625,21.1875,21.375,21.5,370300
2000-04-12,21.75,21.375,21.5,21.625,192300
2000-04-13,21.75,21.5,21.6875,21.75,357300
2000-04-14,21.625,21.3125,21.5625,21.625,123100
2000-04-17,21.625,21.5,21.5625,21.5625,139000
2000-04-18,21.75,21.5625,21.625,21.75,238500
2000-04-19,22.0,21.75,21.75,22.0,253500
2000-04-20,21.9375,21.75,21.75,21.875,177400
2000-04-24,22.0,21.8125,21.9375,22.0,123200
2000-04-25,22.0,21.875,21.9375,22.0,116300
2000-04-26,22.0625,21.9375,22.0,22.0625,270900
2000-04-27,22.125,21.625,22.0625,22.0,172400
2000-04-28,22.125,21.9375,22.0,22.0625,230300
2000-05-01,22.625,22.0625,22.0625,22.5625,300700
2000-05-02,23.125,22.5625,22.625,22.875,659500
2000-05-03,23.0,22.8125,22.875,22.875,162600
2000-05-04,23.0625,22.75,22.875,22.8125,407500
2000-05-05,23.0625,22.8125,23.0,22.875,79400
2000-05-08,22.875,22.6875,22.875,22.75,39300
2000-05-09,23.0,22.75,22.75,23.0,337300
2000-05-10,23.0,22.8125,23.0,22.8125,153200
2000-05-11,22.9375,22.6875,22.9375,22.75,199700
2000-05-12,22.9375,22.5,22.75,22.875,209600
2000-05-15,23.0,22.8125,22.9375,22.9375,220800
2000-05-16,23.0,22.875,22.9375,22.9375,60900
2000-05-17,22.875,22.625,22.875,22.6875,62000
2000-05-18,22.6875,22.5,22.625,22.5,58400
2000-05-19,22.5,22.0,22.5,22.25,485500
2000-05-22,22.4375,22.0,22.3125,22.25,271400
2000-05-23,22.5625,22.0,22.25,22.5,308700
2000-05-24,22.5625,22.375,22.375,22.4375,245400
2000-05-25,22.5,22.1875,22.3125,22.4375,39100
2000-05-26,22.5625,22.4375,22.5,22.5625,16300
2000-05-30,22.5625,22.4375,22.5625,22.5,46300
2000-05-31,22.5625,22.4375,22.5,22.5,43800
2000-06-01,22.5625,22.375,22.5625,22.4375,83400
