Date,High_PLUG,Low_PLUG,Open_PLUG,Close_PLUG,Volume_PLUG
2000-01-03,280.0,260.0,272.5,270.0,15910
2000-01-04,270.0,257.5,261.875,257.5,10130
2000-01-05,300.0,262.5,265.0,295.0,37670
2000-01-06,433.75,320.0,332.5,362.5,165260
2000-01-07,847.5,410.0,412.5,790.0,596040
2000-01-10,749.375,582.5,746.09375,588.125,373370
2000-01-11,585.0,481.25,581.25,506.875,132630
2000-01-12,650.0,522.5,530.0,568.75,213880
2000-01-13,597.5,550.0,597.5,578.75,53940
2000-01-14,602.5,550.0,586.25,550.0,40640
2000-01-18,650.0,566.25,580.0,635.0,76460
2000-01-19,870.0,645.625,677.5,777.5,275690
2000-01-20,860.0,751.25,831.25,850.0,145160
2000-01-21,1143.75,850.0,915.0,1088.75,307430
2000-01-24,1565.0,1230.0,1282.5,1365.0,411640
2000-01-25,1403.75,1150.0,1397.5,1310.0,266150
2000-01-26,1280.0,1180.0,1273.75,1198.75,115250
2000-01-27,1198.75,955.625,1190.625,989.375,226070
2000-01-28,947.5,815.0,906.25,835.0,225510
2000-01-31,960.0,762.5,775.0,937.5,289250
2000-02-01,1155.0,900.0,971.875,1134.375,327700
2000-02-02,1133.75,1025.0,1087.5,1030.0,132140
2000-02-03,1147.5,1000.625,1001.25,1110.0,127500
2000-02-04,1290.0,1120.0,1161.25,1150.0,141070
2000-02-07,1193.75,1056.25,1183.75,1090.0,81740
2000-02-08,1150.625,1100.0,1142.5,1130.0,46090
2000-02-09,1171.25,1091.875,1170.0,1115.0,30720
2000-02-10,1117.5,1053.125,1117.5,1091.25,41470
2000-02-11,1130.0,1050.625,1066.25,1121.25,24920
2000-02-14,1350.0,1135.0,1164.375,1335.0,156740
2000-02-15,1364.375,1215.625,1362.5,1263.75,71310
2000-02-16,1250.0,1170.0,1220.625,1196.25,40420
2000-02-17,1315.0,1167.5,1177.5,1287.5,70310
2000-02-18,1386.25,1250.625,1320.0,1310.0,67650
2000-02-22,1390.0,1260.0,1351.25,1303.75,64540
2000-02-23,1340.0,1260.0,1330.0,1269.375,19350
2000-02-24,1280.0,1160.0,1280.0,1206.25,39750
2000-02-25,1228.125,1146.25,1217.5,1152.5,25920
2000-02-28,1147.5,1001.25,1145.0,1067.5,77660
2000-02-29,1258.75,1080.0,1091.25,1174.375,57460
2000-03-01,1214.375,1157.5,1202.5,1172.5,21310
2000-03-02,1290.0,1152.5,1155.625,1210.0,49120
2000-03-03,1250.0,1207.5,1220.625,1208.75,22680
2000-03-06,1210.0,1161.875,1203.75,1171.25,20740
2000-03-07,1175.0,1081.875,1170.0,1110.0,25160
2000-03-08,1170.0,1105.0,1110.0,1168.75,35030
2000-03-09,1240.0,1176.875,1198.75,1191.25,25160
2000-03-10,1510.0,1270.0,1277.5,1497.5,189490
2000-03-13,1530.0,1300.0,1407.5,1400.0,88490
2000-03-14,1435.0,1160.0,1421.875,1170.0,63090
2000-03-15,1230.0,1151.875,1230.0,1182.5,55190
2000-03-16,1263.75,1183.75,1220.0,1235.0,27850
2000-03-17,1300.0,1210.0,1247.5,1218.75,16430
2000-03-20,1235.0,1095.0,1230.0,1105.625,42370
2000-03-21,1110.0,933.75,1075.625,1064.375,70740
2000-03-22,1094.375,1065.625,1089.375,1092.5,27010
2000-03-23,1150.0,1055.0,1105.625,1080.0,30120
2000-03-24,1112.5,992.5,1107.5,1015.625,57590
2000-03-27,1040.0,946.25,1030.0,968.125,49390
2000-03-28,970.0,910.0,962.5,916.875,36900
2000-03-29,925.0,797.5,925.0,847.5,77950
2000-03-30,890.0,800.0,811.25,837.5,34540
2000-03-31,908.75,838.75,838.75,850.0,48950
2000-04-03,880.0,747.5,863.125,761.875,42540
2000-04-04,880.0,730.0,855.0,830.0,102470
2000-04-05,970.0,823.75,834.375,920.0,47550
2000-04-06,966.875,897.5,926.875,910.0,25200
2000-04-07,948.75,876.25,928.75,887.5,14470
2000-04-10,925.0,800.0,924.53125,814.375,29570
2000-04-11,826.875,750.0,815.625,812.5,36810
2000-04-12,820.0,735.0,820.0,752.5,34320
2000-04-13,756.875,690.0,750.0,693.75,41530
2000-04-14,656.25,543.75,653.75,551.875,63950
2000-04-17,558.75,450.0,500.0,545.0,77550
2000-04-18,790.0,600.625,626.25,711.875,74270
2000-04-19,745.0,650.0,745.0,650.0,51150
2000-04-20,689.375,601.25,670.0,628.75,31460
2000-04-24,602.5,546.25,600.0,581.25,45880
2000-04-25,668.75,598.125,598.125,641.25,55230
2000-04-26,654.375,615.0,654.375,620.0,25610
2000-04-27,765.0,580.625,608.75,730.0,71850
2000-04-28,855.0,758.75,761.25,800.0,71000
2000-05-01,875.0,820.0,846.875,870.0,29050
2000-05-02,870.0,800.625,869.375,810.0,25170
2000-05-03,821.25,752.5,802.5,813.125,24430
2000-05-04,780.625,575.0,750.625,594.375,233210
2000-05-05,640.0,473.75,539.375,560.0,454430
2000-05-08,587.5,519.375,520.0,562.5,70770
2000-05-09,561.25,500.0,561.25,505.0,66930
2000-05-10,531.25,480.0,501.875,503.75,42780
2000-05-11,532.5,511.25,529.375,518.125,26760
2000-05-12,561.25,530.0,533.75,555.0,35440
2000-05-15,562.5,520.625,561.875,556.25,15170
2000-05-16,590.0,538.75,567.5,540.0,45320
2000-05-17,541.25,515.0,538.75,528.75,16480
2000-05-18,540.0,523.75,535.0,526.875,10870
2000-05-19,516.25,481.25,510.9375,506.25,23150
2000-05-22,501.25,467.5,500.625,498.75,17670
2000-05-23,497.5,462.5,496.25,475.0,17790
2000-05-24,465.0,402.5,461.875,445.0,53620
2000-05-25,447.5,405.0,431.875,411.25,22420
2000-05-26,406.25,380.0,403.75,394.375,31360
2000-05-30,473.75,400.0,400.0,472.5,33710
2000-05-31,495.0,455.0,462.5,460.0,21880
2000-06-01,508.75,462.5,476.25,501.875,26410
2000-06-02,561.25,510.625,510.625,548.75,34930
2000-06-05,550.0,510.0,549.6875,534.375,13280
2000-06-06,560.0,525.0,557.5,526.875,21920
2000-06-07,562.5,525.0,525.0,554.375,14790
2000-06-08,560.0,522.5,557.8125,522.5,9550
2000-06-09,560.0,522.5,523.125,540.0,9660
2000-06-12,567.5,521.875,560.0,530.625,16720
2000-06-13,518.75,495.0,518.75,510.0,16310
2000-06-14,550.0,500.0,514.0625,546.25,13420
2000-06-15,556.25,515.625,555.9375,529.375,12350
2000-06-16,526.25,502.5,520.0,510.0,10000
2000-06-19,518.75,504.375,510.0,515.0,23850
2000-06-20,627.5,510.0,516.875,625.0,130920
2000-06-21,616.875,565.0,603.75,580.0,60640
2000-06-22,606.875,570.0,597.34375,570.625,23180
2000-06-23,575.0,535.0,567.5,540.0,15130
2000-06-26,575.0,541.25,546.875,570.625,16530
2000-06-27,575.0,560.625,570.3125,573.75,6870
2000-06-28,599.375,569.0625,569.0625,585.0,18050
2000-06-29,610.0,557.5,580.625,610.0,24500
2000-06-30,646.25,586.25,610.3125,625.0,36340
2000-07-03,631.25,616.25,620.0,620.0,5010
2000-07-05,620.0,579.375,619.6875,610.0,15840
2000-07-06,645.0,592.5,606.875,615.0,19110
2000-07-07,695.0,610.0,615.625,660.625,61800
2000-07-10,684.375,630.0,665.9375,660.625,32060
2000-07-11,670.0,635.0,660.625,640.625,13300
2000-07-12,700.0,642.5,642.5,687.5,26220
2000-07-13,716.25,665.0,691.25,673.125,27960
2000-07-14,710.0,683.75,685.0,700.0,26430
2000-07-17,709.375,693.75,703.75,700.0,26280
2000-07-18,699.375,641.25,696.5625,653.125,25310
2000-07-19,676.25,618.75,655.625,632.5,11850
2000-07-20,653.75,626.25,632.5,630.0,10410
2000-07-21,621.25,586.875,621.25,587.5,23400
2000-07-24,596.875,557.5,595.3125,559.375,17730
2000-07-25,580.0,560.0,573.125,579.375,11030
2000-07-26,587.5,545.0,578.125,560.0,14390
2000-07-27,589.375,530.0,541.5625,585.0,20240
2000-07-28,580.0,530.0,572.5,533.125,12900
2000-07-31,552.5,500.0,551.25,500.625,27870
2000-08-01,530.0,502.5,502.5,518.90625,15240
2000-08-02,503.75,382.5,495.0,395.0,140460
2000-08-03,396.25,360.0,378.75,360.15625,78030
2000-08-04,407.96875,366.875,376.5625,391.25,45930
2000-08-07,431.25,392.5,404.6875,425.0,38070
2000-08-08,451.25,410.0,435.625,411.25,44980
2000-08-09,431.25,391.25,419.375,400.0,26520
2000-08-10,445.0,400.0,403.75,416.25,34450
2000-08-11,430.625,412.5,426.875,416.25,10760
2000-08-14,428.75,414.375,423.75,425.0,6670
2000-08-15,430.0,415.0,429.6875,415.0,9460
2000-08-16,440.0,415.625,420.0,440.0,9510
2000-08-17,450.0,428.125,439.6875,443.75,11540
2000-08-18,453.75,430.0,442.1875,451.25,16680
2000-08-21,461.25,441.25,452.5,458.125,7270
2000-08-22,463.75,440.625,450.3125,462.5,9770
2000-08-23,457.5,426.25,451.875,431.25,19560
2000-08-24,413.75,396.25,397.5,411.875,54700
2000-08-25,488.125,415.0,416.25,487.5,80230
2000-08-28,485.0,447.5,484.375,450.625,32410
2000-08-29,473.75,451.875,454.375,461.25,22140
2000-08-30,463.75,436.25,462.5,445.0,23470
2000-08-31,453.125,440.0,446.875,447.5,9690
2000-09-01,461.875,426.875,444.375,429.375,25880
2000-09-05,448.75,425.0,437.5,428.125,21680
2000-09-06,451.25,421.875,430.9375,430.9375,45880
2000-09-07,458.75,428.75,439.375,442.5,36420
2000-09-08,453.75,420.0,447.1875,433.125,17440
2000-09-11,435.0,410.0,428.125,413.75,42070
2000-09-12,598.75,428.125,436.25,525.0,557130
2000-09-13,618.75,527.5,542.5,550.0,499220
2000-09-14,575.0,500.625,570.0,509.375,186140
2000-09-15,543.75,482.5,487.5,492.5,212820
2000-09-18,532.5,465.0,490.0,470.0,112600
2000-09-19,478.75,445.0,470.625,456.25,74160
2000-09-20,497.5,456.25,456.875,476.875,114720
2000-09-21,495.0,466.875,475.625,473.75,52100
2000-09-22,472.5,430.0,452.5,440.0,52660
2000-09-25,462.5,425.0,440.0,455.0,69760
2000-09-26,472.5,435.0,450.0,443.75,47040
2000-09-27,453.125,400.0,443.75,402.5,56700
2000-09-28,400.625,367.5,398.75,384.375,47390
2000-09-29,405.625,370.0,381.5625,372.5,34520
2000-10-02,391.25,361.25,381.25,365.0,21220
2000-10-03,372.5,284.375,368.125,285.625,95230
2000-10-04,297.34375,250.625,265.0,275.0,104240
2000-10-05,328.75,290.0,301.25,311.25,115980
2000-10-06,313.75,271.25,297.5,297.8125,55590
2000-10-09,286.25,251.25,276.25,280.0,31650
2000-10-10,291.25,267.5,271.875,271.875,24980
2000-10-11,278.75,250.625,261.25,257.5,28800
2000-10-12,273.75,250.0,267.5,252.5,35730
2000-10-13,276.875,253.75,253.75,275.0,27800
