Date,High_PNW,Low_PNW,Open_PNW,Close_PNW,Volume_PNW
2000-01-03,30.3125,29.375,30.3125,29.75,246300
2000-01-04,30.125,29.5625,29.5625,30.125,347800
2000-01-05,31.25,29.875,29.875,30.9375,453000
2000-01-06,31.1875,30.8125,30.8125,31.125,139300
2000-01-07,32.0625,30.875,31.125,32.0,303300
2000-01-10,31.875,31.375,31.75,31.5625,178800
2000-01-11,31.6875,30.875,31.5625,31.25,150800
2000-01-12,32.0,31.0625,31.125,31.75,143500
2000-01-13,31.75,30.8125,31.75,31.0625,1107400
2000-01-14,31.0,30.625,31.0,30.875,204300
2000-01-18,31.0,30.0,30.875,30.125,348600
2000-01-19,31.0625,29.6875,29.6875,31.0625,208500
2000-01-20,31.5,30.3125,31.1875,30.375,326300
2000-01-21,31.125,30.5,30.9375,30.875,233400
2000-01-24,32.0625,30.6875,30.875,31.6875,520000
2000-01-25,32.3125,30.0625,31.9375,30.3125,519900
2000-01-26,31.25,30.25,30.5,30.875,308700
2000-01-27,31.875,31.0,31.125,31.625,841900
2000-01-28,30.9375,29.8125,30.875,29.9375,1628400
2000-01-31,30.875,29.75,30.3125,30.875,585300
2000-02-01,31.0,30.5625,30.75,31.0,170600
2000-02-02,31.3125,30.875,30.9375,31.0,169100
2000-02-03,31.9375,31.125,31.125,31.6875,460800
2000-02-04,31.6875,30.625,31.6875,30.8125,202500
2000-02-07,30.875,30.5625,30.8125,30.625,94800
2000-02-08,31.0,30.625,30.625,30.9375,228700
2000-02-09,31.625,30.125,30.8125,30.8125,382300
2000-02-10,31.1875,30.0,30.9375,30.4375,802100
2000-02-11,30.5625,30.0625,30.4375,30.4375,160800
2000-02-14,30.5,30.3125,30.5,30.375,342600
2000-02-15,30.5,30.0,30.375,30.3125,104900
2000-02-16,30.25,29.4375,30.1875,30.0,251100
2000-02-17,30.0625,29.375,30.0,29.625,236700
2000-02-18,29.5625,28.25,29.5,28.875,284400
2000-02-22,29.375,28.8125,29.125,28.9375,262700
2000-02-23,28.8125,27.875,28.8125,28.25,185800
2000-02-24,28.25,26.8125,28.25,27.375,135700
2000-02-25,27.0625,26.25,27.0,26.25,252100
2000-02-28,27.875,26.375,26.5,27.6875,243900
2000-02-29,27.875,27.3125,27.5,27.5,224500
2000-03-01,27.9375,27.25,27.625,27.375,679300
2000-03-02,27.625,27.375,27.5,27.4375,317200
2000-03-03,27.75,27.25,27.4375,27.375,356400
2000-03-06,27.25,25.875,27.25,26.125,303400
2000-03-07,26.75,26.0,26.0625,26.4375,339900
2000-03-08,27.1875,26.375,26.5625,26.5,328000
2000-03-09,27.0,26.25,26.5,26.9375,176000
2000-03-10,27.1875,26.0,27.1875,26.1875,936500
2000-03-13,26.25,25.6875,26.0625,25.9375,136700
2000-03-14,26.375,25.6875,25.9375,26.0625,187600
2000-03-15,28.6875,26.0,26.0,28.5625,696500
2000-03-16,29.9375,28.1875,28.4375,29.625,583700
2000-03-17,29.625,28.625,29.625,28.75,258600
2000-03-20,28.875,28.1875,28.875,28.375,536000
2000-03-21,28.5,27.6875,28.25,27.8125,375900
2000-03-22,27.75,26.5625,27.75,26.6875,481700
2000-03-23,28.0,26.5,26.5,27.0625,1041700
2000-03-24,27.25,26.6875,27.0,26.6875,634500
2000-03-27,27.3125,26.75,26.875,26.8125,835000
2000-03-28,26.875,26.625,26.6875,26.875,295500
2000-03-29,27.5625,26.75,26.75,27.5,530200
2000-03-30,28.0,27.375,27.375,27.9375,335300
2000-03-31,28.1875,27.5625,27.8125,28.1875,368600
2000-04-03,28.5625,27.875,28.375,28.1875,204600
2000-04-04,29.0,27.875,28.375,28.625,259600
2000-04-05,30.0,28.625,28.625,29.3125,380600
2000-04-06,29.5,28.875,29.5,29.0625,182300
2000-04-07,29.25,28.875,29.0,28.9375,178900
2000-04-10,29.625,28.625,28.75,29.5,161100
2000-04-11,30.0,29.375,29.625,29.375,263800
2000-04-12,30.75,29.625,29.625,30.1875,335800
2000-04-13,31.1875,30.0,30.375,30.9375,264300
2000-04-14,31.625,30.0625,30.8125,30.25,799200
2000-04-17,30.5,29.5,30.125,30.375,468400
2000-04-18,30.8125,29.875,30.125,29.875,473400
2000-04-19,30.75,29.6875,30.0,30.5625,1156700
2000-04-20,31.625,30.5625,30.5625,31.0625,298100
2000-04-24,33.125,30.875,30.875,32.8125,473100
2000-04-25,33.6875,32.375,32.875,33.625,298600
2000-04-26,35.0,33.375,33.5,35.0,250400
2000-04-27,34.5,33.125,34.5,33.5,748700
2000-04-28,35.25,33.625,33.625,35.0625,1058700
2000-05-01,35.5,34.8125,35.0,35.125,714500
2000-05-02,35.75,33.9375,35.1875,34.0625,848100
2000-05-03,34.125,33.1875,33.875,33.6875,286100
2000-05-04,34.75,33.5,33.8125,34.5625,413000
2000-05-05,35.0,34.0625,34.4375,35.0,502000
2000-05-08,36.5,34.875,34.875,36.5,1187700
2000-05-09,36.875,35.5625,36.875,36.6875,733600
2000-05-10,37.1875,36.5625,36.75,37.1875,292800
2000-05-11,38.0,37.0625,37.0625,37.75,304600
2000-05-12,37.75,36.5,37.75,36.9375,259800
2000-05-15,38.125,37.0625,37.125,37.75,569800
2000-05-16,37.75,36.5,37.6875,37.375,216100
2000-05-17,37.375,35.75,37.375,36.1875,217800
2000-05-18,37.375,36.4375,36.5,36.6875,300600
2000-05-19,36.8125,36.0625,36.5625,36.6875,161200
2000-05-22,37.3125,36.625,36.75,37.25,375000
2000-05-23,37.3125,36.1875,37.3125,36.625,361300
2000-05-24,37.625,36.8125,36.875,37.25,854200
2000-05-25,37.3125,35.8125,37.25,36.0,370300
2000-05-26,36.875,35.625,35.625,36.1875,656000
2000-05-30,36.4375,35.25,36.375,36.125,450400
2000-05-31,36.4375,35.75,36.1875,35.75,254400
2000-06-01,36.0,35.3125,35.75,35.6875,371600
2000-06-02,35.6875,34.875,35.625,35.0,261500
2000-06-05,35.375,33.6875,35.375,33.875,185800
2000-06-06,35.1875,33.625,34.0,34.8125,339400
2000-06-07,35.375,34.40625,35.0,34.5625,169200
2000-06-08,34.625,33.625,34.5625,34.5,723300
2000-06-09,35.0,34.5,34.5,34.75,160900
2000-06-12,35.5,34.75,34.875,35.0,168500
2000-06-13,36.0,34.875,34.875,35.6875,160300
2000-06-14,35.75,35.0625,35.75,35.125,214000
2000-06-15,35.9375,35.125,35.125,35.9375,282800
2000-06-16,36.25,35.75,35.875,36.03125,164400
2000-06-19,35.9375,35.4375,35.875,35.6875,295400
2000-06-20,35.875,35.1875,35.5625,35.625,386300
2000-06-21,36.3125,35.5,35.6875,35.5625,298800
2000-06-22,35.75,34.125,35.75,34.625,254800
2000-06-23,35.5,34.625,34.75,34.9375,148900
2000-06-26,35.4375,35.0625,35.125,35.375,194800
2000-06-27,35.5,34.0,35.5,34.375,319600
2000-06-28,35.5,33.6875,34.4375,35.34375,450300
2000-06-29,35.5,34.625,35.125,34.6875,202500
2000-06-30,35.875,33.875,34.8125,33.875,520700
2000-07-03,35.4375,33.8125,33.9375,35.125,213300
2000-07-05,36.5,35.125,35.5,35.375,740000
2000-07-06,35.875,34.9375,35.5,35.0,567000
2000-07-07,35.5,34.9375,35.0,35.1875,438300
2000-07-10,36.1875,35.125,35.1875,35.6875,311100
2000-07-11,36.3125,35.4375,35.5625,36.3125,127200
2000-07-12,36.5,35.9375,36.3125,36.25,118300
2000-07-13,36.875,36.0,36.0,36.625,132300
2000-07-14,38.0,37.0625,37.875,37.375,298200
2000-07-17,37.75,37.0625,37.125,37.46875,899900
2000-07-18,38.0,36.8125,37.375,36.875,393200
2000-07-19,38.0,36.875,36.9375,37.5625,199300
2000-07-20,37.75,37.3125,37.625,37.5,127000
2000-07-21,39.1875,37.625,37.625,37.6875,344000
2000-07-24,38.375,37.0625,37.6875,38.25,229500
2000-07-25,39.5625,38.25,38.25,38.5,497100
2000-07-26,38.875,38.375,38.375,38.625,489100
2000-07-27,39.5,38.5625,38.625,39.3125,429200
2000-07-28,38.875,38.4375,38.875,38.8125,181300
2000-07-31,39.75,39.0,39.0,39.5625,371000
2000-08-01,41.0,39.625,39.8125,41.0,535600
2000-08-02,41.4375,40.625,40.875,41.4375,199000
2000-08-03,42.25,41.125,41.25,41.390625,475800
2000-08-04,41.4375,39.875,41.4375,41.0,840300
2000-08-07,41.375,40.3125,41.0625,41.140625,702700
2000-08-08,41.9375,41.0,41.3125,41.8125,134400
2000-08-09,41.8125,41.3125,41.5625,41.3125,215100
2000-08-10,41.3125,40.75,41.3125,40.890625,190100
2000-08-11,41.8125,40.8125,40.9375,41.6875,234600
2000-08-14,42.0,40.3125,40.3125,41.6875,251800
2000-08-15,41.875,40.875,41.5,41.6875,550900
2000-08-16,41.75,41.4375,41.75,41.6875,502400
2000-08-17,42.3125,41.6875,41.6875,42.125,426600
2000-08-18,42.125,41.875,42.0,42.125,270500
2000-08-21,42.125,41.6875,42.0625,41.9375,414600
2000-08-22,42.5,41.9375,41.9375,42.1875,101400
2000-08-23,42.625,42.125,42.1875,42.5625,140800
2000-08-24,42.5,41.5625,42.4375,42.0,138200
2000-08-25,41.875,40.5,41.875,40.625,337800
2000-08-28,41.4375,40.5,40.5,41.0625,168500
2000-08-29,41.3125,40.5625,41.1875,40.875,149500
2000-08-30,41.5,40.8125,40.875,41.0,163600
2000-08-31,41.9375,40.8125,41.0,41.203125,255100
2000-09-01,42.625,41.375,41.5,42.0625,229100
2000-09-05,43.375,42.0,42.1875,43.1875,180200
2000-09-06,44.1875,43.125,43.125,44.0,225400
2000-09-07,44.5625,43.8125,43.875,44.5,266000
2000-09-08,46.1875,44.25,44.375,45.90625,310800
2000-09-11,47.6875,45.9375,45.9375,47.140625,369000
2000-09-12,48.1875,46.0,47.0625,46.75,261200
2000-09-13,48.0625,46.8125,46.875,47.375,456800
2000-09-14,47.625,46.1875,47.375,47.3125,279500
2000-09-15,48.0,47.125,47.125,47.515625,282400
2000-09-18,47.875,46.9375,47.5,47.75,218000
2000-09-19,48.0,46.25,47.6875,46.375,261500
2000-09-20,46.375,44.875,46.375,45.5625,495100
2000-09-21,46.1875,45.0625,45.5625,45.25,446300
2000-09-22,46.53125,45.25,45.25,46.125,770000
2000-09-25,46.5625,46.0,46.125,46.5,132100
2000-09-26,49.4375,46.3125,46.625,49.4375,589600
2000-09-27,50.125,48.25,49.4375,49.625,498200
2000-09-28,50.9375,49.625,49.625,49.6875,376200
2000-09-29,51.3125,49.8125,49.8125,50.890625,221100
2000-10-02,51.9375,49.4375,50.75,51.875,346200
2000-10-03,52.6875,51.0,51.75,51.125,334800
2000-10-04,51.9375,49.1875,51.125,49.875,346900
2000-10-05,50.9375,48.875,49.8125,48.9375,321500
2000-10-06,50.375,49.0,49.0625,49.125,189000
2000-10-09,50.1875,49.0625,49.125,49.1875,200000
2000-10-10,50.6875,49.375,49.375,50.0,195300
2000-10-11,50.875,49.375,50.0,50.3125,175900
2000-10-12,51.375,49.5,51.0,49.9375,374600
2000-10-13,51.0,49.5625,50.6875,50.0625,230600
2000-10-16,51.25,50.0625,50.0625,50.25,510900
2000-10-17,50.75,49.875,50.125,50.5625,236800
2000-10-18,50.625,48.25,50.5625,48.875,545500
2000-10-19,47.0625,45.25,46.75,46.1875,978800
2000-10-20,46.1875,43.6875,46.1875,43.875,814000
2000-10-23,44.6875,43.375,44.0625,43.625,882300
2000-10-24,44.625,42.5625,43.75,42.9375,471200
2000-10-25,43.75,41.75,43.375,42.25,713800
2000-10-26,42.4375,41.5625,42.25,42.125,376700
2000-10-27,42.75,41.25,42.0,42.375,410300
2000-10-30,43.875,42.25,42.375,43.8125,538200
2000-10-31,43.875,42.1875,43.875,43.4375,260600
2000-11-01,44.875,43.625,43.625,44.375,382600
2000-11-02,44.375,43.75,44.375,44.0,156100
2000-11-03,44.5,42.9375,43.625,43.5625,224700
2000-11-06,44.125,43.25,43.5,43.3125,241100
2000-11-07,43.375,42.75,43.375,43.0625,113100
2000-11-08,44.125,42.875,43.25,43.3125,113300
2000-11-09,44.1875,42.6875,43.5,44.0,302200
2000-11-10,44.875,44.0,44.0,44.25,225500
2000-11-13,45.25,43.625,44.125,43.8125,219200
2000-11-14,43.875,43.0,43.875,43.375,193700
2000-11-15,44.625,43.4375,43.625,44.1875,346900
2000-11-16,44.875,44.0625,44.25,44.3125,86300
2000-11-17,45.6875,44.4375,44.4375,45.5625,156700
2000-11-20,46.0,45.0625,45.75,45.5,372100
2000-11-21,45.875,44.6875,45.625,45.0,230700
2000-11-22,45.9375,44.875,45.0,45.1875,162900
2000-11-24,45.25,44.8125,45.25,45.125,20600
2000-11-27,45.3125,44.6875,45.0,45.0625,120300
2000-11-28,46.0625,44.875,44.875,46.0625,274600
2000-11-29,46.6875,46.0,46.0,46.4375,178800
2000-11-30,47.25,46.25,46.4375,46.5625,269100
2000-12-01,47.0,46.3125,46.5,47.0,584800
2000-12-04,47.1875,46.1875,46.9375,46.25,446500
2000-12-05,46.3125,45.4375,46.3125,45.6875,220400
2000-12-06,46.3125,45.6875,45.6875,45.9375,226000
2000-12-07,46.1875,45.875,45.9375,46.0625,265600
2000-12-08,46.25,45.0625,46.0,46.0,191000
2000-12-11,46.125,45.375,46.125,45.625,160300
2000-12-12,46.4375,45.6875,45.75,45.8125,162700
2000-12-13,46.625,45.8125,45.8125,45.8125,165700
2000-12-14,46.0,45.1875,46.0,45.1875,146700
2000-12-15,45.5,44.9375,45.0,44.9375,267000
2000-12-18,46.0,45.0625,45.0625,45.9375,98800
2000-12-19,46.625,45.8125,45.8125,46.1875,179900
2000-12-20,47.625,45.8125,46.0,47.375,455100
2000-12-21,47.625,47.0,47.375,47.5625,334600
2000-12-22,47.4375,46.625,47.375,46.8125,420500
