Date,High_PTC,Low_PTC,Open_PTC,Close_PTC,Volume_PTC
2000-01-03,67.96875,60.625,67.65625,62.8125,2428640
2000-01-04,53.90625,44.6875,44.6875,50.0,14291440
2000-01-05,51.5625,46.5625,50.0,50.0,4049040
2000-01-06,52.5,46.40625,48.90625,47.96875,2467640
2000-01-07,50.0,46.71875,47.96875,48.28125,1736200
2000-01-10,49.375,47.1875,49.21875,48.4375,2714960
2000-01-11,50.15625,47.34375,47.96875,47.65625,2190280
2000-01-12,48.59375,45.46875,48.59375,48.125,1849800
2000-01-13,51.875,47.5,49.0625,51.5625,2108960
2000-01-14,52.8125,49.21875,52.34375,49.53125,1552880
2000-01-18,51.875,48.90625,49.53125,49.84375,2975280
2000-01-19,57.5,50.3125,51.25,55.0,3214080
2000-01-20,57.5,52.8125,56.875,55.15625,1605400
2000-01-21,56.25,53.125,55.9375,53.59375,1708040
2000-01-24,56.25,51.25,55.0,52.5,1358600
2000-01-25,59.0625,53.125,53.125,57.1875,2182320
2000-01-26,60.78125,55.9375,57.5,56.09375,1276040
2000-01-27,58.4375,51.875,57.96875,55.46875,1158320
2000-01-28,56.25,51.09375,54.21875,52.03125,1460360
2000-01-31,54.375,49.84375,51.40625,53.59375,1629960
2000-02-01,57.03125,54.0625,54.375,56.875,1163720
2000-02-02,57.1875,52.96875,57.1875,55.3125,1296760
2000-02-03,59.21875,55.0,56.5625,58.28125,1731360
2000-02-04,60.46875,55.625,58.59375,57.1875,1521880
2000-02-07,60.15625,55.78125,59.6875,57.1875,1269400
2000-02-08,60.0,56.71875,57.8125,57.1875,1386600
2000-02-09,59.53125,52.65625,58.125,53.90625,1641080
2000-02-10,57.5,54.21875,54.375,57.34375,1120720
2000-02-11,58.125,55.78125,57.1875,56.25,791360
2000-02-14,57.5,54.6875,57.5,56.25,1426960
2000-02-15,57.5,53.125,57.03125,54.21875,1565120
2000-02-16,56.40625,54.53125,55.3125,55.625,1356760
2000-02-17,69.0625,56.71875,57.34375,67.96875,4975120
2000-02-18,67.5,63.125,67.1875,64.0625,2585480
2000-02-22,66.875,58.125,65.3125,61.25,2125440
2000-02-23,69.21875,61.71875,61.71875,67.5,2638960
2000-02-24,72.65625,65.3125,70.15625,72.34375,2225920
2000-02-25,73.75,68.59375,73.28125,69.6875,1906120
2000-02-28,75.15625,68.4375,70.0,73.125,2660240
2000-02-29,76.71875,73.28125,75.15625,75.78125,2143320
2000-03-01,78.125,73.75,77.8125,76.09375,1556960
2000-03-02,76.5625,69.53125,76.40625,71.875,1704880
2000-03-03,73.90625,70.625,72.8125,73.90625,1321600
2000-03-06,74.21875,71.25,74.0625,71.71875,994600
2000-03-07,73.59375,68.75,72.5,71.875,1427560
2000-03-08,72.5,67.96875,72.1875,72.34375,1241280
2000-03-09,80.0,72.8125,72.96875,79.84375,2774680
2000-03-10,82.1875,75.625,79.84375,77.1875,1632720
2000-03-13,77.1875,72.34375,75.46875,72.96875,1561360
2000-03-14,75.0,68.59375,74.1015625,68.75,1747440
2000-03-15,72.34375,64.375,70.3125,66.09375,1754480
2000-03-16,74.21875,66.09375,66.71875,71.875,1802040
2000-03-17,76.09375,71.25,72.5,74.21875,1562760
2000-03-20,74.84375,62.5,74.375,63.90625,2143400
2000-03-21,67.8125,61.25,64.21875,67.1875,2250000
2000-03-22,70.3125,65.0,67.8125,67.65625,1207600
2000-03-23,70.0,64.375,65.625,65.46875,1091840
2000-03-24,69.6875,65.78125,67.03125,67.96875,1239560
2000-03-27,67.8125,62.8125,67.8125,64.6875,1433880
2000-03-28,66.09375,63.4375,64.53125,63.75,982520
2000-03-29,64.375,56.71875,63.90625,58.59375,2159080
2000-03-30,60.625,52.5,57.5,55.3125,1503080
2000-03-31,57.8125,50.9375,56.09375,52.65625,2766640
2000-04-03,49.84375,26.25,49.6875,26.875,11255520
2000-04-04,28.75,21.40625,28.75,22.890625,17711480
2000-04-05,24.375,21.640625,22.5,23.671875,9107840
2000-04-06,26.40625,24.375,25.46875,24.921875,6045600
2000-04-07,28.4375,25.0,26.40625,28.125,6398040
2000-04-10,32.34375,28.90625,30.0,29.0625,7245760
2000-04-11,29.375,26.09375,29.0625,26.40625,4709080
2000-04-12,27.65625,24.921875,27.5,25.078125,5349200
2000-04-13,26.09375,23.125,25.9375,23.3203125,4358320
2000-04-14,24.140625,20.625,22.96875,20.859375,4316680
2000-04-17,22.65625,19.375,21.09375,20.15625,5304600
2000-04-18,24.296875,20.9375,21.09375,23.125,4752800
2000-04-19,23.125,20.46875,23.125,21.5625,2873720
2000-04-20,22.34375,20.0,22.03125,20.390625,2284440
2000-04-24,20.9375,18.4375,20.3125,20.859375,4010720
2000-04-25,22.421875,19.6875,21.875,21.875,4004520
2000-04-26,21.875,19.6875,21.875,20.15625,4620800
2000-04-27,21.25,19.140625,19.6875,20.625,2241400
2000-04-28,21.71875,20.0,21.09375,20.390625,1855080
2000-05-01,22.890625,20.625,20.78125,22.34375,2655480
2000-05-02,22.34375,20.0,22.03125,20.078125,1733200
2000-05-03,22.1875,19.921875,20.234375,20.390625,2976600
2000-05-04,21.875,20.546875,21.09375,21.25,1750120
2000-05-05,22.34375,20.9375,21.40625,20.9375,1664920
2000-05-08,26.09375,20.859375,21.09375,25.9375,4690560
2000-05-09,26.875,23.75,25.3125,25.078125,3612640
2000-05-10,25.3125,23.4375,24.375,24.84375,1816120
2000-05-11,26.25,24.53125,25.15625,25.9375,2180200
2000-05-12,27.34375,25.625,26.09375,25.9375,1582360
2000-05-15,26.5625,25.0,26.40625,26.40625,2389960
2000-05-16,27.8125,26.875,27.5,27.1875,3155880
2000-05-17,27.1875,25.9375,26.71875,26.40625,1863600
2000-05-18,26.40625,22.8125,26.09375,23.359375,3057200
2000-05-19,24.6875,22.1875,24.53125,22.8125,2019920
2000-05-22,23.203125,20.3125,23.046875,22.265625,1977400
2000-05-23,22.8125,20.46875,22.578125,20.78125,1397000
2000-05-24,21.71875,20.078125,21.71875,21.40625,2466840
2000-05-25,21.71875,20.0,21.640625,20.15625,2455680
2000-05-26,20.9375,19.921875,20.625,20.0,1957760
2000-05-30,23.75,20.46875,20.546875,23.75,3593560
2000-05-31,29.0625,22.5,23.125,26.5625,6457120
2000-06-01,29.6875,26.875,27.8125,28.28125,3697360
2000-06-02,29.375,27.03125,29.375,27.34375,2604000
2000-06-05,28.90625,26.25,26.5625,26.40625,2244200
2000-06-06,27.5,26.09375,27.1875,26.328125,1599280
2000-06-07,27.1875,26.09375,26.71875,26.875,1093560
2000-06-08,27.34375,25.0,27.1875,25.46875,1912120
2000-06-09,26.40625,25.15625,26.09375,25.46875,1014880
2000-06-12,25.625,23.75,25.15625,23.75,1128440
2000-06-13,25.9375,23.90625,23.90625,25.15625,1115080
2000-06-14,25.78125,24.6875,25.625,24.921875,1160840
2000-06-15,27.5,25.46875,25.625,27.1875,2048120
2000-06-16,28.59375,26.5625,27.8125,27.5,2361280
2000-06-19,27.5,25.46875,27.5,26.25,1490160
2000-06-20,26.25,24.84375,26.09375,25.625,2267560
2000-06-21,27.5,25.3125,25.3125,27.34375,1507600
2000-06-22,27.34375,25.625,27.1875,25.9375,1417720
2000-06-23,26.25,25.0,25.9375,26.25,1123080
2000-06-26,26.5625,25.3125,26.40625,26.5625,900400
2000-06-27,26.40625,25.0,26.40625,25.15625,1109520
2000-06-28,25.3125,24.53125,25.3125,24.84375,1537440
2000-06-29,27.5,24.53125,24.8828125,27.5,2377080
2000-06-30,28.125,26.5625,27.1875,27.5,2057760
2000-07-03,28.75,27.34375,27.421875,28.125,505240
2000-07-05,28.125,27.1875,27.65625,27.34375,1166560
2000-07-06,28.75,26.25,27.421875,28.75,1128880
2000-07-07,29.84375,27.5,28.75,27.65625,2585360
2000-07-10,29.375,27.65625,27.96875,28.28125,1624040
2000-07-11,29.375,27.34375,28.4375,27.5,2485720
2000-07-12,28.59375,27.5,28.28125,27.5,2806880
2000-07-13,28.90625,27.34375,27.5,28.90625,1692200
2000-07-14,32.34375,28.4375,28.59375,31.71875,4169600
2000-07-17,34.21875,31.875,32.8125,32.1875,4955960
2000-07-18,30.46875,27.34375,30.46875,27.34375,3679840
2000-07-19,28.90625,27.65625,28.75,27.8125,1660840
2000-07-20,29.375,27.5,28.59375,27.65625,1243720
2000-07-21,28.59375,26.40625,27.96875,26.71875,1244280
2000-07-24,27.34375,25.3125,26.71875,25.3125,1383000
2000-07-25,26.25,24.6875,25.9375,25.3125,1257200
2000-07-26,25.9375,24.53125,25.15625,25.3125,1000600
2000-07-27,25.9375,24.609375,25.3125,24.84375,1372040
2000-07-28,26.5625,22.890625,24.6875,25.234375,1754040
2000-07-31,26.25,24.6875,26.09375,25.0,1284440
2000-08-01,25.9375,24.53125,24.8046875,25.15625,836560
2000-08-02,25.9375,24.6875,25.15625,25.15625,1873800
2000-08-03,27.34375,24.53125,25.15625,27.1875,3101480
2000-08-04,28.4375,26.875,27.8125,28.125,2372680
2000-08-07,29.21875,28.046875,28.125,28.28125,1406480
2000-08-08,28.75,27.96875,28.046875,28.4375,691280
2000-08-09,28.90625,28.125,28.203125,28.59375,1713240
2000-08-10,28.90625,26.71875,28.75,27.34375,1133520
2000-08-11,28.28125,26.71875,27.5,28.125,1039040
2000-08-14,29.84375,27.65625,27.8125,29.53125,1290880
2000-08-15,30.6640625,28.90625,29.765625,29.84375,1328000
2000-08-16,31.09375,29.6875,30.15625,30.3125,1527440
2000-08-17,30.625,29.84375,30.15625,30.15625,863000
2000-08-18,30.625,28.90625,30.15625,29.21875,856440
2000-08-21,30.625,29.0625,29.609375,29.6875,652240
2000-08-22,30.3125,29.21875,30.0,29.53125,521600
2000-08-23,29.84375,28.125,29.609375,29.21875,614040
2000-08-24,33.4375,29.375,29.375,32.34375,3043840
2000-08-25,32.8125,31.09375,32.1875,32.65625,874640
2000-08-28,33.75,31.875,32.1875,33.59375,1237280
2000-08-29,35.78125,33.125,33.59375,33.90625,2882040
2000-08-30,35.3125,32.65625,34.0625,33.90625,1332600
2000-08-31,34.375,33.28125,34.0625,33.4375,913760
2000-09-01,35.0,33.28125,33.7109375,34.53125,823640
2000-09-05,34.6484375,33.28125,34.53125,33.75,656680
2000-09-06,33.75,31.25,33.59375,31.40625,787480
2000-09-07,33.4375,30.78125,31.40625,33.125,1028040
2000-09-08,33.28125,30.625,32.96875,31.25,896480
2000-09-11,32.5,30.3125,30.9375,30.78125,982160
2000-09-12,31.25,29.6875,31.09375,29.84375,629560
2000-09-13,31.5625,29.84375,29.84375,31.09375,1519680
2000-09-14,33.4375,30.625,31.875,32.96875,3499920
2000-09-15,32.65625,30.625,32.65625,30.78125,1752320
2000-09-18,30.9375,27.8125,30.9375,29.21875,1249360
2000-09-19,31.40625,28.28125,29.53125,30.78125,1589520
2000-09-20,30.46875,28.4375,30.15625,29.21875,1267200
2000-09-21,30.15625,27.8125,29.6875,29.375,1302000
2000-09-22,29.21875,27.34375,28.125,28.75,4743200
2000-09-25,28.828125,26.71875,28.75,27.65625,1654240
2000-09-26,27.8125,26.40625,27.34375,27.5,1204920
2000-09-27,28.28125,26.71875,27.5,27.1875,933120
2000-09-28,29.53125,27.03125,27.5,28.75,1465880
2000-09-29,28.75,27.03125,28.75,27.34375,1212560
2000-10-02,29.21875,27.65625,27.96875,29.0625,2357360
2000-10-03,29.84375,25.625,29.609375,26.40625,2779080
2000-10-04,27.8125,25.15625,26.40625,26.875,1473080
2000-10-05,27.65625,25.3125,26.25,26.875,1478800
2000-10-06,26.71875,24.375,26.5625,24.53125,1301080
2000-10-09,27.5,24.6875,24.921875,26.25,1233000
2000-10-10,26.875,24.84375,26.25,25.15625,1435280
2000-10-11,25.0,22.96875,24.375,23.046875,1755320
2000-10-12,25.0,23.59375,23.671875,24.375,2029560
2000-10-13,26.171875,24.0625,24.0625,25.9375,1576960
2000-10-16,27.4609375,25.3125,26.796875,27.1875,2669600
2000-10-17,27.8125,23.4375,27.34375,26.09375,3229520
2000-10-18,26.71875,24.21875,24.921875,25.15625,2511400
2000-10-19,27.8125,25.0,25.78125,27.34375,2813320
2000-10-20,28.59375,26.5625,26.71875,26.71875,2448920
2000-10-23,28.4375,25.78125,26.875,28.28125,1787800
2000-10-24,29.53125,27.8125,28.90625,29.21875,4035480
2000-10-25,31.5625,27.96875,29.21875,29.21875,2625560
2000-10-26,30.9375,29.21875,29.375,30.0,2045640
2000-10-27,32.34375,30.0,30.3125,30.9375,2529640
2000-10-30,32.03125,29.375,31.25,29.375,1296640
2000-10-31,31.25,29.6875,29.6875,30.78125,1024240
2000-11-01,31.5625,29.6875,30.9375,30.15625,1276760
2000-11-02,31.875,30.15625,30.46875,31.71875,1284160
2000-11-03,31.71875,30.625,31.25,30.78125,740640
2000-11-06,31.875,30.625,30.78125,31.5625,1155120
2000-11-07,32.34375,31.09375,31.71875,31.71875,975120
2000-11-08,32.1875,31.25,31.5625,31.40625,1489120
2000-11-09,31.875,30.0,31.25,30.9375,1251760
2000-11-10,31.09375,29.53125,30.3125,29.6875,1192600
2000-11-13,30.15625,27.34375,28.75,30.0,1543600
2000-11-14,31.71875,30.3125,30.78125,30.9375,1472600
2000-11-15,31.40625,30.3125,30.625,31.09375,1275480
2000-11-16,31.40625,29.6875,30.9375,30.0,1370920
2000-11-17,31.875,29.84375,30.390625,31.25,1203880
2000-11-20,31.71875,30.0,30.625,30.15625,2097400
2000-11-21,32.03125,30.625,31.09375,32.03125,1507080
2000-11-22,31.71875,29.84375,31.09375,29.84375,1417880
2000-11-24,30.625,30.0,30.0,30.46875,543960
2000-11-27,31.5625,30.3125,30.625,31.09375,747760
2000-11-28,30.9375,29.6875,30.78125,29.921875,1270120
2000-11-29,30.3125,28.125,30.15625,29.6875,1078800
2000-11-30,29.53125,26.875,29.375,27.8125,1357440
2000-12-01,29.84375,27.5,27.96875,27.65625,1086720
2000-12-04,29.0625,27.34375,27.8125,28.59375,971000
2000-12-05,30.9375,28.90625,28.90625,30.78125,1174200
2000-12-06,31.25,29.0625,30.625,29.53125,750240
2000-12-07,30.46875,28.75,29.21875,29.84375,659840
2000-12-08,32.5,30.15625,30.3125,32.34375,1997080
2000-12-11,34.53125,31.875,32.1875,33.59375,2588040
2000-12-12,35.46875,33.125,33.4375,35.15625,2207920
2000-12-13,36.953125,32.65625,36.09375,33.28125,1750760
2000-12-14,33.75,31.71875,32.96875,31.71875,738360
2000-12-15,31.875,30.46875,31.40625,30.9375,2722880
2000-12-18,33.75,31.5625,31.71875,32.96875,1683000
2000-12-19,35.3125,32.8125,33.28125,34.21875,1788520
2000-12-20,32.8125,28.75,32.1484375,31.09375,1784800
2000-12-21,32.34375,29.84375,31.09375,30.625,1303440
2000-12-22,32.5,31.25,31.40625,32.34375,994200
2000-12-26,34.6875,31.875,32.03125,34.0625,1236240
2000-12-27,36.25,34.21875,34.375,36.25,2892840
