Date,High_SBAC,Low_SBAC,Open_SBAC,Close_SBAC,Volume_SBAC
2000-01-03,19.1875,17.625,18.5625,18.0,233800
2000-01-04,18.125,16.5,17.9375,17.75,195500
2000-01-05,17.0,16.5,16.625,17.0,166700
2000-01-06,17.0,16.6875,16.875,16.9375,410900
2000-01-07,18.5625,16.75,16.8125,18.375,508600
2000-01-10,22.625,21.0,21.875,22.0,1448400
2000-01-11,27.125,22.25,22.71875,25.875,713300
2000-01-12,27.8125,22.5,27.5,22.75,433600
2000-01-13,26.5,23.0,24.125,25.4375,150300
2000-01-14,26.5,24.0,25.46875,25.0625,124900
2000-01-18,27.9375,23.125,23.25,27.9375,270800
2000-01-19,27.9375,26.125,27.9375,26.875,114300
2000-01-20,27.0,26.25,26.375,26.875,276100
2000-01-21,27.5,26.5,27.25,26.875,539600
2000-01-24,29.9375,26.5,26.875,28.375,165500
2000-01-25,31.375,28.4375,28.4375,30.5,226400
2000-01-26,34.0,30.5625,31.5625,31.5,244600
2000-01-27,32.25,27.875,32.0,28.9375,289100
2000-01-28,30.375,26.75,26.875,30.25,3695000
2000-01-31,30.75,28.75,29.75,30.3125,972000
2000-02-01,33.75,31.0,31.96875,33.125,675100
2000-02-02,34.0,32.625,33.9375,34.0,974600
2000-02-03,35.0,34.0,34.0625,35.0,889800
2000-02-04,35.0,33.75,35.0,34.5,465100
2000-02-07,36.5,34.75,34.75,35.375,770400
2000-02-08,35.5,33.375,35.5,34.625,176200
2000-02-09,34.625,31.25,34.3125,33.75,660500
2000-02-10,35.75,33.625,33.875,34.75,333700
2000-02-11,35.375,34.75,35.25,34.875,650300
2000-02-14,35.703125,34.125,35.25,34.875,253000
2000-02-15,35.0625,33.6875,35.0,35.0625,183000
2000-02-16,35.125,32.4375,35.125,34.125,99000
2000-02-17,33.9375,31.5,33.0,31.625,425900
2000-02-18,31.8125,27.75,31.78125,27.75,387000
2000-02-22,31.0,29.375,30.0,30.125,832800
2000-02-23,31.5,30.0,30.3125,30.875,691500
2000-02-24,33.375,32.25,33.0,33.25,437000
2000-02-25,36.375,34.0625,34.125,36.0,698400
2000-02-28,36.5,35.25,36.5,36.0,621000
2000-02-29,41.375,36.5,36.8125,40.5,422200
2000-03-01,45.875,41.0,41.0,43.375,321400
2000-03-02,43.875,42.75,43.25,42.875,402100
2000-03-03,45.0,42.875,43.5,44.125,195400
2000-03-06,44.25,42.375,44.25,43.25,222400
2000-03-07,45.0,43.0,43.8125,44.75,235100
2000-03-08,52.0,44.5,45.125,48.125,418000
2000-03-09,50.0,47.25,49.375,47.375,349400
2000-03-10,52.0,47.25,48.0,49.625,477600
2000-03-13,54.75,49.0,49.5,53.75,289600
2000-03-14,54.75,51.875,54.625,52.5,487300
2000-03-15,52.9375,47.75,52.5625,48.9375,378000
2000-03-16,50.0,42.625,49.375,45.375,351800
2000-03-17,50.625,45.125,45.25,50.0625,770400
2000-03-20,51.25,49.25,50.1875,49.25,468700
2000-03-21,49.3125,47.0,49.25,47.1875,241400
2000-03-22,49.0,47.125,47.25,48.0625,441800
2000-03-23,49.625,48.25,49.0,48.625,306500
2000-03-24,48.984375,45.125,48.5,46.25,222100
2000-03-27,49.1875,45.5,45.5,49.0625,685700
2000-03-28,50.5,48.25,49.6875,48.9375,259800
2000-03-29,49.25,45.25,49.0,45.5,224700
2000-03-30,45.3125,36.25,45.125,40.0,451200
2000-03-31,44.5,40.25,40.25,44.0,310400
2000-04-03,45.0,41.5,44.125,41.5,244100
2000-04-04,42.375,31.5,41.6875,38.625,680300
2000-04-05,41.375,36.5,37.0,39.75,427100
2000-04-06,43.0,40.75,40.9375,42.6875,227500
2000-04-07,45.125,42.75,43.0,45.125,158400
2000-04-10,49.0,43.0,48.5,43.125,310800
2000-04-11,43.5,38.5,42.875,38.625,313800
2000-04-12,40.5,38.625,39.0625,39.875,1033600
2000-04-13,42.25,38.375,40.625,38.5,367200
2000-04-14,36.5,34.0,35.5,35.875,335300
2000-04-17,34.25,33.0,34.0,34.25,383400
2000-04-18,41.125,33.0,33.0,40.125,536000
2000-04-19,41.25,36.8125,40.25,36.8125,99700
2000-04-20,38.0,36.125,37.5,37.25,129800
2000-04-24,39.9375,34.25,36.25,39.9375,108600
2000-04-25,40.0,37.125,40.0,37.25,96900
2000-04-26,39.6875,38.125,38.125,39.125,509300
2000-04-27,42.75,38.0625,38.5,42.75,427800
2000-04-28,43.25,40.625,42.75,40.625,50500
2000-05-01,42.625,40.625,40.75,41.125,51700
2000-05-02,42.625,40.625,40.75,41.375,79800
