Date,High_SIRI,Low_SIRI,Open_SIRI,Close_SIRI,Volume_SIRI
2000-01-03,47.0,40.75,46.625,41.125,558900
2000-01-04,40.25,37.0,40.125,38.375,416800
2000-01-05,40.3125,37.0,38.875,40.3125,472800
2000-01-06,46.0,39.625,40.875,41.5,2333400
2000-01-07,43.125,39.3125,42.75,40.875,341800
2000-01-10,43.375,41.25,42.75,42.5,335100
2000-01-11,42.875,40.875,42.625,40.875,286300
2000-01-12,42.0,40.5,41.25,40.75,282700
2000-01-13,41.5625,39.5625,41.15625,40.25,281400
2000-01-14,42.125,39.625,40.21875,42.0,186700
2000-01-18,44.9375,42.0,42.25,44.0,472900
2000-01-19,46.875,43.5,44.125,46.75,674100
2000-01-20,50.0,47.75,47.9375,48.0625,1174200
2000-01-21,51.0,46.125,48.0625,48.8125,488900
2000-01-24,51.0,48.6875,49.75,48.9375,986100
2000-01-25,50.5625,46.375,49.125,47.625,589400
2000-01-26,48.0,47.25,47.5,47.25,447200
2000-01-27,47.625,44.625,47.3125,45.0,495700
2000-01-28,45.625,42.1875,44.0,44.0,553600
2000-01-31,43.8125,38.125,43.75,41.375,628000
2000-02-01,52.25,43.25,52.25,45.0,1731800
2000-02-02,47.0,44.875,46.625,45.875,478500
2000-02-03,47.75,45.75,47.375,47.25,472200
2000-02-04,49.5,47.0,47.3125,48.75,303200
2000-02-07,50.5,48.0,50.0,49.75,164900
2000-02-08,54.125,48.375,49.8125,54.0625,616300
2000-02-09,56.0,51.0,54.75,53.0,781400
2000-02-10,55.0,51.875,53.6875,52.0,519700
2000-02-11,53.0625,51.6875,52.0,52.125,283900
2000-02-14,52.5,48.0,52.125,49.375,205500
2000-02-15,50.0,48.0,49.0625,49.0,272800
2000-02-16,57.0,48.5,49.0,56.8125,1102100
2000-02-17,66.75,57.4375,57.5,66.5,1367800
2000-02-18,68.0,57.25,66.375,58.875,803500
2000-02-22,63.375,55.5,59.125,55.75,610100
2000-02-23,61.75,56.0,56.75,59.25,398300
2000-02-24,61.125,57.125,61.0,58.0,254100
2000-02-25,60.1875,58.875,58.875,59.375,254600
2000-02-28,60.5625,57.0,60.0,60.5625,188100
2000-02-29,63.0,60.0,60.5,61.0,551000
2000-03-01,69.4375,62.375,62.5,64.875,673700
2000-03-02,66.0,59.5,66.0,61.8125,400500
2000-03-03,64.4375,61.875,62.375,63.25,203100
2000-03-06,69.0,64.75,65.375,65.0625,383600
2000-03-07,66.5,60.0,66.5,60.375,314300
2000-03-08,62.0,55.25,61.5,60.125,490800
2000-03-09,60.75,58.9375,60.25,59.75,118600
2000-03-10,63.125,59.25,61.375,59.25,150400
2000-03-13,61.0,55.0625,58.0,58.75,505700
2000-03-14,63.5,56.875,59.90625,57.0625,287500
2000-03-15,60.125,53.25,59.25,55.5,535600
2000-03-16,57.25,52.875,55.5,55.0,484400
2000-03-17,57.75,54.1875,54.6875,56.5,165100
2000-03-20,57.0,52.75,57.0,52.875,166600
2000-03-21,54.0,50.5,54.0,51.0625,245800
2000-03-22,58.0,51.6875,51.6875,57.9375,409000
2000-03-23,58.125,54.0,57.5,54.875,329800
2000-03-24,57.5,54.6875,54.78125,54.75,122200
2000-03-27,55.75,52.5,54.25,53.0625,243700
2000-03-28,53.125,50.25,53.125,50.5,245100
2000-03-29,51.5,47.0,50.875,47.0,405700
2000-03-30,46.3125,43.0,46.21875,45.375,557600
2000-03-31,57.0,46.375,46.8125,57.0,1053500
2000-04-03,55.625,49.75,55.5,50.9375,482200
2000-04-04,51.1875,39.0,50.75,46.5,394300
2000-04-05,48.75,41.125,41.625,46.0,404800
2000-04-06,48.5625,45.0,47.625,45.75,356900
2000-04-07,47.921875,45.75,47.0,46.875,837500
2000-04-10,49.0,44.25,49.0,44.25,178700
2000-04-11,44.75,40.625,44.5,42.875,506400
2000-04-12,42.8125,37.0,42.25,37.0,931700
2000-04-13,40.5,35.0,38.25,35.0,658100
2000-04-14,37.0,32.25,33.25,32.25,778300
2000-04-17,35.625,30.0,31.75,31.125,659400
2000-04-18,35.75,31.0,31.0625,35.0,858900
2000-04-19,37.3125,35.125,36.125,36.875,374400
2000-04-20,37.25,33.0,36.9375,33.25,522700
2000-04-24,34.0,31.25,32.625,33.375,349600
2000-04-25,38.6875,34.25,34.3125,37.9375,475700
2000-04-26,38.0,36.0625,37.9375,36.5,131700
2000-04-27,40.25,34.875,36.0,40.25,400400
2000-04-28,40.5,39.0,40.25,39.6875,353400
2000-05-01,43.5625,40.0,40.0625,43.5,747500
2000-05-02,43.5,40.9375,43.4375,43.375,421800
2000-05-03,43.75,39.25,43.4375,41.25,211800
2000-05-04,43.25,41.0,42.0,42.4375,200800
2000-05-05,44.75,41.0,41.0,44.0625,416800
2000-05-08,44.8125,43.875,44.0,44.4375,453500
2000-05-09,44.5,42.0,44.3125,42.875,200500
2000-05-10,42.25,41.0625,42.0,41.625,419500
2000-05-11,42.5,41.5625,41.5625,42.125,227200
2000-05-12,43.375,42.0,42.375,43.0,279000
2000-05-15,45.0,42.328125,43.125,43.4375,384900
2000-05-16,45.0,43.25,43.25,43.9375,402800
2000-05-17,43.875,40.0,43.875,41.5625,256000
2000-05-18,42.0,38.125,42.0,39.3125,261500
2000-05-19,38.75,36.75,38.625,37.125,344000
2000-05-22,37.875,34.5,37.625,36.25,282600
2000-05-23,38.6875,36.25,36.25,37.25,206600
2000-05-24,37.75,36.375,37.34375,36.5,206200
2000-05-25,38.75,37.0,37.3125,37.0,640700
2000-05-26,37.625,36.5625,37.0625,37.0,173600
2000-05-30,40.5,38.25,38.25,39.375,693500
2000-05-31,39.25,37.25,39.1875,37.875,194300
2000-06-01,39.75,38.4375,38.96875,39.0,497500
2000-06-02,43.5,40.0,40.375,43.0625,507800
2000-06-05,43.25,41.75,43.1875,41.75,174000
2000-06-06,43.0,41.5,42.5625,41.9375,852900
2000-06-07,42.25,40.0,42.21875,41.5,1190800
2000-06-08,41.75,40.9375,41.625,40.9375,182800
2000-06-09,41.75,40.9375,41.625,41.5625,128500
2000-06-12,41.5625,38.5,41.53125,38.75,172600
2000-06-13,40.125,38.375,38.875,39.875,217200
2000-06-14,40.6875,39.25,40.34375,39.5625,289700
2000-06-15,39.75,39.25,39.6875,39.625,381200
2000-06-16,40.75,39.125,39.84375,39.625,332800
2000-06-19,40.0,38.25,39.4375,39.171875,218600
2000-06-20,39.5625,37.75,39.15625,39.0,164800
2000-06-21,40.0,39.0,39.4375,39.9375,219100
2000-06-22,41.875,38.625,40.3125,41.0,475300
2000-06-23,41.875,40.0,41.09375,40.25,374900
2000-06-26,41.75,40.5,41.25,40.875,447400
2000-06-27,40.75,38.625,40.5625,38.984375,362300
2000-06-28,41.5,38.625,38.6875,41.5,465200
2000-06-29,42.25,40.125,41.21875,42.25,618400
2000-06-30,46.875,42.21875,42.21875,44.3125,908900
2000-07-03,48.9375,46.375,47.4375,48.0625,834200
2000-07-05,48.75,44.4375,48.53125,47.0625,633800
2000-07-06,47.125,46.0,47.125,46.25,277100
2000-07-07,48.25,46.25,46.28125,47.375,266400
2000-07-10,47.625,45.0625,47.59375,45.6875,188800
2000-07-11,46.125,44.6875,45.75,45.0,166800
2000-07-12,45.625,45.0,45.5,45.375,153700
2000-07-13,46.5,44.25,45.3125,45.75,576900
2000-07-14,50.0,45.5625,45.78125,49.25,380600
2000-07-17,49.25,46.375,49.25,46.4375,332900
2000-07-18,46.75,44.0,46.5625,44.3125,258200
2000-07-19,44.5,41.0,44.5,42.8125,374500
2000-07-20,44.75,42.75,43.0,44.4375,262700
2000-07-21,44.3125,43.0,44.21875,43.0,106100
2000-07-24,42.875,40.6875,42.6875,41.3125,351700
2000-07-25,42.625,39.9375,42.0625,40.0,173100
2000-07-26,41.0,38.5,40.3125,40.125,323200
2000-07-27,40.4375,38.375,39.875,39.0,291100
2000-07-28,39.25,36.625,39.0625,37.0,240700
2000-07-31,38.5,33.875,37.125,38.375,572700
2000-08-01,41.3125,38.5625,38.875,41.25,540900
2000-08-02,41.5,38.625,41.1875,40.375,271800
2000-08-03,44.5,39.625,40.125,44.4375,320200
2000-08-04,45.8125,43.5,44.625,45.0,249000
2000-08-07,48.25,46.4375,46.5625,46.75,312600
2000-08-08,49.5625,47.125,49.1875,49.25,430900
2000-08-09,50.0,45.5625,49.96875,46.0,446100
2000-08-10,47.625,44.875,46.5625,46.6875,243300
2000-08-11,49.75,45.0,46.96875,49.25,481100
2000-08-14,55.25,48.75,49.1875,53.4375,671900
2000-08-15,56.125,49.25,55.96875,49.875,402300
2000-08-16,51.0,49.625,50.59375,49.75,275000
2000-08-17,52.5,50.125,50.125,50.6875,343800
2000-08-18,52.0,50.375,50.9375,50.375,193100
2000-08-21,52.0,50.3125,51.4375,50.5,221300
2000-08-22,52.6875,49.75,50.9375,50.75,426000
2000-08-23,51.0,49.6875,50.625,50.75,402100
2000-08-24,51.625,50.75,50.8125,50.875,223800
2000-08-25,51.625,50.75,50.875,51.1875,378700
2000-08-28,53.625,50.75,51.75,50.8125,389900
2000-08-29,53.5625,44.75,51.34375,47.1875,1316200
2000-08-30,52.25,46.3125,46.3125,50.375,517000
2000-08-31,52.875,50.375,50.375,51.5,475400
2000-09-01,53.0,51.375,52.375,52.125,231800
2000-09-05,57.0,52.9375,54.625,54.125,761800
2000-09-06,54.125,51.375,54.09375,51.6875,262700
2000-09-07,53.0,51.5,51.8125,51.8125,181300
2000-09-08,52.0,49.875,52.0,51.0,242600
2000-09-11,51.625,50.5,50.8125,50.875,247000
2000-09-12,52.25,50.625,50.9375,50.9375,202300
2000-09-13,54.125,50.75,50.875,53.25,412200
2000-09-14,54.3125,52.9375,53.625,53.125,181500
2000-09-15,54.375,51.75,51.96875,52.625,192000
2000-09-18,55.0,52.0,52.0,53.125,224700
2000-09-19,54.609375,52.875,53.125,54.5,189300
2000-09-20,56.4375,53.6875,54.5,54.1875,529800
2000-09-21,55.25,51.0,54.21875,51.0,296800
2000-09-22,54.6875,49.5,49.875,53.0625,396200
2000-09-25,56.0,53.75,54.3125,55.1875,352300
2000-09-26,55.625,53.75,54.96875,53.8125,301600
2000-09-27,55.0625,53.875,54.09375,55.0,237900
2000-09-28,56.6875,54.625,54.75,56.375,235000
2000-09-29,60.0,52.875,56.53125,52.875,986700
2000-10-02,55.75,53.375,53.84375,54.0625,337500
2000-10-03,57.4375,54.25,54.6875,54.4375,282500
2000-10-04,55.0,52.5,54.03125,53.75,340200
2000-10-05,56.0,53.25,53.875,53.328125,423900
2000-10-06,54.6875,50.25,54.25,50.625,467400
2000-10-09,51.0,46.9375,50.5,50.5,320900
