Date,High_SJM,Low_SJM,Open_SJM,Close_SJM,Volume_SJM
2000-01-03,19.625,19.125,19.5,19.125,21000
2000-01-04,19.25,18.625,19.125,18.875,9800
2000-01-05,18.875,18.625,18.875,18.75,19200
2000-01-06,19.125,18.5,18.75,19.125,25200
2000-01-07,19.25,19.125,19.125,19.25,4200
2000-01-10,19.375,19.0,19.25,19.0,21800
2000-01-11,19.125,18.875,19.0,19.0,34200
2000-01-12,19.125,18.875,19.0,19.125,15400
2000-01-13,19.375,19.125,19.125,19.125,9400
2000-01-14,19.25,19.125,19.125,19.25,6200
2000-01-18,19.25,19.125,19.25,19.25,13400
2000-01-19,19.5,19.125,19.25,19.5,15600
2000-01-20,19.5,19.125,19.5,19.25,11600
2000-01-21,19.25,19.0,19.25,19.125,12400
2000-01-24,19.125,18.625,19.125,18.625,10600
2000-01-25,18.75,18.375,18.625,18.375,8000
2000-01-26,18.625,18.375,18.375,18.625,10800
2000-01-27,18.625,18.375,18.625,18.375,9400
2000-01-28,18.5,18.0,18.375,18.125,15000
2000-01-31,18.125,17.0,18.125,17.5,101600
2000-02-01,17.625,17.25,17.5,17.5,27800
2000-02-02,17.625,17.375,17.5,17.5,10000
2000-02-03,17.625,17.375,17.5,17.5,11600
2000-02-04,17.875,17.375,17.5,17.75,7600
2000-02-07,18.125,17.75,17.75,18.125,9800
2000-02-08,18.125,17.5,18.125,18.125,23400
2000-02-09,18.5,18.0,18.125,18.375,12200
2000-02-10,18.25,17.375,18.25,17.875,15400
2000-02-11,17.875,17.25,17.875,17.375,20600
2000-02-14,17.375,16.875,17.375,17.25,18400
2000-02-15,17.875,17.25,17.25,17.875,17400
2000-02-16,18.125,17.875,17.875,18.0,5000
2000-02-17,18.375,17.625,18.0,18.25,13400
2000-02-18,18.125,17.25,18.125,17.25,15000
2000-02-22,17.375,16.75,17.25,16.875,15400
2000-02-23,17.25,16.625,16.875,17.125,11600
2000-02-24,17.25,17.0,17.125,17.125,2400
2000-02-25,17.0,16.875,17.0,17.0,4800
2000-02-28,17.125,16.625,17.0,17.125,13800
2000-02-29,17.125,16.875,17.125,17.125,10600
2000-03-01,17.375,17.0,17.125,17.0,19400
2000-03-02,17.375,17.0,17.0,17.0,5400
2000-03-03,17.125,17.0,17.0,17.0,23000
2000-03-06,16.875,16.375,16.875,16.625,22800
2000-03-07,16.625,16.25,16.625,16.375,18200
2000-03-08,16.625,16.125,16.375,16.625,10000
2000-03-09,17.0,16.75,16.75,16.75,9400
2000-03-10,16.625,16.25,16.625,16.625,16200
2000-03-13,16.625,16.5,16.625,16.625,6400
2000-03-14,16.625,16.625,16.625,16.625,8800
2000-03-15,16.625,16.625,16.625,16.625,15000
2000-03-16,16.875,16.625,16.625,16.875,33600
2000-03-17,16.5,16.25,16.5,16.375,26000
2000-03-20,16.625,16.5,16.5,16.5,25600
2000-03-21,16.5,16.25,16.5,16.5,8800
2000-03-22,16.5,15.875,16.5,16.0,13400
2000-03-23,16.25,15.625,16.0,15.625,8600
2000-03-24,15.625,15.125,15.625,15.125,8400
2000-03-27,15.25,15.0,15.125,15.25,58800
2000-03-28,15.25,15.0,15.25,15.0,12800
2000-03-29,15.5,15.125,15.125,15.375,22400
2000-03-30,17.0,15.375,15.375,17.0,33400
2000-03-31,18.375,17.0,17.0,18.0,68000
2000-04-03,18.125,17.5,18.0,17.875,24000
2000-04-04,18.25,17.75,17.875,17.75,15600
2000-04-05,17.75,17.125,17.75,17.125,7800
2000-04-06,17.625,17.0,17.125,17.0,20400
2000-04-07,17.0,16.875,17.0,17.0,8400
2000-04-10,16.625,15.75,16.625,16.5,30600
2000-04-11,16.75,16.375,16.5,16.5,9800
2000-04-12,17.0,16.5,16.5,16.5,10800
2000-04-13,16.5,16.125,16.5,16.375,9800
2000-04-14,16.125,15.875,16.125,16.0,13200
2000-04-17,16.25,16.0,16.0,16.125,15200
2000-04-18,16.125,15.5,16.125,15.5,10400
2000-04-19,16.125,15.5,15.5,16.0,11000
2000-04-20,16.25,16.0,16.0,16.0,18600
2000-04-24,16.125,15.875,16.0,16.0,8400
2000-04-25,16.875,15.5,16.0,16.875,26400
2000-04-26,16.875,16.125,16.875,16.25,16800
2000-04-27,16.125,15.5,16.125,15.875,24200
2000-04-28,16.0,15.5,15.875,16.0,9800
2000-05-01,16.0,15.75,16.0,16.0,12800
2000-05-02,16.125,15.875,16.0,16.0,5600
2000-05-03,16.875,15.875,16.0,16.0,13800
2000-05-04,17.875,16.25,16.25,17.875,31600
2000-05-05,18.125,16.5,17.875,16.625,58400
2000-05-08,16.625,16.0,16.625,16.5,13800
2000-05-09,16.875,16.5,16.5,16.625,66200
2000-05-10,17.125,16.5,16.625,16.5,22800
2000-05-11,16.625,16.375,16.5,16.5,7800
2000-05-12,16.625,16.25,16.5,16.625,15800
2000-05-15,17.0,16.375,16.625,16.625,17200
2000-05-16,17.5,16.375,16.625,17.5,179800
2000-05-17,17.5,17.0,17.5,17.125,91400
2000-05-18,17.125,16.875,17.125,17.0,30200
2000-05-19,17.5,17.125,17.125,17.375,68800
2000-05-22,17.25,17.0,17.25,17.125,13600
2000-05-23,17.5,17.125,17.125,17.125,15000
2000-05-24,18.25,17.0,17.125,18.25,36600
2000-05-25,18.125,17.75,18.125,18.0,14000
2000-05-26,18.125,17.625,18.0,18.0,11000
2000-05-30,18.0,17.75,18.0,17.875,12600
2000-05-31,17.875,17.5,17.875,17.625,45600
2000-06-01,18.0,17.75,17.75,17.875,27000
2000-06-02,18.125,18.0,18.0,18.125,13000
2000-06-05,18.25,17.625,18.125,17.75,9800
2000-06-06,17.75,17.5,17.75,17.5,14400
2000-06-07,17.875,17.5,17.5,17.875,14600
2000-06-08,17.75,17.625,17.75,17.75,1800
2000-06-09,17.75,17.375,17.75,17.625,3200
2000-06-12,17.75,17.5,17.625,17.5,5400
2000-06-13,17.625,17.375,17.5,17.625,7600
2000-06-14,17.875,17.375,17.625,17.375,7400
2000-06-15,17.625,17.375,17.375,17.625,21000
2000-06-16,17.5,17.25,17.5,17.5,57200
2000-06-19,17.875,17.25,17.5,17.75,11400
2000-06-20,17.625,17.375,17.625,17.375,19200
2000-06-21,17.75,17.375,17.375,17.5,11200
2000-06-22,17.5,17.375,17.5,17.375,18600
2000-06-23,17.375,17.25,17.375,17.375,16600
2000-06-26,17.75,17.375,17.375,17.75,10000
2000-06-27,18.125,17.875,17.875,18.0,21400
2000-06-28,18.5,18.0,18.0,18.375,17200
2000-06-29,18.625,18.375,18.375,18.625,22000
2000-06-30,19.25,18.5,18.625,19.25,151000
2000-07-03,19.375,19.25,19.25,19.375,14600
2000-07-05,19.5,19.0,19.375,19.25,58400
2000-07-06,19.25,18.375,19.25,18.375,12000
2000-07-07,18.875,18.25,18.375,18.75,14800
2000-07-10,19.0,18.5,18.75,18.75,12800
2000-07-11,18.625,18.125,18.625,18.375,8200
2000-07-12,18.375,17.75,18.375,18.375,19400
2000-07-13,18.5,18.125,18.375,18.125,11200
2000-07-14,18.25,18.125,18.125,18.125,6000
2000-07-17,18.5,18.0,18.125,18.125,10200
2000-07-18,18.125,18.0,18.125,18.125,3200
2000-07-19,18.125,17.875,18.125,18.0,12400
2000-07-20,18.25,18.0,18.0,18.25,4400
2000-07-21,18.25,17.875,18.25,18.0,6800
2000-07-24,18.0,17.75,18.0,17.875,9200
2000-07-25,18.125,17.75,17.875,17.875,25800
2000-07-26,18.0,17.75,17.875,18.0,20800
2000-07-27,18.0,17.75,18.0,18.0,10800
2000-07-28,18.125,17.625,18.0,18.0,12000
2000-07-31,18.25,18.0,18.0,18.0,20400
2000-08-01,18.125,18.0,18.0,18.0,10400
2000-08-02,18.375,18.0,18.0,18.25,21200
2000-08-03,18.375,18.125,18.25,18.375,21000
2000-08-04,18.5,18.125,18.375,18.5,15600
2000-08-07,18.5,18.125,18.5,18.25,21000
2000-08-08,18.375,18.25,18.25,18.375,6000
2000-08-09,18.5,18.25,18.375,18.5,3600
2000-08-10,18.375,18.125,18.375,18.25,22600
2000-08-11,18.625,18.0,18.25,18.625,22800
2000-08-14,18.875,18.625,18.625,18.625,32000
2000-08-15,18.75,18.0,18.625,18.125,10400
2000-08-16,18.125,17.875,18.125,18.125,9800
2000-08-17,18.625,18.25,18.25,18.5,22200
2000-08-18,18.625,18.25,18.5,18.5,23600
2000-08-21,18.5,18.375,18.5,18.5,3400
2000-08-22,18.5,18.375,18.5,18.5,5400
2000-08-23,18.375,18.25,18.375,18.375,1600
2000-08-24,19.0,18.375,18.375,19.0,17200
2000-08-25,19.25,19.125,19.125,19.25,17800
2000-08-28,19.25,18.5,19.25,18.5,19000
2000-08-29,18.5,18.125,18.125,18.5,27000
2000-08-30,18.875,18.5,18.5,18.625,19000
2000-08-31,19.3125,18.625,18.875,19.1875,54900
2000-09-01,20.0,19.25,19.3125,19.875,66800
2000-09-05,20.5,19.875,19.9375,20.375,41000
2000-09-06,21.625,20.0,20.3125,21.5,122300
2000-09-07,22.375,21.5,21.5,22.3125,327700
2000-09-08,22.4375,21.375,22.3125,21.5,61900
2000-09-11,21.6875,21.5,21.5,21.5625,55300
2000-09-12,23.125,21.5,21.5,22.8125,63400
2000-09-13,22.875,22.1875,22.75,22.25,26700
2000-09-14,22.125,21.8125,22.125,22.0,83800
2000-09-15,22.375,21.875,21.875,22.0,46700
2000-09-18,22.5,22.125,22.3125,22.3125,26200
2000-09-19,22.625,22.125,22.125,22.4375,29100
2000-09-20,22.8125,22.3125,22.3125,22.625,7400
2000-09-21,22.5625,22.25,22.5,22.5,57900
2000-09-22,23.4375,22.1875,22.375,23.3125,79900
2000-09-25,23.4375,22.9375,23.25,23.4375,31700
2000-09-26,23.3125,22.4375,23.25,22.9375,14600
2000-09-27,23.75,22.5625,22.9375,23.625,33900
2000-09-28,24.5625,23.125,23.75,24.3125,51300
2000-09-29,24.5625,23.6875,24.125,24.3125,75200
2000-10-02,24.5,24.3125,24.5,24.4375,55600
2000-10-03,24.625,24.0,24.4375,24.0,354500
2000-10-04,24.3125,23.3125,24.1875,24.3125,25300
2000-10-05,24.5625,23.625,24.1875,24.5625,48900
2000-10-06,25.0,24.25,24.5625,24.6875,49800
2000-10-09,24.625,24.0,24.625,24.375,10600
2000-10-10,24.6875,24.0,24.25,24.625,147600
2000-10-11,24.75,24.125,24.625,24.1875,12000
2000-10-12,24.25,24.0,24.0,24.1875,32900
2000-10-13,24.4375,24.0625,24.0625,24.3125,16000
2000-10-16,24.3125,24.0,24.25,24.125,536600
2000-10-17,24.0,22.8125,23.9375,23.5,42900
2000-10-18,23.4375,22.8125,23.375,23.1875,26900
2000-10-19,23.875,23.25,23.25,23.6875,21900
2000-10-20,24.1875,23.625,23.75,24.125,66000
2000-10-23,24.0625,23.75,24.0,24.0,7700
2000-10-24,23.875,23.375,23.8125,23.5,19800
2000-10-25,23.5,21.875,23.5,22.375,26800
2000-10-26,22.125,21.0,22.125,21.75,43400
2000-10-27,23.25,21.875,21.9375,23.1875,17300
2000-10-30,23.3125,22.625,23.0,23.125,22500
2000-10-31,23.1875,22.25,23.125,22.25,15400
2000-11-01,22.875,22.0,22.0,22.375,21200
2000-11-02,22.5,21.875,22.5,22.1875,14800
2000-11-03,22.4375,21.625,21.625,22.1875,20000
2000-11-06,22.75,22.1875,22.1875,22.5625,17100
2000-11-07,23.25,22.5625,22.5625,23.1875,23100
2000-11-08,23.875,23.375,23.375,23.6875,15900
2000-11-09,24.0,23.6875,23.8125,24.0,16800
2000-11-10,24.625,23.875,23.875,24.625,34100
2000-11-13,25.0625,24.5,24.5,25.0,36000
2000-11-14,25.4375,24.625,25.125,25.0,81700
2000-11-15,25.875,25.0,25.0,25.5625,80200
2000-11-16,25.9375,25.25,25.4375,25.8125,39600
2000-11-17,26.5625,25.8125,25.8125,26.5625,229300
2000-11-20,26.6875,26.125,26.125,26.5625,91100
2000-11-21,26.5625,25.8125,26.375,26.5625,60000
2000-11-22,26.8125,25.9375,26.1875,26.0625,76200
2000-11-24,26.125,26.0,26.125,26.0625,4400
2000-11-27,26.0,25.3125,25.8125,25.3125,22400
2000-11-28,25.3125,24.3125,25.3125,24.5,27700
2000-11-29,24.5,23.875,24.25,24.5,17400
2000-11-30,24.5,24.0625,24.375,24.0625,26100
2000-12-01,24.6875,23.9375,24.1875,24.625,23900
2000-12-04,24.799999237060547,24.100000381469727,24.5,24.670000076293945,16900
2000-12-05,25.1200008392334,24.68000030517578,24.68000030517578,24.889999389648438,18100
2000-12-06,25.489999771118164,24.1299991607666,25.0,24.6299991607666,25700
2000-12-07,25.3700008392334,24.450000762939453,24.450000762939453,25.1299991607666,20100
2000-12-08,25.989999771118164,25.06999969482422,25.06999969482422,25.989999771118164,37800
2000-12-11,27.100000381469727,25.84000015258789,25.989999771118164,27.100000381469727,57700
2000-12-12,27.75,26.459999084472656,26.75,26.459999084472656,40700
2000-12-13,26.889999389648438,25.600000381469727,26.709999084472656,25.700000762939453,20200
2000-12-14,26.049999237060547,25.5,25.649999618530273,25.579999923706055,25600
2000-12-15,25.700000762939453,25.25,25.299999237060547,25.479999542236328,60800
2000-12-18,25.56999969482422,25.25,25.399999618530273,25.56999969482422,27800
2000-12-19,27.059999465942383,25.520000457763672,25.520000457763672,26.969999313354492,35700
2000-12-20,27.100000381469727,26.75,26.899999618530273,26.799999237060547,28600
2000-12-21,28.399999618530273,26.850000381469727,26.850000381469727,28.1299991607666,57600
2000-12-22,28.739999771118164,28.1299991607666,28.1299991607666,28.649999618530273,27500
2000-12-26,28.729999542236328,28.0,28.600000381469727,28.25,42300
2000-12-27,28.649999618530273,28.200000762939453,28.239999771118164,28.530000686645508,12600
2000-12-28,29.0,28.3799991607666,28.5,29.0,31600
2000-12-29,28.989999771118164,27.90999984741211,28.75,27.950000762939453,54700
2001-01-02,27.989999771118164,26.280000686645508,27.989999771118164,26.399999618530273,35000
2001-01-03,27.440000534057617,26.5,26.549999237060547,27.100000381469727,42700
2001-01-04,27.25,26.760000228881836,27.0,27.25,31200
2001-01-05,27.149999618530273,26.040000915527344,27.149999618530273,26.100000381469727,23200
2001-01-08,26.3700008392334,24.899999618530273,26.200000762939453,25.600000381469727,37700
2001-01-09,26.0,25.690000534057617,25.850000381469727,26.0,24400
2001-01-10,26.559999465942383,26.0,26.049999237060547,26.559999465942383,27200
2001-01-11,26.6299991607666,26.450000762939453,26.450000762939453,26.6299991607666,29700
2001-01-12,26.600000381469727,26.25,26.600000381469727,26.350000381469727,33100
2001-01-16,28.700000762939453,26.25,26.34000015258789,28.5,108600
2001-01-17,28.200000762939453,26.989999771118164,28.200000762939453,27.0,37100
2001-01-18,27.049999237060547,25.25,26.950000762939453,25.299999237060547,79300
2001-01-19,25.600000381469727,25.059999465942383,25.25,25.059999465942383,38900
2001-01-22,25.75,24.5,25.059999465942383,24.5,22300
2001-01-23,24.510000228881836,23.799999237060547,24.510000228881836,24.149999618530273,45400
2001-01-24,24.149999618530273,23.299999237060547,24.149999618530273,23.850000381469727,33100
2001-01-25,23.850000381469727,22.8700008392334,23.84000015258789,23.1299991607666,29100
2001-01-26,23.25,22.610000610351562,23.200000762939453,23.110000610351562,12600
2001-01-29,23.829999923706055,23.5,23.649999618530273,23.780000686645508,25800
2001-01-30,24.700000762939453,23.950000762939453,24.0,24.6200008392334,19700
2001-01-31,25.0,24.5,24.5,24.649999618530273,22000
2001-02-01,25.25,24.5,24.600000381469727,24.950000762939453,30600
2001-02-02,25.389999389648438,23.950000762939453,25.200000762939453,23.950000762939453,56100
2001-02-05,26.5,24.049999237060547,24.049999237060547,26.25,46700
2001-02-06,27.989999771118164,26.0,26.239999771118164,27.68000030517578,77600
2001-02-07,28.260000228881836,27.229999542236328,27.479999542236328,27.979999542236328,159700
2001-02-08,28.209999084472656,27.850000381469727,27.979999542236328,27.899999618530273,153200
2001-02-09,29.0,27.700000762939453,27.75,28.110000610351562,81400
2001-02-12,28.0,27.600000381469727,28.0,27.75,37900
2001-02-13,27.889999389648438,27.260000228881836,27.59000015258789,27.260000228881836,41800
2001-02-14,27.260000228881836,26.90999984741211,27.260000228881836,26.979999542236328,22400
2001-02-15,27.170000076293945,26.950000762939453,27.0,27.1299991607666,43900
2001-02-16,29.0,26.5,27.0,28.260000228881836,109700
2001-02-20,27.989999771118164,26.770000457763672,27.850000381469727,26.780000686645508,47200
2001-02-21,27.1299991607666,26.200000762939453,26.850000381469727,26.969999313354492,28100
2001-02-22,27.149999618530273,26.329999923706055,27.0,26.389999389648438,47700
2001-02-23,26.31999969482422,25.5,26.31999969482422,26.15999984741211,18300
2001-02-26,26.979999542236328,26.0,26.399999618530273,26.010000228881836,16700
2001-02-27,26.149999618530273,24.850000381469727,26.1200008392334,25.290000915527344,43400
2001-02-28,26.0,25.260000228881836,25.299999237060547,25.899999618530273,21300
2001-03-01,26.200000762939453,25.850000381469727,26.049999237060547,25.950000762939453,30700
2001-03-02,26.850000381469727,25.850000381469727,25.899999618530273,25.850000381469727,48200
2001-03-05,26.09000015258789,25.899999618530273,26.0,25.950000762939453,18600
2001-03-06,26.049999237060547,25.600000381469727,25.989999771118164,25.690000534057617,15900
2001-03-07,25.950000762939453,25.56999969482422,25.809999465942383,25.739999771118164,14100
2001-03-08,25.75,25.229999542236328,25.700000762939453,25.260000228881836,10800
2001-03-09,25.549999237060547,25.100000381469727,25.100000381469727,25.350000381469727,29600
2001-03-12,25.450000762939453,25.239999771118164,25.450000762939453,25.270000457763672,12700
2001-03-13,25.479999542236328,25.100000381469727,25.200000762939453,25.299999237060547,41400
2001-03-14,25.579999923706055,24.850000381469727,25.350000381469727,24.850000381469727,23100
2001-03-15,25.389999389648438,24.899999618530273,25.049999237060547,25.3700008392334,29600
2001-03-16,25.739999771118164,25.5,25.5,25.600000381469727,57500
2001-03-19,25.770000457763672,25.049999237060547,25.600000381469727,25.770000457763672,21800
2001-03-20,26.329999923706055,25.700000762939453,25.700000762939453,25.8700008392334,17800
2001-03-21,25.8700008392334,25.360000610351562,25.8700008392334,25.360000610351562,11800
2001-03-22,26.25,25.100000381469727,25.34000015258789,26.1200008392334,24100
2001-03-23,26.260000228881836,25.799999237060547,26.15999984741211,26.079999923706055,22900
2001-03-26,26.100000381469727,25.8799991607666,25.8799991607666,25.959999084472656,13700
2001-03-27,26.350000381469727,25.920000076293945,25.950000762939453,26.299999237060547,21400
2001-03-28,26.309999465942383,25.989999771118164,26.100000381469727,26.020000457763672,34600
2001-03-29,26.25,25.719999313354492,26.0,25.989999771118164,26500
2001-03-30,26.200000762939453,25.510000228881836,25.989999771118164,26.200000762939453,43900
2001-04-02,26.25,25.280000686645508,26.25,25.280000686645508,29900
2001-04-03,25.850000381469727,24.5,25.18000030517578,25.770000457763672,22300
2001-04-04,25.899999618530273,25.549999237060547,25.68000030517578,25.649999618530273,12500
2001-04-05,26.350000381469727,25.700000762939453,25.739999771118164,26.350000381469727,21800
2001-04-06,26.350000381469727,26.100000381469727,26.200000762939453,26.299999237060547,18600
2001-04-09,26.350000381469727,25.100000381469727,26.350000381469727,25.5,30000
2001-04-10,26.15999984741211,25.399999618530273,25.399999618530273,25.850000381469727,17100
2001-04-11,25.950000762939453,25.399999618530273,25.950000762939453,25.700000762939453,9300
2001-04-12,25.989999771118164,25.5,25.5,25.989999771118164,16300
2001-04-16,26.0,24.899999618530273,25.899999618530273,25.90999984741211,22400
2001-04-17,25.979999542236328,25.75,25.899999618530273,25.899999618530273,11100
2001-04-18,26.34000015258789,25.989999771118164,25.989999771118164,26.0,32000
2001-04-19,26.200000762939453,26.0,26.0,26.100000381469727,15200
2001-04-20,26.059999465942383,25.600000381469727,26.049999237060547,25.770000457763672,13200
2001-04-23,25.649999618530273,25.040000915527344,25.520000457763672,25.049999237060547,20900
2001-04-24,25.25,25.049999237060547,25.110000610351562,25.209999084472656,12200
2001-04-25,26.100000381469727,25.209999084472656,25.299999237060547,26.09000015258789,16600
2001-04-26,26.190000534057617,25.950000762939453,26.149999618530273,26.149999618530273,11500
2001-04-27,26.350000381469727,26.149999618530273,26.200000762939453,26.350000381469727,17200
2001-04-30,26.350000381469727,26.15999984741211,26.350000381469727,26.15999984741211,29100
2001-05-01,26.25,25.809999465942383,26.15999984741211,25.979999542236328,10800
2001-05-02,26.350000381469727,25.899999618530273,25.899999618530273,26.25,7800
2001-05-03,26.350000381469727,26.1200008392334,26.149999618530273,26.350000381469727,20300
2001-05-04,27.350000381469727,26.25,26.299999237060547,27.350000381469727,53900
2001-05-07,27.770000457763672,27.059999465942383,27.399999618530273,27.06999969482422,28700
2001-05-08,27.0,26.450000762939453,27.0,26.600000381469727,15700
2001-05-09,26.739999771118164,26.56999969482422,26.56999969482422,26.649999618530273,48400
2001-05-10,26.639999389648438,26.170000076293945,26.639999389648438,26.170000076293945,31300
2001-05-11,26.25,25.829999923706055,26.170000076293945,26.100000381469727,14900
2001-05-14,26.360000610351562,26.1200008392334,26.1200008392334,26.270000457763672,11500
2001-05-15,26.489999771118164,26.149999618530273,26.270000457763672,26.489999771118164,15100
2001-05-16,26.850000381469727,26.25,26.25,26.760000228881836,33800
2001-05-17,26.719999313354492,25.8700008392334,26.649999618530273,26.100000381469727,38600
2001-05-18,26.0,25.850000381469727,26.0,25.889999389648438,11200
2001-05-21,25.90999984741211,25.5,25.889999389648438,25.90999984741211,39500
2001-05-22,25.899999618530273,25.5,25.899999618530273,25.700000762939453,13700
2001-05-23,25.899999618530273,25.649999618530273,25.899999618530273,25.65999984741211,12000
2001-05-24,25.8799991607666,25.709999084472656,25.75,25.81999969482422,14700
2001-05-25,25.81999969482422,25.649999618530273,25.81999969482422,25.670000076293945,15300
2001-05-29,25.75,25.549999237060547,25.649999618530273,25.639999389648438,73900
2001-05-30,25.649999618530273,25.239999771118164,25.600000381469727,25.239999771118164,48900
2001-05-31,25.5,24.93000030517578,25.450000762939453,25.020000457763672,34700
2001-06-01,25.5,25.010000228881836,25.020000457763672,25.450000762939453,26800
2001-06-04,26.0,25.350000381469727,25.450000762939453,26.0,34800
2001-06-05,26.100000381469727,25.850000381469727,26.0,26.020000457763672,16800
2001-06-06,26.100000381469727,25.549999237060547,26.020000457763672,25.950000762939453,19900
2001-06-07,25.940000534057617,25.549999237060547,25.940000534057617,25.799999237060547,15600
2001-06-08,25.790000915527344,25.350000381469727,25.790000915527344,25.3700008392334,8800
2001-06-11,25.3700008392334,24.81999969482422,25.3700008392334,24.860000610351562,8400
2001-06-12,24.850000381469727,23.90999984741211,24.799999237060547,24.389999389648438,26500
2001-06-13,24.950000762939453,24.469999313354492,24.469999313354492,24.719999313354492,9300
2001-06-14,24.719999313354492,24.299999237060547,24.719999313354492,24.309999465942383,15100
2001-06-15,24.68000030517578,24.25,24.25,24.479999542236328,30100
2001-06-18,24.649999618530273,24.350000381469727,24.600000381469727,24.40999984741211,19400
2001-06-19,24.979999542236328,24.520000457763672,24.549999237060547,24.950000762939453,168400
2001-06-20,26.0,24.75,24.850000381469727,26.0,50800
2001-06-21,26.0,25.8799991607666,26.0,25.989999771118164,24200
2001-06-22,25.989999771118164,25.559999465942383,25.989999771118164,25.75,24700
2001-06-25,25.989999771118164,24.780000686645508,25.899999618530273,24.780000686645508,20900
2001-06-26,25.450000762939453,24.649999618530273,24.649999618530273,25.360000610351562,27700
2001-06-27,26.0,25.5,25.5,25.989999771118164,31200
2001-06-28,26.0,25.799999237060547,25.850000381469727,25.989999771118164,32100
2001-06-29,26.0,25.920000076293945,26.0,26.0,124000
2001-07-02,26.5,25.899999618530273,26.149999618530273,25.989999771118164,24000
2001-07-03,26.200000762939453,25.600000381469727,26.0,25.700000762939453,12400
2001-07-05,26.239999771118164,25.600000381469727,25.600000381469727,26.040000915527344,20500
2001-07-06,26.0,25.399999618530273,25.950000762939453,25.40999984741211,14700
2001-07-09,25.850000381469727,25.100000381469727,25.200000762939453,25.530000686645508,26800
2001-07-10,26.3799991607666,25.229999542236328,25.530000686645508,25.280000686645508,29900
2001-07-11,25.549999237060547,25.209999084472656,25.280000686645508,25.440000534057617,19200
2001-07-12,26.350000381469727,25.5,25.5,26.25,51000
2001-07-13,26.399999618530273,26.15999984741211,26.399999618530273,26.25,93800
2001-07-16,26.68000030517578,26.110000610351562,26.149999618530273,26.110000610351562,12300
2001-07-17,26.829999923706055,26.1200008392334,26.1200008392334,26.829999923706055,18600
2001-07-18,27.25,26.450000762939453,26.75,26.549999237060547,23400
2001-07-19,27.239999771118164,26.450000762939453,26.450000762939453,26.729999542236328,20200
2001-07-20,27.239999771118164,26.729999542236328,26.729999542236328,27.049999237060547,34900
2001-07-23,27.25,26.950000762939453,27.229999542236328,27.0,21300
2001-07-24,27.25,26.329999923706055,27.0,26.610000610351562,18700
2001-07-25,26.600000381469727,25.6200008392334,26.600000381469727,26.309999465942383,29600
2001-07-26,27.489999771118164,26.350000381469727,26.399999618530273,27.489999771118164,20400
2001-07-27,27.549999237060547,27.059999465942383,27.549999237060547,27.149999618530273,11000
2001-07-30,27.200000762939453,26.799999237060547,27.200000762939453,27.190000534057617,23400
2001-07-31,27.739999771118164,26.979999542236328,27.25,27.149999618530273,43400
2001-08-01,27.200000762939453,27.049999237060547,27.200000762939453,27.15999984741211,22700
2001-08-02,27.200000762939453,27.010000228881836,27.100000381469727,27.139999389648438,16900
2001-08-03,27.200000762939453,27.0,27.200000762939453,27.1200008392334,33300
2001-08-06,27.350000381469727,26.350000381469727,27.1200008392334,26.649999618530273,19200
2001-08-07,27.170000076293945,26.649999618530273,26.649999618530273,27.040000915527344,34700
2001-08-08,27.350000381469727,26.989999771118164,27.049999237060547,27.0,36800
2001-08-09,27.100000381469727,26.899999618530273,27.0,27.079999923706055,22100
2001-08-10,27.100000381469727,26.799999237060547,27.079999923706055,27.030000686645508,37200
2001-08-13,27.0,26.600000381469727,27.0,26.889999389648438,18800
2001-08-14,27.0,26.850000381469727,26.889999389648438,26.950000762939453,27200
