Date,High_SWK,Low_SWK,Open_SWK,Close_SWK,Volume_SWK
2000-01-03,30.125,28.5625,29.875,28.75,297300
2000-01-04,28.9375,27.9375,28.5,28.125,127000
2000-01-05,28.25,27.625,28.125,27.75,121300
2000-01-06,28.5,27.375,27.5625,27.625,225100
2000-01-07,28.125,27.375,27.625,28.125,222500
2000-01-10,28.125,27.0,28.0625,27.875,160800
2000-01-11,28.125,27.375,27.6875,27.5625,142000
2000-01-12,29.3125,27.3125,27.4375,28.6875,407000
2000-01-13,29.0,28.6875,28.6875,28.75,135700
2000-01-14,28.375,27.375,28.375,27.875,258700
2000-01-18,27.4375,26.8125,27.25,26.9375,142700
2000-01-19,28.0625,26.5625,26.6875,27.6875,353800
2000-01-20,29.125,26.9375,27.625,27.0,335600
2000-01-21,27.125,25.6875,27.125,26.0625,180300
2000-01-24,26.0625,25.375,26.0625,25.5,122300
2000-01-25,25.5,24.5625,25.5,25.125,174000
2000-01-26,25.125,24.0,25.0625,24.5,218000
2000-01-27,26.125,25.1875,25.5,25.25,308700
2000-01-28,25.375,24.75,25.0625,24.75,147800
2000-01-31,25.25,24.25,24.75,25.125,187700
2000-02-01,25.5625,25.0625,25.25,25.125,272300
2000-02-02,26.375,25.25,25.25,25.9375,395100
2000-02-03,26.3125,25.0,25.875,26.125,192500
2000-02-04,26.375,25.4375,26.125,25.625,524300
2000-02-07,25.625,24.6875,25.625,24.9375,199700
2000-02-08,25.5625,24.8125,25.125,24.9375,174200
2000-02-09,24.9375,24.25,24.8125,24.3125,232500
2000-02-10,24.4375,23.5,24.3125,23.8125,251400
2000-02-11,23.75,23.1875,23.75,23.1875,149200
2000-02-14,24.0625,23.25,23.25,23.625,204000
2000-02-15,25.0,23.75,23.75,24.8125,237700
2000-02-16,25.0,24.3125,24.375,24.5625,480300
2000-02-17,25.0625,24.4375,24.4375,24.625,152900
2000-02-18,25.25,23.5625,24.5,23.5625,355000
