Date,High_TER,Low_TER,Open_TER,Close_TER,Volume_TER
2000-01-03,65.4375,60.125,65.0625,61.8125,1353500
2000-01-04,61.25,59.5,60.25,59.9375,1611800
2000-01-05,60.375,56.25,59.875,58.625,1855800
2000-01-06,58.4375,55.25,58.0,55.75,964700
2000-01-07,57.125,54.875,55.75,56.9375,809200
2000-01-10,63.375,58.25,58.25,61.9375,1109800
2000-01-11,63.25,59.4375,61.8125,60.125,1933400
2000-01-12,62.375,57.75,58.8125,61.0625,1405400
2000-01-13,61.6875,59.5,61.125,60.75,1474900
2000-01-14,72.25,64.5,64.5,68.0,3204300
2000-01-18,72.375,67.8125,68.3125,69.6875,1533900
2000-01-19,78.25,74.5,75.875,77.25,3629200
2000-01-20,78.0625,74.0,77.0,74.3125,3571000
2000-01-21,75.25,71.1875,75.25,72.375,2060100
2000-01-24,74.4375,70.6875,72.375,71.3125,1412500
2000-01-25,72.375,67.3125,71.0,72.0625,1786600
2000-01-26,71.875,67.0,71.8125,69.4375,1358600
2000-01-27,71.0,67.875,70.0625,68.625,1601800
2000-01-28,68.5625,62.75,68.5,62.875,1414700
2000-01-31,65.4375,62.5,64.25,64.75,1457700
2000-02-01,70.625,63.625,64.75,70.1875,2122700
2000-02-02,72.75,69.9375,70.1875,71.8125,1913500
2000-02-03,75.625,71.125,71.5625,75.25,1477600
2000-02-04,75.4375,72.625,75.0,72.75,1189800
2000-02-07,77.4375,72.5625,73.0,76.9375,1175500
2000-02-08,77.625,73.75,76.6875,77.5,1391800
2000-02-09,79.5625,74.6875,77.75,75.0,1990400
2000-02-10,79.25,75.75,76.0,78.9375,1321300
2000-02-11,80.0,75.0625,80.0,75.375,1251700
2000-02-14,77.9375,75.0,76.1875,77.3125,1042400
2000-02-15,78.5,75.875,77.1875,78.5,1146900
2000-02-16,80.9375,79.0625,79.5,80.0,1135300
2000-02-17,81.3125,77.25,79.25,80.625,1112800
2000-02-18,80.5625,76.625,80.5,77.5,884200
2000-02-22,84.5,77.0,77.5625,83.25,2110400
2000-02-23,85.125,79.625,84.75,80.9375,2520300
2000-02-24,86.0,81.75,81.875,86.0,1698100
2000-02-25,89.5,84.125,85.0,84.875,1878900
2000-02-28,85.25,79.375,84.75,84.9375,1858700
2000-02-29,89.0,84.875,85.5,87.0,1461200
2000-03-01,89.6875,87.0,87.0,89.5,1443000
2000-03-02,90.9375,83.25,89.6875,83.9375,2166900
2000-03-03,89.1875,83.9375,83.9375,88.4375,1293700
2000-03-06,90.25,87.0,88.4375,87.1875,1224500
2000-03-07,89.875,85.875,87.1875,87.0,1380500
2000-03-08,87.0,80.6875,87.0,82.125,1906100
2000-03-09,84.5,80.625,82.125,82.75,2270200
2000-03-10,90.8125,83.375,83.5,89.5625,2812800
2000-03-13,89.0,85.8125,87.625,89.0,1506600
2000-03-14,93.4375,81.5625,90.5,81.5625,1918700
