Date,High_TFC,Low_TFC,Open_TFC,Close_TFC,Volume_TFC
2000-01-03,27.1875,25.625,27.125,25.8125,571300
2000-01-04,25.875,24.75,25.8125,25.0625,766700
2000-01-05,25.6875,24.9375,25.125,25.375,620200
2000-01-06,26.6875,25.3125,25.4375,26.5625,691500
2000-01-07,27.25,26.4375,27.25,26.75,579500
2000-01-10,27.0,25.6875,26.875,26.0625,477600
2000-01-11,25.9375,25.25,25.8125,25.375,319700
2000-01-12,26.375,25.4375,25.5,26.0,515300
2000-01-13,28.625,26.5625,26.5625,28.125,1989500
2000-01-14,29.25,28.25,28.25,29.1875,1026700
2000-01-18,29.0,27.6875,29.0,27.875,1078700
2000-01-19,28.5,27.3125,28.375,27.5,573600
2000-01-20,27.625,26.375,27.5,26.5,431300
2000-01-21,27.1875,26.4375,27.1875,26.75,502800
2000-01-24,26.75,25.75,26.75,26.0,407500
2000-01-25,26.4375,25.625,25.875,26.0,456600
2000-01-26,27.625,25.9375,26.0625,27.625,695100
2000-01-27,28.6875,27.625,28.5,28.0,667200
2000-01-28,27.75,26.875,27.75,27.625,684300
2000-01-31,28.125,27.0,27.375,28.125,831700
2000-02-01,28.75,27.625,28.125,28.5,635100
2000-02-02,29.125,28.0,29.125,28.1875,614000
2000-02-03,28.625,27.8125,28.125,28.5,819600
2000-02-04,28.4375,27.375,28.4375,27.5,394100
2000-02-07,26.25,25.0625,25.0625,26.25,2087800
2000-02-08,26.375,25.9375,26.1875,26.0625,970000
2000-02-09,26.1875,25.6875,26.1875,25.9375,1075600
2000-02-10,25.9375,25.0,25.75,25.25,376800
2000-02-11,25.875,25.0,25.25,25.375,603600
2000-02-14,25.5,24.6875,25.4375,25.0,680400
2000-02-15,25.875,24.8125,25.0,25.75,779500
2000-02-16,25.75,24.9375,25.625,25.0,491500
2000-02-17,25.125,23.6875,25.0,24.0625,642800
2000-02-18,24.25,23.375,24.125,23.5625,655500
2000-02-22,24.125,23.375,23.75,23.9375,422700
2000-02-23,23.9375,23.0625,23.9375,23.0625,430000
2000-02-24,23.375,22.0625,23.1875,22.625,794900
2000-02-25,23.25,22.5,23.125,22.6875,505000
2000-02-28,23.625,22.6875,22.8125,23.3125,509100
2000-02-29,23.5,22.5625,23.0625,23.5,574800
2000-03-01,23.5,22.625,23.4375,23.125,432100
2000-03-02,23.0,22.375,22.9375,23.0,549600
2000-03-03,23.5625,22.5,22.5,23.375,564500
2000-03-06,23.25,22.1875,23.25,22.625,471200
2000-03-07,22.75,22.0,22.75,22.0,491700
2000-03-08,22.3125,21.6875,21.75,22.125,455000
2000-03-09,22.9375,22.0,22.125,22.9375,519400
2000-03-10,22.9375,22.3125,22.9375,22.5625,470100
2000-03-13,22.875,22.0,22.0,22.875,460300
2000-03-14,22.625,21.6875,22.625,22.375,457300
2000-03-15,25.0,21.9375,22.125,24.8125,1193500
2000-03-16,27.3125,24.4375,24.75,27.3125,1192300
2000-03-17,27.5625,25.8125,27.5625,26.75,1020300
2000-03-20,26.6875,25.0,26.5625,26.125,1024800
2000-03-21,27.625,26.0,26.0,27.625,1026300
2000-03-22,27.875,27.125,27.5,27.75,441800
2000-03-23,28.625,27.1875,27.5,28.625,612000
2000-03-24,28.8125,27.625,28.25,28.375,661500
2000-03-27,27.9375,27.0,27.875,27.5,394400
2000-03-28,28.0,27.1875,27.375,27.5625,397600
2000-03-29,28.75,27.6875,28.75,28.1875,461700
2000-03-30,27.9375,27.125,27.6875,27.3125,393200
2000-03-31,28.0625,26.6875,26.75,28.0625,598600
2000-04-03,29.375,27.875,27.875,29.3125,561500
2000-04-04,30.0,28.5,29.625,29.6875,1073400
2000-04-05,29.625,28.8125,29.375,28.9375,341900
2000-04-06,29.5,28.125,29.5,28.75,293800
2000-04-07,28.5625,27.875,28.375,27.875,296300
2000-04-10,28.375,27.125,27.75,28.1875,389700
2000-04-11,28.4375,27.75,28.4375,28.0,333800
2000-04-12,29.875,28.0,28.0,28.6875,643200
2000-04-13,28.5,27.75,27.75,27.9375,371300
2000-04-14,27.4375,25.75,27.375,26.0625,679000
2000-04-17,26.75,25.875,25.9375,26.625,590600
2000-04-18,26.9375,26.0,26.125,26.875,427400
2000-04-19,27.125,25.8125,27.125,26.25,283400
2000-04-20,26.6875,25.75,26.375,26.4375,659400
2000-04-24,27.4375,26.0625,26.4375,26.9375,325100
2000-04-25,28.375,26.6875,26.6875,28.0625,530400
2000-04-26,28.375,27.1875,28.375,27.1875,524300
2000-04-27,26.875,26.0,26.6875,26.25,423600
2000-04-28,26.75,26.0,26.625,26.625,1025500
2000-05-01,27.4375,26.25,26.75,26.9375,560900
2000-05-02,27.0625,26.375,27.0625,26.875,609500
2000-05-03,27.25,26.4375,26.8125,26.5,665400
2000-05-04,26.375,25.875,26.375,26.0625,511200
2000-05-05,26.1875,25.8125,25.9375,25.9375,241900
2000-05-08,27.0,25.8125,25.8125,26.3125,337400
2000-05-09,26.9375,26.25,26.25,26.5625,344200
2000-05-10,26.8125,26.125,26.5625,26.3125,597300
2000-05-11,27.4375,26.375,26.375,27.125,597700
2000-05-12,27.6875,26.625,26.6875,27.4375,515000
2000-05-15,27.9375,27.125,27.25,27.8125,570500
2000-05-16,27.875,27.0625,27.875,27.25,380400
2000-05-17,27.125,26.625,27.0,27.0625,207600
2000-05-18,27.9375,27.0,27.0,27.625,518100
2000-05-19,27.5,26.5,27.4375,26.625,321700
2000-05-22,27.4375,26.6875,27.0625,27.4375,442500
2000-05-23,28.4375,27.375,27.375,28.125,492200
2000-05-24,29.1875,28.3125,28.375,28.875,451000
2000-05-25,29.21875,27.875,29.1875,28.0625,603800
2000-05-26,29.4375,28.375,28.75,28.75,416500
2000-05-30,29.0,28.5625,28.5625,28.9375,438000
2000-05-31,29.3125,28.6875,28.9375,29.3125,364700
2000-06-01,30.4375,29.0,29.0625,30.4375,917000
2000-06-02,31.875,30.6875,30.9375,31.75,943800
2000-06-05,31.1875,30.125,31.125,30.25,382000
2000-06-06,29.875,28.875,29.6875,29.4375,480000
2000-06-07,30.0,29.3125,29.375,29.625,320100
