Date,High_TFX,Low_TFX,Open_TFX,Close_TFX,Volume_TFX
2000-01-03,31.25,29.6875,31.125,31.25,172200
2000-01-04,31.5625,30.4375,31.125,30.5625,138700
2000-01-05,33.0,30.75,30.75,32.4375,167400
2000-01-06,32.75,32.1875,32.1875,32.4375,240400
2000-01-07,33.75,32.625,32.625,33.4375,161100
2000-01-10,34.375,33.375,33.375,34.375,237600
2000-01-11,34.25,33.75,34.25,33.875,171500
2000-01-12,34.4375,33.75,33.8125,34.0,160600
2000-01-13,35.25,33.875,33.875,35.0625,191500
2000-01-14,35.8125,35.1875,35.3125,35.25,167800
2000-01-18,36.1875,34.6875,35.5,35.8125,112900
2000-01-19,36.125,35.375,35.6875,35.5,74900
2000-01-20,35.6875,34.3125,35.625,34.625,106700
2000-01-21,34.625,33.375,34.5625,33.5,123100
2000-01-24,33.4375,32.0,33.4375,32.3125,179500
2000-01-25,33.0625,32.3125,32.3125,32.9375,110900
2000-01-26,33.0625,31.875,33.0,32.1875,98000
2000-01-27,32.8125,32.0,32.0,32.125,179500
2000-01-28,32.25,31.6875,32.125,32.0,189100
2000-01-31,32.0,31.25,31.875,31.75,80700
2000-02-01,31.8125,31.0625,31.75,31.1875,177400
2000-02-02,30.6875,28.9375,30.6875,30.125,504700
2000-02-03,30.9375,30.25,30.5,30.625,175100
2000-02-04,30.8125,29.875,30.75,30.0,82900
2000-02-07,30.3125,29.25,30.125,29.5625,162200
2000-02-08,29.9375,29.25,29.5,29.375,95200
2000-02-09,29.9375,29.0625,29.875,29.375,90200
2000-02-10,30.1875,29.3125,29.625,29.5625,141000
2000-02-11,29.6875,28.4375,29.4375,28.625,97700
2000-02-14,29.875,28.6875,28.8125,29.5,159400
2000-02-15,29.5625,28.5,29.5,28.625,80200
2000-02-16,29.4375,28.375,28.5,28.8125,123900
2000-02-17,29.1875,28.25,29.0625,28.5625,131800
2000-02-18,28.625,28.1875,28.5625,28.5,216900
2000-02-22,29.0,28.0625,28.75,28.25,155900
2000-02-23,28.3125,27.0625,27.9375,27.75,235300
2000-02-24,27.625,26.125,27.625,26.9375,135400
2000-02-25,27.8125,26.4375,26.8125,27.1875,107800
2000-02-28,27.75,26.625,27.4375,27.125,119000
2000-02-29,28.25,27.0625,27.0625,28.25,188200
2000-03-01,30.1875,28.0,28.0,29.4375,223500
2000-03-02,29.75,28.625,29.4375,28.75,110100
2000-03-03,29.1875,28.375,29.125,28.4375,126600
2000-03-06,28.375,27.625,28.1875,27.875,147500
2000-03-07,27.75,27.4375,27.75,27.5625,137400
2000-03-08,28.3125,27.5625,27.625,27.875,65600
2000-03-09,28.9375,27.75,27.75,28.625,63600
2000-03-10,29.0,28.125,28.5625,28.75,100700
2000-03-13,29.1875,27.625,28.875,28.625,224100
2000-03-14,28.6875,27.75,28.625,27.875,105700
2000-03-15,27.9375,27.375,27.9375,27.75,183300
2000-03-16,29.375,27.875,27.875,29.375,326100
2000-03-17,30.1875,29.0625,29.125,29.8125,142700
2000-03-20,30.25,29.875,29.9375,30.125,126000
2000-03-21,30.0625,29.375,30.0625,29.6875,86300
2000-03-22,30.0625,29.375,29.9375,30.0,136900
2000-03-23,31.1875,30.1875,30.25,30.9375,126000
2000-03-24,30.8125,29.9375,30.8125,30.1875,173000
2000-03-27,29.625,29.0,29.0,29.4375,197100
2000-03-28,29.875,28.875,29.625,29.6875,154000
2000-03-29,29.75,28.875,29.75,29.4375,75000
2000-03-30,31.6875,29.5625,29.5625,31.4375,198000
2000-03-31,35.5,31.5,31.5,35.375,397900
2000-04-03,35.0,32.9375,35.0,33.8125,200400
2000-04-04,34.625,33.25,33.4375,33.6875,166800
2000-04-05,34.4375,33.4375,33.4375,34.1875,114700
2000-04-06,35.1875,34.3125,34.3125,34.9375,75000
2000-04-07,35.5,34.5,34.8125,34.5625,50600
2000-04-10,35.25,33.8125,34.4375,34.75,93900
2000-04-11,35.1875,34.375,35.0,34.5625,50800
2000-04-12,35.1875,34.125,34.6875,34.5625,73100
2000-04-13,36.875,35.0,35.0,36.0625,173800
2000-04-14,35.8125,34.0,35.8125,34.25,119000
2000-04-17,34.9375,33.5,34.0,34.9375,117300
2000-04-18,35.5,34.9375,34.9375,35.0625,84900
2000-04-19,35.1875,34.25,35.1875,34.375,79600
2000-04-20,34.3125,33.125,34.0,33.5,129100
2000-04-24,33.6875,33.0,33.5,33.625,88600
2000-04-25,34.6875,33.875,34.0,34.25,104000
2000-04-26,34.75,33.625,34.125,33.8125,88500
2000-04-27,34.0,32.9375,33.9375,33.9375,55900
2000-04-28,34.9375,33.625,34.0625,34.5625,98700
2000-05-01,35.5,34.5,34.5,35.0,274600
2000-05-02,35.0625,34.625,35.0,35.0,102200
2000-05-03,34.875,33.5,34.75,33.6875,103700
2000-05-04,35.125,33.8125,33.8125,35.125,103300
2000-05-05,35.75,34.625,35.0,35.625,42500
2000-05-08,35.75,34.625,35.5,34.8125,42300
2000-05-09,34.8125,33.625,34.8125,34.3125,73100
