Date,High_TGT,Low_TGT,Open_TGT,Close_TGT,Volume_TGT
2000-01-03,36.375,35.125,36.125,36.03125,2870400
2000-01-04,35.34375,34.3125,34.75,34.46875,3856400
2000-01-05,34.96875,33.5,34.46875,33.6875,4330600
2000-01-06,33.125,31.84375,33.0,32.09375,8167400
2000-01-07,33.84375,31.90625,32.0,33.75,4402600
2000-01-10,33.75,32.78125,33.25,33.09375,2559600
2000-01-11,34.25,33.0,33.03125,34.09375,3790400
2000-01-12,34.375,33.5625,34.15625,33.71875,3191400
2000-01-13,35.0,34.21875,34.5625,34.5,5080200
2000-01-14,35.21875,34.4375,35.0,34.625,2916600
2000-01-18,34.25,33.625,33.75,34.0,1939200
2000-01-19,35.90625,33.5,34.03125,34.96875,3417000
2000-01-20,35.09375,33.5,34.96875,33.84375,3005400
2000-01-21,34.5,32.25,34.375,32.40625,5370200
2000-01-24,33.125,31.625,32.75,31.75,5629400
2000-01-25,32.71875,31.4375,32.25,32.5625,4761400
2000-01-26,34.25,32.5,32.5,34.0625,5087000
2000-01-27,34.0,32.90625,33.96875,33.65625,4697200
2000-01-28,33.71875,31.5,33.71875,31.6875,4666800
2000-01-31,33.125,31.6875,31.875,32.9375,3084800
2000-02-01,34.0625,32.5625,33.0,33.71875,2733200
2000-02-02,34.5625,33.03125,33.75,34.0,3095800
2000-02-03,33.875,32.8125,33.875,33.03125,4748800
2000-02-04,33.75,31.875,33.46875,32.3125,4543600
2000-02-07,33.25,32.3125,32.5,32.84375,2819400
2000-02-08,34.375,32.8125,32.84375,34.34375,3512200
2000-02-09,34.34375,33.5,34.34375,33.59375,2085400
2000-02-10,34.125,33.0625,33.65625,33.21875,1900000
2000-02-11,33.4375,33.03125,33.28125,33.03125,2102400
2000-02-14,33.0625,32.1875,33.0625,32.625,1876800
2000-02-15,32.5,31.4375,32.5,31.96875,2811400
2000-02-16,32.625,30.71875,31.875,30.90625,3917000
2000-02-17,31.125,29.25,30.90625,29.9375,5698600
2000-02-18,30.375,29.09375,29.9375,29.5,5321600
2000-02-22,29.90625,27.71875,29.40625,28.875,5649200
2000-02-23,29.15625,28.34375,29.125,28.40625,3702200
2000-02-24,28.40625,26.875,28.40625,27.9375,4127400
2000-02-25,28.375,27.4375,28.03125,27.9375,4806600
2000-02-28,29.53125,28.3125,28.625,29.4375,3935000
2000-02-29,30.25,29.0625,29.4375,29.5,3704400
2000-03-01,30.0,29.25,29.46875,29.625,4027400
2000-03-02,31.1875,29.6875,29.6875,30.125,4042600
2000-03-03,31.375,29.9375,30.5,30.875,2528000
2000-03-06,31.09375,29.96875,30.96875,30.375,2646000
2000-03-07,30.03125,28.78125,30.0,29.0,3787200
2000-03-08,29.09375,28.4375,28.4375,29.09375,5544800
2000-03-09,30.25,28.3125,29.125,30.03125,2846400
2000-03-10,31.0,30.21875,30.25,30.40625,2626600
2000-03-13,30.875,29.25,29.75,30.71875,3464400
2000-03-14,31.46875,30.1875,30.71875,30.46875,2396800
2000-03-15,32.3125,30.125,30.5,32.0,3036200
2000-03-16,35.625,32.5,32.5,35.5625,5595000
2000-03-17,35.625,34.53125,35.0,34.75,6235200
2000-03-20,34.625,33.0,34.5625,33.1875,5328200
2000-03-21,33.9375,32.65625,33.125,33.46875,4826400
2000-03-22,33.6875,32.46875,33.1875,33.34375,3030600
2000-03-23,34.375,32.65625,33.125,34.0,2861400
2000-03-24,35.0,34.125,34.125,34.5625,2496200
2000-03-27,34.6875,33.8125,34.4375,34.21875,2219200
2000-03-28,34.625,33.625,33.625,34.4375,5298000
2000-03-29,36.5,34.4375,34.5,36.3125,4486200
2000-03-30,38.625,36.125,36.34375,38.59375,7097800
2000-03-31,38.625,37.3125,38.625,37.375,5896800
2000-04-03,39.0625,36.5625,37.28125,38.5,5473800
2000-04-04,39.1875,36.625,38.5,37.65625,5482000
2000-04-05,37.8125,36.625,37.5,37.09375,2378600
2000-04-06,37.53125,35.65625,36.0,37.0,5371600
2000-04-07,37.5625,36.625,36.875,37.125,1882800
2000-04-10,38.03125,36.65625,37.125,37.59375,2132400
2000-04-11,37.375,36.0625,37.0,36.4375,4503800
2000-04-12,36.8125,35.84375,36.4375,36.15625,3559800
2000-04-13,36.03125,35.3125,36.03125,35.3125,2936000
2000-04-14,35.0,33.0,35.0,34.15625,2840400
2000-04-17,33.71875,31.625,33.40625,32.65625,3201400
2000-04-18,34.875,32.1875,32.1875,34.6875,5273600
2000-04-19,34.71875,33.875,34.6875,34.25,2810000
2000-04-20,34.65625,34.0625,34.21875,34.625,2299000
2000-04-24,35.5625,34.375,34.625,35.125,2126800
2000-04-25,35.9375,34.6875,35.03125,35.75,1850200
2000-04-26,36.125,35.375,35.6875,35.40625,2783200
2000-04-27,35.09375,33.84375,34.8125,34.0,2492800
2000-04-28,34.15625,33.125,34.125,33.28125,1839600
2000-05-01,34.71875,33.4375,33.5,34.125,3271400
2000-05-02,34.6875,33.59375,34.0,34.4375,3441600
2000-05-03,33.0,31.53125,32.75,31.875,5692200
2000-05-04,33.5,31.625,32.0625,33.0625,7076400
2000-05-05,35.1875,32.875,32.9375,34.0390625,4202800
2000-05-08,34.40625,33.25,33.875,34.125,3327000
2000-05-09,34.96875,34.03125,34.21875,34.71875,3977600
2000-05-10,35.375,34.71875,34.75,35.1875,3334800
2000-05-11,35.53125,34.3125,35.5,34.9375,1700000
2000-05-12,35.3125,34.28125,34.625,35.140625,1544400
2000-05-15,35.8125,34.6875,34.9375,35.5,1721400
2000-05-16,36.71875,35.625,35.75,35.71875,3474200
2000-05-17,35.46875,34.4375,35.4375,34.8125,3540800
2000-05-18,35.9375,34.6875,34.75,35.453125,4578200
2000-05-19,35.78125,34.96875,35.3125,35.09375,2721200
2000-05-22,35.375,34.875,35.1875,35.0625,2282800
2000-05-23,34.6875,33.5,34.6875,33.5,6188400
2000-05-24,32.8125,31.65625,32.4375,32.25,6969800
2000-05-25,32.78125,32.34375,32.75,32.46875,3100800
2000-05-26,32.625,32.03125,32.34375,32.21875,2756600
2000-05-30,31.875,30.875,31.875,30.90625,3962000
2000-05-31,31.46875,30.625,31.25,31.34375,7036000
2000-06-01,31.75,30.59375,31.0,31.5,4825200
2000-06-02,33.09375,32.0,32.0,33.0,5114400
2000-06-05,33.03125,32.09375,32.9375,32.15625,1846200
2000-06-06,31.5625,28.71875,31.5625,28.78125,9065800
2000-06-07,30.25,29.375,29.375,29.84375,6864000
2000-06-08,30.0625,29.1875,29.75,29.875,4176200
2000-06-09,29.90625,27.96875,29.875,28.125,6331400
2000-06-12,28.0625,27.03125,27.96875,27.25,5592200
2000-06-13,28.4375,27.1875,27.8125,28.3125,4729400
2000-06-14,29.5625,28.03125,28.5625,29.0,5061400
2000-06-15,30.03125,29.28125,29.5625,30.03125,4851400
2000-06-16,30.0,29.0625,30.0,29.25,6261600
2000-06-19,29.96875,27.5625,29.59375,28.59375,8124600
2000-06-20,28.28125,27.34375,28.25,27.5,9924800
2000-06-21,27.5,25.9375,27.5,26.21875,9308200
2000-06-22,27.125,26.125,26.34375,26.8125,7576000
2000-06-23,27.3125,26.65625,27.0625,27.03125,4170200
2000-06-26,28.03125,27.4375,27.5,27.71875,4131400
2000-06-27,28.6875,27.0,27.1875,27.90625,6332600
2000-06-28,28.875,27.25,27.90625,27.3359375,5179600
2000-06-29,28.25,27.0625,27.6875,27.75,6366400
