Date,High_TTE,Low_TTE,Open_TTE,Close_TTE,Volume_TTE
2000-01-03,34.0625,33.1875,34.0,33.25,773600
2000-01-04,33.0,32.25,32.875,32.28125,1086200
2000-01-05,32.53125,32.03125,32.28125,32.28125,1063800
2000-01-06,31.9375,31.21875,31.9375,31.5625,2465200
2000-01-07,31.5,30.5625,31.46875,31.46875,2720200
2000-01-10,31.5,31.0625,31.46875,31.125,720600
2000-01-11,31.4375,30.8125,30.9375,31.375,910400
2000-01-12,31.1875,30.65625,31.125,30.875,794000
2000-01-13,30.875,30.5625,30.78125,30.625,797800
2000-01-14,31.4375,30.8125,31.25,31.0625,553800
2000-01-18,31.875,30.78125,30.96875,31.5,1336000
2000-01-19,32.5,31.90625,32.5,32.0625,1028800
2000-01-20,33.03125,32.375,32.8125,32.75,1032800
2000-01-21,33.40625,33.0,33.28125,33.09375,1278000
2000-01-24,34.25,33.5,34.125,33.5,688000
2000-01-25,33.71875,32.96875,33.625,33.03125,1478200
2000-01-26,33.375,32.4375,33.25,32.5,276400
2000-01-27,32.8125,31.75,32.125,31.78125,1179000
2000-01-28,31.9375,30.65625,31.75,31.03125,1687600
2000-01-31,31.40625,30.875,31.15625,31.125,1755600
2000-02-01,32.0625,31.03125,31.125,32.03125,1184200
2000-02-02,32.8125,32.125,32.1875,32.3125,897600
2000-02-03,33.03125,32.3125,32.5,32.90625,1134200
2000-02-04,33.75,32.75,33.4375,32.78125,1131200
2000-02-07,33.8125,32.96875,33.78125,33.25,540000
2000-02-08,35.96875,34.84375,35.875,35.0,2139800
2000-02-09,36.46875,35.71875,36.25,35.75,1839600
2000-02-10,35.21875,34.53125,34.875,35.09375,1253200
2000-02-11,33.96875,32.9375,33.6875,33.3125,1223400
2000-02-14,33.34375,32.53125,32.625,33.21875,687600
2000-02-15,34.46875,33.5,33.78125,34.375,1745200
2000-02-16,35.25,34.84375,35.25,34.875,718200
2000-02-17,35.78125,35.03125,35.5,35.3125,608800
2000-02-18,34.96875,34.4375,34.75,34.5,569800
2000-02-22,34.75,33.90625,34.0,34.65625,1067200
2000-02-23,34.0625,33.25,33.46875,33.8125,489800
2000-02-24,33.75,33.125,33.5,33.75,1077200
2000-02-25,34.125,33.59375,33.625,33.875,1048000
2000-02-28,33.5625,32.9375,32.96875,33.5,2845000
2000-02-29,33.625,33.03125,33.5625,33.5625,1289600
2000-03-01,34.375,33.0,33.1875,34.28125,902600
2000-03-02,33.90625,32.84375,32.875,33.78125,1451600
2000-03-03,33.5,33.0,33.3125,33.3125,1013800
2000-03-06,33.25,32.9375,33.1875,33.125,616000
2000-03-07,34.9375,33.78125,33.875,34.84375,1341000
2000-03-08,37.5,35.25,35.5,36.4375,1632400
2000-03-09,36.46875,35.53125,35.5625,36.46875,669000
2000-03-10,35.84375,35.21875,35.3125,35.34375,781800
2000-03-13,35.0625,34.625,34.625,34.75,362600
2000-03-14,35.46875,34.71875,35.0,34.8125,630400
2000-03-15,35.53125,34.96875,35.09375,35.28125,458000
2000-03-16,36.84375,36.0,36.1875,36.84375,701400
2000-03-17,36.1875,34.5625,36.0625,34.75,731600
2000-03-20,35.21875,34.78125,35.0,34.9375,620000
2000-03-21,35.90625,35.25,35.25,35.875,748400
2000-03-22,35.375,34.625,35.375,34.90625,473200
2000-03-23,34.875,34.125,34.125,34.71875,614800
2000-03-24,34.46875,33.8125,33.9375,34.3125,1134400
2000-03-27,34.09375,33.5,33.65625,33.8125,364800
2000-03-28,34.59375,34.09375,34.3125,34.09375,361400
2000-03-29,36.3125,35.125,35.375,36.125,730000
2000-03-30,39.25,36.0,36.0,38.59375,2486400
2000-03-31,38.21875,36.59375,38.03125,36.8125,1207800
2000-04-03,37.9375,36.78125,37.46875,37.40625,543800
2000-04-04,40.25,38.0,38.4375,38.5,1777400
2000-04-05,38.84375,37.875,38.375,37.9375,518200
2000-04-06,38.84375,38.03125,38.03125,38.8125,357800
2000-04-07,38.25,37.0,37.40625,37.8125,473600
2000-04-10,37.0,36.25,37.0,36.375,1114000
2000-04-11,37.375,36.71875,36.75,37.3125,554400
2000-04-12,37.78125,37.28125,37.5,37.40625,713400
2000-04-13,37.9375,37.21875,37.40625,37.40625,595600
2000-04-14,37.59375,36.34375,37.5,36.34375,562800
2000-04-17,37.0,36.0625,36.40625,36.0625,659200
2000-04-18,37.0625,36.375,37.03125,36.78125,850800
2000-04-19,36.71875,35.78125,36.6875,35.8125,1162200
2000-04-20,36.0,35.34375,35.75,35.375,755000
2000-04-24,36.0625,35.375,35.375,35.71875,1101600
2000-04-25,37.5,36.96875,37.1875,37.5,932800
2000-04-26,37.875,37.15625,37.75,37.3125,584400
2000-04-27,37.4375,36.96875,37.1875,37.375,409000
2000-04-28,37.84375,37.375,37.5,37.8125,500000
2000-05-01,38.5625,37.8125,37.8125,38.53125,604800
2000-05-02,38.75,37.5,38.53125,37.65625,1491200
2000-05-03,36.5,35.59375,36.125,35.78125,741200
2000-05-04,36.9375,36.15625,36.25,36.875,465400
2000-05-05,36.90625,36.15625,36.53125,36.90625,540000
2000-05-08,37.25,36.25,36.25,37.1875,397800
2000-05-09,37.5625,36.65625,37.5625,37.1875,823600
2000-05-10,38.375,38.0,38.03125,38.09375,667800
2000-05-11,38.5,37.625,37.9375,38.1875,931200
2000-05-12,38.4375,37.9375,38.0625,38.40625,215600
2000-05-15,38.6875,38.0,38.53125,38.28125,423000
2000-05-16,38.1875,37.875,38.125,37.9375,307000
2000-05-17,37.6875,37.28125,37.5,37.4375,278400
2000-05-18,38.78125,38.0625,38.0625,38.5625,462200
2000-05-19,38.4375,37.6875,37.875,38.0625,513800
2000-05-22,38.40625,37.90625,38.25,38.1875,771800
2000-05-23,37.8125,37.28125,37.8125,37.625,674400
