Date,High_UPS,Low_UPS,Open_UPS,Close_UPS,Volume_UPS
2000-01-03,69.75,67.0,69.6875,67.0625,1273200
2000-01-04,67.0,64.625,67.0,64.9375,1385800
2000-01-05,68.0,64.75,64.875,68.0,1401700
2000-01-06,68.125,65.0,65.875,68.0,1959100
2000-01-07,67.625,65.75,67.625,66.375,996000
2000-01-10,67.4375,66.4375,66.875,67.0625,1191700
2000-01-11,67.4375,65.25,67.125,65.25,1020000
2000-01-12,67.5,65.4375,66.125,67.375,1097700
2000-01-13,68.5,67.375,67.625,68.3125,1071200
2000-01-14,69.25,68.3125,68.875,69.0625,1160000
2000-01-18,69.0,67.375,69.0,68.6875,980500
2000-01-19,68.5625,67.4375,68.5,68.25,1087300
2000-01-20,69.125,68.125,68.125,68.875,1972000
2000-01-21,68.875,66.6875,68.875,67.25,1270100
2000-01-24,68.25,66.0,67.875,66.0,831400
2000-01-25,66.625,64.75,65.625,65.875,1263000
2000-01-26,65.625,64.5,65.25,65.125,933400
2000-01-27,65.375,64.0,65.3125,65.125,1128400
2000-01-28,65.875,64.0,65.125,64.9375,1324700
2000-01-31,64.0,59.0,63.0,60.0,5745800
2000-02-01,61.5,58.3125,59.6875,61.375,4761000
2000-02-02,59.9375,57.1875,59.75,58.25,4740600
2000-02-03,59.5,57.375,59.25,57.625,1951900
2000-02-04,58.1875,56.0625,58.1875,56.375,1745200
2000-02-07,56.8125,55.5,56.625,55.75,1480200
2000-02-08,59.375,55.75,56.25,59.375,2055100
2000-02-09,59.625,58.0,59.5,58.0,1209400
2000-02-10,58.5,56.5,58.0625,57.0625,995700
2000-02-11,57.0,55.125,56.8125,55.125,1013900
2000-02-14,55.5,54.125,55.3125,54.375,2052800
2000-02-15,55.0,53.5625,54.4375,54.9375,1182900
2000-02-16,56.4375,54.5,55.1875,56.0,1530000
2000-02-17,58.25,56.125,56.5,58.0,1036000
2000-02-18,59.4375,55.25,58.0,56.9375,1529200
2000-02-22,56.9375,54.5625,56.9375,55.0,1226000
2000-02-23,56.25,54.0625,55.0625,54.9375,855700
2000-02-24,55.0,53.8125,55.0,54.0625,1049300
2000-02-25,55.75,54.0625,54.9375,55.5,961700
2000-02-28,55.625,54.5,55.5625,55.0,565600
2000-02-29,55.3125,54.5,55.0,54.625,750900
2000-03-01,54.6875,51.875,54.625,52.5,1471000
2000-03-02,53.625,52.0625,52.125,53.3125,1136600
2000-03-03,53.5,52.5625,53.3125,52.6875,1030700
2000-03-06,54.375,52.5,54.375,52.75,1431500
2000-03-07,52.8125,49.0,52.75,50.625,2319100
2000-03-08,54.5,51.3125,52.75,54.3125,2275300
2000-03-09,54.5,52.4375,54.5,53.0,1199700
2000-03-10,54.375,53.0625,53.75,53.4375,776700
2000-03-13,54.1875,52.125,52.25,52.75,671700
2000-03-14,53.5,52.3125,52.5,52.5625,1072500
2000-03-15,55.375,51.625,52.9375,54.9375,2274800
2000-03-16,57.625,55.0625,55.875,56.25,1635300
2000-03-17,57.0625,55.5,57.0625,55.5,622400
2000-03-20,56.875,55.25,56.5,56.5625,843400
2000-03-21,58.375,55.25,56.3125,58.1875,889000
2000-03-22,59.0625,56.8125,58.1875,56.875,763100
2000-03-23,59.9375,56.0,56.8125,59.625,1472900
2000-03-24,64.125,59.8125,60.0,63.75,2148200
2000-03-27,64.0,62.625,63.0,63.1875,960400
2000-03-28,63.0,60.0625,62.5,60.25,639300
2000-03-29,61.25,58.3125,61.25,59.0625,869700
2000-03-30,60.125,58.3125,58.8125,58.5625,682400
2000-03-31,63.0,58.1875,59.5625,62.984375,727100
2000-04-03,62.0,59.0,62.0,59.375,830000
2000-04-04,59.75,55.375,59.375,57.8125,1309000
2000-04-05,58.25,56.8125,56.8125,58.1875,478000
2000-04-06,60.1875,58.3125,58.3125,59.875,800700
2000-04-07,61.4375,59.125,59.875,60.875,778200
2000-04-10,64.0,61.0,61.125,64.0,1275600
2000-04-11,63.3125,62.125,63.3125,63.1875,616700
2000-04-12,62.875,61.25,62.8125,61.5,608700
2000-04-13,61.5,59.4375,61.5,60.25,566300
2000-04-14,58.75,55.0,58.5,55.0,859800
2000-04-17,59.5,55.0,57.0,58.0,1152900
2000-04-18,61.1875,58.0,58.0,60.6875,714900
2000-04-19,60.5,58.75,60.1875,59.0625,510200
2000-04-20,63.875,60.625,61.0,63.5,1730600
2000-04-24,63.25,62.0,63.0,62.625,1071000
2000-04-25,66.4375,63.8125,64.3125,66.4375,1644600
2000-04-26,66.9375,64.9375,66.5,66.1875,1239300
2000-04-27,66.5625,65.1875,65.5,65.9375,689400
2000-04-28,66.75,65.5,66.6875,66.5,1011200
2000-05-01,66.9375,64.25,66.625,64.25,904600
2000-05-02,64.4375,63.25,64.0625,63.8125,1565300
2000-05-03,64.0625,62.3125,64.0625,62.375,566400
2000-05-04,62.125,60.0,62.125,60.9375,669000
2000-05-05,60.875,59.0,59.75,59.875,834300
2000-05-08,61.75,58.3125,59.0,61.0625,1726400
2000-05-09,63.375,60.8125,61.5,62.5,859200
2000-05-10,62.375,60.625,62.0,60.8125,880400
2000-05-11,61.6875,60.875,60.875,61.25,934200
2000-05-12,62.625,61.375,61.5,61.5625,603600
2000-05-15,64.0,60.6875,61.5625,63.3125,1110200
2000-05-16,64.0,61.875,64.0,62.0,526500
2000-05-17,62.875,61.1875,61.75,62.3125,466300
2000-05-18,62.25,61.375,62.25,62.125,626500
2000-05-19,62.1875,60.5,61.875,61.875,754800
2000-05-22,61.875,59.875,61.625,61.4375,701700
2000-05-23,62.25,61.125,61.1875,61.875,669500
2000-05-24,61.375,59.125,61.0,59.625,592700
2000-05-25,60.25,58.0,59.4375,58.875,795300
2000-05-26,59.3125,56.75,59.0,57.1875,1003100
2000-05-30,59.3125,57.0,57.0,59.0625,602100
2000-05-31,60.9375,59.625,59.9375,59.875,794000
2000-06-01,62.0625,60.625,60.8125,61.5,1261000
2000-06-02,62.4375,60.9375,62.1875,61.0,745100
2000-06-05,62.5,60.8125,60.875,61.5625,812100
2000-06-06,61.875,60.75,61.5625,61.75,585000
2000-06-07,62.1875,61.4375,61.75,62.0625,729800
2000-06-08,62.125,60.25,62.0,60.25,606300
2000-06-09,60.25,59.3125,60.25,59.3125,505500
2000-06-12,59.875,57.5,59.0,59.34375,1105100
2000-06-13,62.0625,59.25,59.5,61.3125,958400
2000-06-14,61.875,60.875,61.1875,61.25,898600
2000-06-15,62.5,61.4375,61.5,62.375,1076100
2000-06-16,62.75,61.375,62.4375,61.75,721300
2000-06-19,62.1875,60.25,61.75,62.125,1019300
2000-06-20,62.0,60.875,61.875,61.4375,630200
2000-06-21,61.8125,60.5625,60.9375,61.75,627200
2000-06-22,62.9375,61.25,61.5625,62.9375,1331900
2000-06-23,62.8125,61.3125,62.8125,61.4375,672500
2000-06-26,61.0,60.3125,60.75,60.75,596300
