Date,High_USB,Low_USB,Open_USB,Close_USB,Volume_USB
2000-01-03,21.0,20.0625,20.9375,20.5625,2354200
2000-01-04,20.375,19.1875,20.375,19.8125,3687700
2000-01-05,20.0625,19.3125,19.8125,19.375,2704200
2000-01-06,20.875,19.375,19.375,20.875,4185300
2000-01-07,22.1875,20.9375,20.9375,21.6875,4486700
2000-01-10,22.3125,20.875,22.1875,21.5625,2594200
2000-01-11,21.5,20.375,21.5,20.75,2032400
2000-01-12,21.9375,20.6875,20.875,21.8125,3381300
2000-01-13,23.25,22.3125,22.875,23.25,2848000
2000-01-14,24.875,22.875,24.25,23.25,3074400
2000-01-18,24.0,23.1875,24.0,23.4375,2850600
2000-01-19,23.625,22.75,23.3125,23.0,2264600
2000-01-20,23.1875,21.75,22.9375,22.1875,1660200
2000-01-21,22.4375,21.5,22.4375,21.6875,2459600
2000-01-24,22.0,21.25,22.0,21.4375,2060400
2000-01-25,22.3125,21.0,21.1875,21.75,1984600
2000-01-26,23.625,21.5,21.5,22.8125,3471500
2000-01-27,23.875,23.0,23.0625,23.125,2206000
2000-01-28,23.125,22.0,22.75,22.25,1906400
2000-01-31,23.9375,21.9375,22.0625,23.875,2254200
2000-02-01,24.75,23.25,23.75,24.3125,2521700
2000-02-02,24.75,24.0,24.1875,24.625,2146600
2000-02-03,24.5625,23.3125,24.5,23.9375,1991300
2000-02-04,24.0,22.3125,24.0,22.3125,2125900
2000-02-07,22.875,22.0,22.3125,22.75,1276700
2000-02-08,23.75,23.0625,23.375,23.625,2155300
2000-02-09,23.8125,22.8125,23.625,22.9375,1884100
2000-02-10,23.4375,22.3125,22.75,22.625,1237700
2000-02-11,23.0625,22.125,22.625,22.1875,1101400
2000-02-14,22.3125,21.0,22.0625,21.75,2542500
2000-02-15,22.1875,21.0625,21.0625,21.9375,2608600
2000-02-16,21.875,21.0,21.75,21.0625,2217100
2000-02-17,21.4375,19.6875,21.25,19.875,3921000
2000-02-18,20.0,19.125,19.75,19.1875,4014900
2000-02-22,19.8125,19.25,19.25,19.5625,3748000
2000-02-23,19.4375,18.875,19.125,19.0,2613800
2000-02-24,19.375,18.0,19.3125,18.5,3399400
2000-02-25,19.0625,17.75,18.25,18.0,3465100
2000-02-28,18.4375,18.0,18.1875,18.375,5374400
2000-02-29,18.3125,17.5,18.0,17.8125,2756800
2000-03-01,18.5,17.5,17.8125,18.3125,2176400
2000-03-02,18.75,18.125,18.5,18.6875,2319100
2000-03-03,19.4375,18.375,19.4375,18.8125,2347800
2000-03-06,18.6875,18.1875,18.625,18.3125,2310100
2000-03-07,18.8125,17.125,18.75,17.625,2986200
2000-03-08,17.375,16.6875,17.375,17.0,3204400
2000-03-09,17.375,16.375,16.375,17.1875,2818400
2000-03-10,17.6875,17.0625,17.1875,17.5625,1758300
2000-03-13,17.8125,16.9375,16.9375,17.6875,2653900
2000-03-14,18.375,17.5,17.75,17.875,3496700
2000-03-15,19.875,17.75,17.8125,19.875,3738600
2000-03-16,22.875,20.3125,20.5,22.875,5996000
2000-03-17,23.0,22.25,22.8125,22.4375,4704600
2000-03-20,22.625,21.75,22.5,22.125,3228300
2000-03-21,23.6875,22.0625,22.4375,23.625,3294900
2000-03-22,23.375,22.6875,23.25,23.3125,2343700
2000-03-23,23.625,22.375,23.0625,23.5,3007200
2000-03-24,23.875,23.0,23.375,23.6875,2682900
2000-03-27,23.8125,22.4375,23.5,23.0,2072300
2000-03-28,23.6875,22.625,22.625,23.1875,1517200
2000-03-29,23.625,22.75,23.4375,23.1875,1072100
2000-03-30,23.1875,22.4375,23.1875,22.5625,1294000
2000-03-31,23.25,22.375,22.75,22.9375,2323900
2000-04-03,24.625,23.3125,23.375,24.5,3363400
2000-04-04,25.0,22.5,24.5,24.0625,3413000
2000-04-05,24.4375,23.625,24.125,23.625,2106700
2000-04-06,24.125,23.1875,24.0,23.625,2160200
2000-04-07,23.6875,23.0,23.6875,23.4375,2020200
2000-04-10,24.3125,23.0625,23.0625,23.5,1934900
2000-04-11,25.1875,23.5,23.875,25.125,6194600
2000-04-12,27.3125,25.0,25.0,26.375,7165500
2000-04-13,25.9375,25.0,25.9375,25.125,2689000
2000-04-14,25.3125,23.6875,24.875,25.0625,3910900
2000-04-17,24.875,23.375,23.5,24.5625,2433100
2000-04-18,25.9375,24.25,24.25,25.625,2537000
2000-04-19,26.25,25.1875,25.9375,26.0,2596800
2000-04-20,26.5,25.8125,26.0625,26.5,2375500
2000-04-24,28.0,26.0,26.1875,27.75,4777900
2000-04-25,27.8125,26.75,27.4375,27.0,3077300
2000-04-26,27.0,26.25,27.0,26.625,2244300
2000-04-27,26.0625,25.0,25.75,25.5,3500200
2000-04-28,25.625,24.5,25.3125,24.875,1910100
2000-05-01,26.375,24.875,25.625,25.5,1771900
2000-05-02,25.9375,25.375,25.5625,25.8125,1046900
2000-05-03,25.8125,24.6875,25.4375,24.875,1820300
2000-05-04,24.9375,23.875,24.75,23.875,1707600
2000-05-05,24.4375,23.6875,23.6875,24.0,957000
2000-05-08,25.25,23.9375,24.0,24.9375,1537900
2000-05-09,25.4375,24.3125,24.9375,24.6875,1515800
2000-05-10,25.0,24.0625,24.9375,24.25,2026500
2000-05-11,25.5625,24.4375,24.5,24.8125,1688600
2000-05-12,25.625,24.625,24.625,25.3125,1392200
2000-05-15,25.75,24.9375,25.1875,25.25,1810700
2000-05-16,25.5,24.1875,25.5,24.4375,2394800
2000-05-17,24.1875,23.0,24.1875,23.25,4383900
2000-05-18,23.9375,22.5,23.375,23.0625,3168900
2000-05-19,24.25,22.875,22.875,23.75,1518800
2000-05-22,24.875,23.875,23.875,24.5625,2096300
2000-05-23,25.3125,24.4375,24.4375,25.0,2856400
2000-05-24,26.1875,25.0625,25.0625,25.8125,4658200
2000-05-25,26.0625,25.0625,25.4375,25.3125,2686100
2000-05-26,25.6875,25.125,25.375,25.5,1246400
2000-05-30,25.9375,25.25,25.5,25.8125,1741600
2000-05-31,25.875,25.375,25.875,25.5625,1784600
2000-06-01,26.875,25.4375,25.4375,26.6875,3306900
2000-06-02,27.5,26.75,27.0,27.4375,2934800
2000-06-05,26.5,25.625,26.25,26.0625,1968200
2000-06-06,25.9375,25.0625,25.75,25.8125,1749600
2000-06-07,26.4375,25.5625,25.5625,25.75,1622400
2000-06-08,25.75,24.75,25.6875,24.9375,1293600
2000-06-09,25.375,24.5,25.375,24.5625,835800
2000-06-12,25.1875,24.6875,24.6875,25.0,976000
2000-06-13,25.4375,24.25,24.25,25.125,984000
2000-06-14,25.0,24.6875,25.0,24.875,1229700
2000-06-15,24.8125,23.125,24.625,23.4375,2881300
2000-06-16,22.9375,21.75,22.6875,21.9375,3856700
2000-06-19,22.9375,21.75,22.0,22.5625,2520600
2000-06-20,22.75,22.125,22.5625,22.3125,1607700
2000-06-21,22.1875,21.6875,21.9375,22.0,1524100
2000-06-22,22.3125,21.625,21.9375,22.1875,2040800
2000-06-23,22.6875,21.75,22.5,21.75,1651500
2000-06-26,22.1875,21.625,22.0,22.125,2263500
2000-06-27,23.375,22.3125,22.375,22.4375,3257600
2000-06-28,23.5,22.25,22.625,22.390625,2349900
2000-06-29,22.4375,21.5625,22.125,21.625,1905000
2000-06-30,21.875,20.875,21.5625,21.0625,2937900
2000-07-03,21.875,20.875,20.875,21.5,1279000
2000-07-05,22.3125,21.3125,21.625,21.5,1768700
2000-07-06,22.625,21.125,21.375,22.4375,1615300
2000-07-07,23.4375,22.0,22.0,22.875,2394400
2000-07-10,23.25,22.375,22.875,22.5,908300
2000-07-11,22.875,22.125,22.125,22.5,1510300
2000-07-12,22.9375,22.0625,22.5,22.1875,1502900
2000-07-13,22.1875,21.0625,22.0625,21.5625,1463400
2000-07-14,22.375,21.375,21.625,21.9375,2545800
2000-07-17,21.875,20.875,21.5625,21.4375,2846400
2000-07-18,21.1875,20.5625,21.1875,20.875,2254600
2000-07-19,21.4375,20.8125,21.125,21.0625,1694700
2000-07-20,21.875,20.9375,20.9375,21.375,2099800
2000-07-21,21.5,20.4375,21.0625,20.9375,2191600
2000-07-24,21.1875,20.625,20.8125,21.125,1865400
2000-07-25,21.5,20.6875,21.5,21.5,982300
2000-07-26,21.3125,20.25,21.125,20.5625,2616500
2000-07-27,20.8125,20.3125,20.6875,20.3125,1888300
2000-07-28,20.5,19.375,20.5,19.75,1653800
2000-07-31,20.0625,19.25,19.25,19.75,3015300
2000-08-01,21.125,20.0,20.5,21.0625,2280700
2000-08-02,21.0625,20.75,20.875,20.875,2022300
2000-08-03,22.0625,20.8125,21.0,22.0,2419400
2000-08-04,23.1875,22.125,22.1875,23.125,2311600
2000-08-07,23.375,22.0,23.0,23.375,3059700
2000-08-08,24.125,23.5,23.9375,24.0625,4354900
2000-08-09,24.625,23.6875,24.625,24.3125,3337300
2000-08-10,24.5625,23.8125,24.375,23.8125,1494000
2000-08-11,24.25,23.6875,23.875,24.25,1326400
2000-08-14,25.0,24.0,24.125,25.0,2044100
2000-08-15,25.0,24.1875,24.875,24.625,1644000
2000-08-16,24.8125,23.75,24.625,23.75,1412900
2000-08-17,24.0625,23.5625,24.0,23.6875,1930700
2000-08-18,23.9375,23.5,23.9375,23.5625,2212400
2000-08-21,24.1875,23.5625,23.8125,24.0625,883300
2000-08-22,24.8125,23.9375,24.0625,24.5625,1933800
2000-08-23,24.75,24.0,24.625,24.25,1382700
2000-08-24,24.5,24.1875,24.4375,24.25,1019100
2000-08-25,24.625,24.0625,24.625,24.0625,886800
2000-08-28,24.4375,23.8125,24.125,24.0625,918200
2000-08-29,24.375,23.1875,24.375,23.4375,1004300
2000-08-30,23.625,23.0625,23.4375,23.3125,1437400
2000-08-31,24.25,23.1875,23.1875,23.890625,1369600
2000-09-01,23.9375,23.375,23.6875,23.75,894500
2000-09-05,23.875,23.3125,23.5,23.5,932200
2000-09-06,24.4375,23.8125,23.875,24.375,1399100
2000-09-07,24.9375,24.25,24.3125,24.5625,2032500
2000-09-08,24.8125,24.0625,24.5625,24.1875,1795900
2000-09-11,24.4375,23.8125,24.0625,24.0625,2508500
2000-09-12,24.1875,23.6875,24.0625,23.9375,1735300
2000-09-13,25.0,23.875,24.25,24.625,4105300
2000-09-14,24.9375,24.5,24.5625,24.6875,1884900
2000-09-15,24.8125,23.1875,24.5625,23.1875,2492900
2000-09-18,23.9375,22.5,23.625,22.75,2600800
2000-09-19,23.125,22.5625,22.75,22.8125,3592900
2000-09-20,22.6875,21.5,22.5625,21.875,2470000
2000-09-21,22.3125,21.3125,22.3125,21.5625,1340600
2000-09-22,22.4375,21.5,21.8125,22.125,3071300
2000-09-25,22.625,22.0,22.1875,22.0625,1251100
2000-09-26,22.4375,21.8125,22.25,22.125,1227200
2000-09-27,22.4375,21.625,21.6875,22.4375,1880500
2000-09-28,22.9375,22.25,22.25,22.75,2273700
2000-09-29,22.875,22.1875,22.625,22.375,1115600
2000-10-02,22.6875,21.4375,22.5625,22.5625,4020400
2000-10-03,22.5,21.125,22.4375,22.25,4050700
2000-10-04,20.1875,18.5,19.0,20.0,17515100
2000-10-05,20.375,18.9375,20.375,19.25,12873400
2000-10-06,19.4375,18.5,19.25,19.0,5660300
2000-10-09,18.5625,17.6875,18.25,17.9375,6556700
2000-10-10,19.125,17.0625,19.125,17.0625,8298700
2000-10-11,17.0,15.75,16.625,16.6875,8552300
2000-10-12,16.6875,15.375,16.375,15.625,6047800
2000-10-13,17.25,15.8125,16.25,16.9375,12397500
2000-10-16,18.0625,16.8125,17.1875,17.9375,4193600
2000-10-17,18.1875,17.0,18.1875,17.0625,4391400
2000-10-18,17.5625,16.125,17.0625,17.0,2973600
2000-10-19,17.6875,17.0625,17.375,17.5,2505800
2000-10-20,17.75,17.3125,17.5625,17.375,3120800
2000-10-23,17.4375,16.75,17.4375,17.3125,2341000
2000-10-24,18.1875,17.25,17.25,18.1875,2769900
2000-10-25,18.5,17.75,18.4375,17.75,3275600
2000-10-26,17.9375,17.1875,17.5625,17.5,2851800
2000-10-27,17.875,17.25,17.25,17.8125,2610200
2000-10-30,19.4375,17.875,17.875,19.1875,3768200
2000-10-31,19.75,19.0,19.0,19.6875,4163400
2000-11-01,19.75,19.0,19.0,19.75,2757900
2000-11-02,19.9375,19.5625,19.875,19.6875,1995600
2000-11-03,19.8125,19.5,19.5,19.75,2364700
2000-11-06,19.9375,19.5625,19.5625,19.875,2321100
2000-11-07,19.5625,18.8125,19.5,19.375,3538400
2000-11-08,19.375,18.75,19.375,19.25,1134000
2000-11-09,19.4375,18.8125,18.8125,19.3125,1452600
2000-11-10,19.3125,18.9375,18.9375,19.1875,1503200
2000-11-13,19.125,18.5625,18.75,19.0,1941700
2000-11-14,19.3125,18.875,18.875,18.875,1582500
2000-11-15,18.6875,17.875,18.625,18.5,1418100
2000-11-16,18.4375,17.75,18.4375,17.875,1933200
2000-11-17,18.1875,17.375,17.6875,17.875,2180500
2000-11-20,17.8125,17.0,17.3125,17.8125,2050200
2000-11-21,18.4375,17.5625,17.625,18.3125,2116800
2000-11-22,18.1875,17.9375,18.0625,18.125,1732900
2000-11-24,18.125,17.6875,17.9375,17.875,443400
2000-11-27,17.875,17.4375,17.875,17.75,1941100
2000-11-28,18.8125,17.625,17.625,18.6875,2805700
2000-11-29,19.375,18.5,18.5,19.375,2379500
2000-11-30,19.625,18.9375,19.3125,19.375,3408000
2000-12-01,20.0625,19.4375,19.4375,19.4375,4139800
2000-12-04,19.5,19.125,19.4375,19.25,3995100
2000-12-05,20.4375,19.1875,19.4375,20.375,6897800
2000-12-06,21.5,19.625,20.875,20.125,6147400
2000-12-07,20.9375,20.0,20.1875,20.875,2814900
2000-12-08,21.5625,21.125,21.125,21.25,2743600
2000-12-11,21.9375,21.0,21.0,21.75,3016500
2000-12-12,21.75,21.125,21.6875,21.4375,1100300
2000-12-13,21.6875,21.125,21.4375,21.25,2127000
2000-12-14,21.375,20.625,20.75,21.25,2397500
2000-12-15,21.25,20.625,20.625,21.25,4472800
2000-12-18,23.3125,21.4375,21.6875,23.3125,6830400
2000-12-19,23.5625,22.625,22.9375,22.75,7336200
2000-12-20,23.4375,21.875,22.75,23.1875,4017900
2000-12-21,24.0,22.75,22.75,24.0,4029500
2000-12-22,24.0625,23.4375,24.0,23.75,2650200
2000-12-26,23.9375,23.5625,23.75,23.875,1485900
2000-12-27,24.3125,23.6875,23.6875,24.25,2915400
2000-12-28,24.3125,23.875,24.0,23.9375,2771800
2000-12-29,23.9375,23.25,23.75,23.25,2253300
2001-01-02,23.4375,22.3125,23.4375,23.0625,2331000
2001-01-03,24.6875,22.8125,23.0,24.6875,5205600
2001-01-04,26.0625,24.5,24.5,25.625,10401200
2001-01-05,25.1875,24.125,25.1875,24.5625,4846100
2001-01-08,24.625,23.5625,24.5,24.0625,3507500
2001-01-09,24.375,23.75,23.9375,24.0625,2565800
2001-01-10,24.125,23.5625,23.6875,24.125,3496700
2001-01-11,24.5,23.625,24.4375,24.0625,3402500
2001-01-12,24.0625,22.75,24.0625,23.0625,2503700
2001-01-16,24.0625,22.1875,23.125,22.9375,6157100
2001-01-17,22.9375,22.0625,22.9375,22.1875,6480900
2001-01-18,22.625,21.5625,22.625,21.875,3229900
2001-01-19,21.875,20.75,21.875,21.1875,4870600
2001-01-22,22.125,21.0625,21.4375,22.125,3533800
2001-01-23,23.0625,22.25,22.4375,23.0,3299600
2001-01-24,23.1875,22.3125,22.625,23.0,2450600
2001-01-25,23.375,22.6875,23.1875,23.0625,2164900
2001-01-26,23.625,23.0,23.25,23.625,2636400
2001-01-29,23.989999771118164,23.350000381469727,23.6200008392334,23.65999984741211,3892600
2001-01-30,23.780000686645508,22.81999969482422,23.40999984741211,23.780000686645508,3382600
2001-01-31,23.739999771118164,22.979999542236328,23.68000030517578,23.600000381469727,3836100
2001-02-01,23.600000381469727,23.110000610351562,23.350000381469727,23.270000457763672,2587600
2001-02-02,23.690000534057617,23.15999984741211,23.299999237060547,23.559999465942383,2777100
2001-02-05,24.010000228881836,23.209999084472656,23.399999618530273,24.010000228881836,2902800
2001-02-06,24.010000228881836,23.399999618530273,24.010000228881836,23.739999771118164,2918700
2001-02-07,24.0,23.600000381469727,23.639999389648438,23.760000228881836,2816500
2001-02-08,23.850000381469727,23.610000610351562,23.649999618530273,23.799999237060547,2300900
2001-02-09,24.0,23.600000381469727,23.719999313354492,23.860000610351562,2221500
2001-02-12,24.3799991607666,23.739999771118164,23.8700008392334,24.25,3117100
2001-02-13,24.25,24.030000686645508,24.25,24.079999923706055,2237200
2001-02-14,24.06999969482422,23.299999237060547,24.020000457763672,23.329999923706055,2282200
2001-02-15,23.5,23.010000228881836,23.350000381469727,23.299999237060547,1634400
2001-02-16,23.690000534057617,23.170000076293945,23.489999771118164,23.399999618530273,2942200
2001-02-20,23.5,22.889999389648438,23.420000076293945,23.010000228881836,1870200
2001-02-21,23.229999542236328,22.690000534057617,23.010000228881836,22.719999313354492,2610600
2001-02-22,22.719999313354492,21.760000228881836,22.719999313354492,22.479999542236328,2983200
2001-02-23,23.399999618530273,21.93000030517578,22.020000457763672,22.700000762939453,4052000
2001-02-26,23.579999923706055,22.299999237060547,22.799999237060547,23.34000015258789,7162400
2001-02-27,23.690000534057617,22.90999984741211,23.34000015258789,23.450000762939453,3926200
2001-02-28,23.639999389648438,22.799999237060547,23.59000015258789,23.200000762939453,4068600
2001-03-01,24.0,22.6200008392334,24.0,23.25,5367700
2001-03-02,23.8700008392334,23.020000457763672,23.200000762939453,23.780000686645508,4365000
2001-03-05,23.809999465942383,22.8799991607666,23.780000686645508,23.0,2855300
2001-03-06,23.290000915527344,22.399999618530273,23.0,22.549999237060547,3830900
2001-03-07,23.0,22.639999389648438,22.850000381469727,22.899999618530273,3818200
2001-03-08,23.139999389648438,22.649999618530273,22.950000762939453,22.8700008392334,3847100
2001-03-09,23.299999237060547,22.020000457763672,22.75,23.020000457763672,3710600
2001-03-12,22.75,21.3700008392334,22.600000381469727,21.600000381469727,4234900
2001-03-13,21.920000076293945,21.059999465942383,21.700000762939453,21.799999237060547,3528900
2001-03-14,21.25,19.780000686645508,21.0,20.700000762939453,6784100
2001-03-15,21.450000762939453,20.959999084472656,21.440000534057617,21.43000030517578,4104400
2001-03-16,21.5,20.709999084472656,21.0,20.950000762939453,8129400
2001-03-19,22.200000762939453,20.81999969482422,21.09000015258789,22.0,5798300
2001-03-20,22.040000915527344,20.969999313354492,21.799999237060547,20.969999313354492,3952600
2001-03-21,20.8700008392334,19.899999618530273,20.200000762939453,19.950000762939453,3821600
2001-03-22,20.0,18.489999771118164,19.700000762939453,19.25,5766100
2001-03-23,20.739999771118164,19.3700008392334,19.75,20.739999771118164,4909900
2001-03-26,22.0,21.149999618530273,22.0,21.690000534057617,4770400
2001-03-27,23.549999237060547,21.709999084472656,21.950000762939453,23.389999389648438,9555000
2001-03-28,23.149999618530273,22.770000457763672,23.049999237060547,23.059999465942383,5462100
2001-03-29,22.950000762939453,22.149999618530273,22.75,22.530000686645508,5328900
2001-03-30,23.200000762939453,22.5,22.530000686645508,23.200000762939453,4150200
2001-04-02,23.5,22.93000030517578,23.200000762939453,23.389999389648438,4646600
2001-04-03,23.389999389648438,22.6200008392334,23.049999237060547,22.93000030517578,4100300
2001-04-04,23.1299991607666,22.309999465942383,23.100000381469727,22.75,5061600
2001-04-05,23.440000534057617,22.84000015258789,23.149999618530273,23.25,6445000
2001-04-06,23.389999389648438,22.75,23.299999237060547,23.040000915527344,4383200
2001-04-09,23.209999084472656,22.700000762939453,22.799999237060547,23.149999618530273,2962800
2001-04-10,23.5,23.020000457763672,23.299999237060547,23.34000015258789,5523100
2001-04-11,23.5,22.5,23.09000015258789,22.989999771118164,4753300
2001-04-12,23.59000015258789,22.84000015258789,22.899999618530273,23.489999771118164,3529500
2001-04-16,23.600000381469727,22.780000686645508,23.350000381469727,23.3799991607666,2731100
2001-04-17,23.350000381469727,21.8799991607666,23.049999237060547,22.3700008392334,5920700
2001-04-18,23.350000381469727,21.549999237060547,22.56999969482422,22.5,9639900
2001-04-19,22.850000381469727,21.920000076293945,22.850000381469727,22.200000762939453,5390500
2001-04-20,22.350000381469727,21.5,22.200000762939453,21.600000381469727,5231600
2001-04-23,21.850000381469727,21.15999984741211,21.75,21.260000228881836,3063800
2001-04-24,21.65999984741211,21.200000762939453,21.399999618530273,21.5,2650400
2001-04-25,21.469999313354492,21.040000915527344,21.360000610351562,21.389999389648438,2337300
2001-04-26,21.489999771118164,20.809999465942383,21.299999237060547,20.860000610351562,4417300
2001-04-27,21.479999542236328,21.020000457763672,21.110000610351562,21.479999542236328,3464200
2001-04-30,21.75,21.0,21.479999542236328,21.18000030517578,3791500
2001-05-01,21.399999618530273,20.709999084472656,21.399999618530273,20.940000534057617,5817000
2001-05-02,21.399999618530273,20.899999618530273,20.940000534057617,21.31999969482422,5027600
2001-05-03,22.100000381469727,20.8700008392334,21.25,22.100000381469727,4456600
2001-05-04,22.920000076293945,21.350000381469727,21.350000381469727,22.68000030517578,6331900
2001-05-07,22.360000610351562,21.0,22.049999237060547,21.239999771118164,10202200
2001-05-08,21.34000015258789,21.010000228881836,21.239999771118164,21.200000762939453,5576800
2001-05-09,21.350000381469727,20.899999618530273,21.149999618530273,21.350000381469727,4378100
2001-05-10,21.600000381469727,20.969999313354492,21.5,21.06999969482422,3819900
2001-05-11,21.399999618530273,20.889999389648438,21.100000381469727,20.950000762939453,2925200
2001-05-14,21.239999771118164,20.850000381469727,21.049999237060547,21.149999618530273,2677400
2001-05-15,21.5,21.030000686645508,21.350000381469727,21.5,3183300
2001-05-16,21.940000534057617,21.219999313354492,21.399999618530273,21.940000534057617,4460200
2001-05-17,22.049999237060547,21.459999084472656,21.75,21.65999984741211,4118200
2001-05-18,22.15999984741211,21.639999389648438,21.850000381469727,21.84000015258789,4024100
2001-05-21,21.969999313354492,21.5,21.739999771118164,21.899999618530273,3192500
2001-05-22,22.479999542236328,21.68000030517578,21.799999237060547,22.239999771118164,5546300
2001-05-23,22.34000015258789,22.030000686645508,22.049999237060547,22.329999923706055,4482900
2001-05-24,22.770000457763672,22.260000228881836,22.3700008392334,22.610000610351562,4772300
2001-05-25,22.649999618530273,22.200000762939453,22.610000610351562,22.229999542236328,3587900
2001-05-29,22.229999542236328,21.959999084472656,22.15999984741211,22.1200008392334,3445600
2001-05-30,22.239999771118164,21.950000762939453,22.1200008392334,22.100000381469727,3578300
2001-05-31,22.34000015258789,22.0,22.100000381469727,22.299999237060547,3344300
2001-06-01,22.56999969482422,22.030000686645508,22.299999237060547,22.5,5175200
2001-06-04,22.75,22.260000228881836,22.399999618530273,22.75,4033000
2001-06-05,22.950000762939453,22.700000762939453,22.700000762939453,22.84000015258789,3922700
2001-06-06,23.149999618530273,22.510000228881836,22.700000762939453,23.100000381469727,4952800
2001-06-07,23.049999237060547,22.760000228881836,23.049999237060547,23.0,4440100
2001-06-08,23.0,22.59000015258789,22.950000762939453,22.739999771118164,2616200
2001-06-11,22.889999389648438,22.510000228881836,22.510000228881836,22.739999771118164,2939400
2001-06-12,22.739999771118164,22.360000610351562,22.65999984741211,22.610000610351562,2782700
2001-06-13,22.719999313354492,22.049999237060547,22.40999984741211,22.5,3036200
2001-06-14,22.200000762939453,21.649999618530273,22.049999237060547,21.649999618530273,3396700
2001-06-15,21.700000762939453,21.0,21.0,21.5,8270300
2001-06-18,22.06999969482422,21.399999618530273,21.5,21.799999237060547,2510000
2001-06-19,22.3700008392334,22.0,22.0,22.299999237060547,3719500
2001-06-20,22.809999465942383,22.299999237060547,22.399999618530273,22.5,4592500
2001-06-21,23.25,22.399999618530273,22.399999618530273,23.25,5258700
2001-06-22,23.600000381469727,22.940000534057617,23.469999313354492,23.0,7532400
2001-06-25,23.3799991607666,22.799999237060547,23.3799991607666,22.799999237060547,4015200
2001-06-26,23.18000030517578,22.450000762939453,22.600000381469727,22.450000762939453,5488400
2001-06-27,23.020000457763672,22.280000686645508,22.5,22.280000686645508,3807800
2001-06-28,23.0,22.670000076293945,22.75,22.75,5743300
2001-06-29,23.0,22.469999313354492,22.75,22.790000915527344,5130800
2001-07-02,23.3700008392334,22.799999237060547,22.950000762939453,23.309999465942383,4507700
2001-07-03,23.399999618530273,22.899999618530273,23.399999618530273,23.149999618530273,1505300
2001-07-05,23.3799991607666,22.899999618530273,23.100000381469727,23.299999237060547,2674100
2001-07-06,23.299999237060547,22.860000610351562,23.299999237060547,22.950000762939453,2997300
2001-07-09,23.510000228881836,23.0,23.020000457763672,23.5,3709300
2001-07-10,23.479999542236328,22.959999084472656,23.450000762939453,22.989999771118164,3313400
2001-07-11,23.450000762939453,22.75,22.989999771118164,23.030000686645508,3423300
2001-07-12,23.479999542236328,23.1299991607666,23.299999237060547,23.479999542236328,2816200
2001-07-13,23.979999542236328,23.420000076293945,23.479999542236328,23.899999618530273,4626700
2001-07-16,23.989999771118164,23.440000534057617,23.940000534057617,23.559999465942383,2416300
2001-07-17,24.0,23.420000076293945,23.850000381469727,23.950000762939453,6684600
2001-07-18,24.09000015258789,23.5,23.75,23.649999618530273,5097600
2001-07-19,23.739999771118164,22.649999618530273,23.700000762939453,22.799999237060547,5571400
2001-07-20,22.979999542236328,22.350000381469727,22.350000381469727,22.450000762939453,4886700
2001-07-23,22.549999237060547,22.149999618530273,22.479999542236328,22.43000030517578,3862600
2001-07-24,22.450000762939453,22.030000686645508,22.399999618530273,22.079999923706055,8023300
2001-07-25,22.399999618530273,21.940000534057617,22.399999618530273,22.25,3418900
2001-07-26,23.049999237060547,22.09000015258789,22.170000076293945,22.75,4954300
2001-07-27,23.600000381469727,22.979999542236328,22.979999542236328,23.5,9090500
2001-07-30,23.790000915527344,23.5,23.510000228881836,23.6299991607666,7334000
2001-07-31,24.0,22.989999771118164,23.299999237060547,23.739999771118164,8042700
