Date,High_VRSN,Low_VRSN,Open_VRSN,Close_VRSN,Volume_VRSN
2000-01-03,206.0,181.75,203.0,190.125,2270100
2000-01-04,199.75,180.0,182.0,188.375,3002200
2000-01-05,185.0,153.375,184.0,178.0,6886600
2000-01-06,181.0,153.0,176.375,155.125,4003200
2000-01-07,174.875,147.9375,153.5,169.828125,3803200
2000-01-10,190.25,178.625,187.125,181.75,2829000
2000-01-11,183.0,165.375,180.1875,165.8125,3086900
2000-01-12,170.0,156.125,168.5,160.421875,2698100
2000-01-13,176.25,161.5,162.0,176.0,2367500
2000-01-14,184.0,172.75,180.25,183.4375,2871400
2000-01-18,202.0,186.125,188.0,196.875,3296500
2000-01-19,206.125,193.25,199.5,195.125,2001900
2000-01-20,213.625,197.75,200.625,209.0,3311100
2000-01-21,213.875,189.625,213.875,207.9375,3977200
2000-01-24,215.3125,191.5,212.0,195.9375,3228500
2000-01-25,200.0,183.0,199.625,196.875,2458600
2000-01-26,193.875,187.125,193.0,189.8125,1544400
2000-01-27,193.625,173.0,192.125,175.015625,2134400
2000-01-28,182.9375,160.0,170.3125,164.46875,2609400
2000-01-31,164.4375,146.625,164.125,161.375,3986600
2000-02-01,173.125,155.375,162.4375,169.4375,2572100
2000-02-02,182.5,166.125,170.75,175.0625,2698300
2000-02-03,187.6875,176.625,179.25,182.5,2426800
2000-02-04,195.25,182.5,186.75,188.9375,1921000
2000-02-07,188.875,180.5,188.875,182.5625,1960100
2000-02-08,190.5,184.0,184.75,189.4375,1791800
2000-02-09,200.875,185.75,189.6875,194.8125,3379700
2000-02-10,223.0,198.0625,199.0,219.75,5188600
2000-02-11,222.015625,200.0,222.0,209.0,3005700
2000-02-14,209.0,200.0,209.0,201.5,2080100
2000-02-15,219.1875,194.75,202.0,218.5,2677700
2000-02-16,230.0,214.75,215.0,220.734375,2465700
2000-02-17,230.0,220.5,222.265625,223.015625,2026600
2000-02-18,242.0,227.0,227.625,237.125,2723400
2000-02-22,235.125,217.5,234.25,223.625,2061300
2000-02-23,243.5,223.875,223.9375,242.625,2377300
2000-02-24,252.125,234.875,245.875,251.25,2414900
2000-02-25,258.5,239.0,249.3125,239.875,1465300
2000-02-28,249.875,229.625,242.0,246.0625,2007700
2000-02-29,256.0,245.0,248.625,253.0,1890100
2000-03-01,258.5,242.875,252.5,251.125,1812000
2000-03-02,254.25,235.3125,254.125,245.6875,1397900
2000-03-03,251.0,244.5,251.0,248.5,1687300
2000-03-06,255.0,243.125,248.5625,247.4375,1942600
2000-03-07,226.0,194.5,222.5,200.0,13775100
2000-03-08,211.5,183.0,209.6875,203.0,9970200
2000-03-09,248.5,200.5,206.875,240.75,10494200
2000-03-10,246.0,231.484375,232.5,239.9375,4789400
2000-03-13,243.0,222.0,224.0,227.125,2275100
2000-03-14,235.5,206.625,232.25,217.625,2859800
2000-03-15,219.75,191.75,219.75,194.75,4939800
2000-03-16,214.0,179.0,197.375,200.25,5855400
2000-03-17,204.75,195.875,202.1875,202.125,2124400
2000-03-20,204.5,180.3125,204.5,185.1875,2777300
2000-03-21,188.125,173.5,185.8125,178.078125,3069300
2000-03-22,191.0,179.5,183.015625,182.0625,4249700
2000-03-23,182.125,171.5,181.8125,175.5,4025300
2000-03-24,202.0,175.0,176.75,190.875,5895700
2000-03-27,203.0,186.5,198.125,189.25,4048500
2000-03-28,197.5,187.25,192.4375,187.5,2535700
2000-03-29,190.75,167.5,190.0,169.25,4076500
2000-03-30,170.0,148.5625,163.875,152.0,4665000
2000-03-31,162.0,141.0,160.125,149.5,3593200
2000-04-03,148.5,111.0,147.75,116.625,4585300
2000-04-04,124.75,94.0,124.5,120.0,8360100
2000-04-05,143.25,113.0,116.75,130.375,5878100
2000-04-06,158.5,138.0,138.0,155.265625,5886000
2000-04-07,177.8125,159.0,160.75,176.5,4716600
2000-04-10,179.5,151.0625,176.375,152.6875,6570500
2000-04-11,160.0,136.625,145.25,146.75,6287800
2000-04-12,151.125,132.0,144.5,133.125,3503000
2000-04-13,135.0,112.125,133.75,114.6875,7073900
2000-04-14,116.5,91.0,109.0,97.796875,7819700
2000-04-17,112.0,91.875,92.75,110.75,6430600
2000-04-18,140.75,114.0,114.6875,139.5,6093600
2000-04-19,140.5625,127.25,140.5,130.921875,5059700
2000-04-20,125.0,108.0,124.625,118.5,5366800
2000-04-24,109.5,91.0,108.0,99.375,7444400
2000-04-25,111.875,101.3125,105.25,111.0,5103900
2000-04-26,120.9375,106.5,115.0,107.03125,4858800
2000-04-27,129.0,101.8125,102.0,126.296875,6605800
2000-04-28,140.625,131.5,132.25,139.375,4463400
2000-05-01,147.0,134.0,144.0,136.0,3818500
2000-05-02,141.5,125.625,131.625,126.5,2407800
2000-05-03,128.625,117.5,124.984375,128.484375,3639300
2000-05-04,132.75,121.75,129.75,129.8125,2324800
