Date,High_ZION,Low_ZION,Open_ZION,Close_ZION,Volume_ZION
2000-01-03,59.125,53.4375,59.03125,55.5,1199600
2000-01-04,55.0,52.5,54.625,52.8125,816100
2000-01-05,53.25,51.0625,52.75,52.75,1124700
2000-01-06,54.9375,52.375,52.75,53.5,1112100
2000-01-07,54.25,53.3125,53.75,53.625,782000
2000-01-10,53.75,51.5,53.6875,52.65625,408800
2000-01-11,53.0,49.875,52.6875,49.875,987800
2000-01-12,50.75,49.0,50.5,50.3125,794300
2000-01-13,55.5,51.0,51.0625,54.6875,458700
2000-01-14,56.75,54.9375,56.0,55.625,596500
2000-01-18,56.125,52.75,55.625,52.8125,476800
2000-01-19,54.625,52.625,52.75,53.375,310400
2000-01-20,54.125,51.9375,54.125,52.4375,368200
2000-01-21,53.3125,50.28125,53.125,52.875,448900
2000-01-24,54.25,51.375,53.5,52.0,573000
2000-01-25,53.875,51.375,51.8125,53.6875,497200
2000-01-26,54.21875,52.5625,54.0,53.5625,541500
2000-01-27,58.625,53.625,53.75,57.75,967300
2000-01-28,57.25,54.875,57.25,56.125,801400
2000-01-31,59.3125,56.125,56.1875,59.125,440500
2000-02-01,60.0,58.5625,58.875,59.75,730800
2000-02-02,59.5625,58.5625,59.5,58.625,655400
2000-02-03,59.5,57.125,58.5625,57.9375,297300
2000-02-04,58.125,55.0,57.875,55.3125,240400
2000-02-07,55.75,53.875,55.375,55.25,384300
2000-02-08,58.4375,55.0,55.0625,58.0625,366000
2000-02-09,58.6875,54.0,58.5625,55.125,935800
2000-02-10,56.5,54.75,55.4375,54.9375,362500
2000-02-11,56.0,54.5,55.4375,54.6875,448800
2000-02-14,55.234375,54.0625,54.6875,54.125,199400
2000-02-15,55.5,53.5625,54.375,54.8125,412600
2000-02-16,54.8125,54.25,54.75,54.5625,233900
2000-02-17,55.75,54.0625,54.75,55.03125,439500
2000-02-18,55.125,49.625,55.0,49.875,1174700
2000-02-22,51.1875,48.875,50.0625,51.125,706100
2000-02-23,51.25,49.3125,51.0625,50.625,433000
2000-02-24,51.5625,50.4375,50.78125,50.875,821900
2000-02-25,50.875,49.875,50.875,50.0,338300
2000-02-28,52.65625,49.6875,49.96875,51.5,1029200
2000-02-29,53.25,51.0,51.75,53.0625,415700
2000-03-01,53.1875,50.5,53.0,50.6875,786900
2000-03-02,52.25,50.6875,50.6875,51.4375,423300
2000-03-03,51.40625,32.0,51.25,38.8125,14244100
2000-03-06,42.375,37.125,39.25,41.5625,3842200
2000-03-07,41.875,39.125,41.875,39.8125,1162600
2000-03-08,40.5625,36.5,40.5625,37.4375,1449300
2000-03-09,37.625,36.375,37.1875,36.875,862200
2000-03-10,39.75,36.0625,36.9375,37.25,822100
2000-03-13,38.9375,37.625,37.875,37.96875,1970600
2000-03-14,38.625,36.0,38.34375,36.4375,536200
2000-03-15,39.5,36.6875,36.75,38.75,832300
2000-03-16,41.875,39.5625,39.625,41.375,1168300
2000-03-17,42.9375,40.375,40.5,40.9375,1010300
2000-03-20,41.25,39.3125,41.0,39.3125,542200
2000-03-21,42.625,38.625,39.25,42.25,511800
2000-03-22,44.34375,42.0,42.0,42.0625,529200
2000-03-23,44.0,41.5,41.75,44.0,673600
2000-03-24,44.0,42.0,43.75,42.5625,579300
2000-03-27,42.6875,38.8125,42.59375,39.4375,900300
2000-03-28,41.3125,38.875,39.375,39.75,796100
2000-03-29,40.875,38.875,39.6875,39.515625,876000
2000-03-30,41.0625,38.3125,39.5625,38.3125,1151400
2000-03-31,43.0,38.625,38.875,41.625,1414100
2000-04-03,44.25,38.5625,44.109375,40.0,3809900
2000-04-04,43.75,40.75,41.5,41.625,2188000
2000-04-05,41.6875,40.953125,41.0625,41.125,668100
2000-04-06,42.8125,41.375,41.5625,42.5,1571600
2000-04-07,42.625,40.25,42.5,40.625,848400
2000-04-10,42.875,40.5625,40.625,42.375,1062400
2000-04-11,46.0,42.0,42.0625,45.125,993300
