nom;ticker
Credit Agricole;ACA
Teleperformance;TEP
Hermes;RMS
Safran;SAF
Air Liquide;AI
Carrefour;CA
TotalEnergies;TTE
L'oreal;OR
Bouygues;EN
Sanofi;SAN
Axa;CS
Danone;BN
Pernod Ricard;RI
Lvmh;MC
Thales;HO
Kering;KER
EssilorLuxottica;EL
Schneider Electric;SU
Veolia Environ.;VIE
Saint Gobain;SGO
CapGemini;CAP
Vinci;DG
Publicis Groupe;PUB
Societe Generale;GLE
Bnp Paribas;BNP
Renault;RNO
Orange;ORA
Engie;ENGI
Alstom;ALO
Legrand SA;LR
Edenred;EDEN
Worldline;WLN
Unibail Rodamco Westfield;URW
Eurofins Scient.;ERF
Dassault Systemes;DSY
Michelin;ML
Arcelor Mittal;MT
Stmicroelectronics;STMPA
Airbus;AIR
Stellantis;STLAP
